Gegen den Strom,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,49374,spotify_germany
1,Sinners,1eo36VI77vfRsfCXNAyL8T,Benjamin Amaru,05HjXsZCR2S4JW473HsFvp,Sinners,1t8LCPaq3wjpNabZWjHwgV,36,https://p.scdn.co/mp3-preview/0ee8139fe28a0c125adcd4d7e84d997ac09b42dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Integrity (You Don’t Owe Nothing To Me),1iOHKGRFCPelf1fn9fuxwo,Seed to Tree,5eTXENvednmXhr6r5lUWhY,Integrity (You Don’t Owe Nothing To Me),58nE6EETwQwUIWAgxuzctq,30,https://p.scdn.co/mp3-preview/1be1b9dae58ac5dc4bc0f030afbee0b8045dd79c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Swarm,2Ex1RVTmvIZaYKWjibYU8Q,Wooden Peak,2Rj13fCuT598oDDz1wqvow,Swarm,3fimat96oRvB80G34CMccK,30,https://p.scdn.co/mp3-preview/46bb6a90ee39d0262dac241e919c368f31ac55dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,January,0NS7DFpw5PfCESUJiNRe0n,FINE.,4asOB3NDvX82XNePNZpqQj,January,6SHmCkxsGQjLNp5XKCafjo,37,https://p.scdn.co/mp3-preview/1a220b50b9ff37206b625eaf4eca45684b2f0a0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Al Pacino - Single Mix,7c4VoqmbYhKnZE6pyagG9V,Die Kerzen,23taB3vAKvN6eOECKJyyNi,Al Pacino,7bchPkA0YXZLjje1pFx0gl,50,https://p.scdn.co/mp3-preview/d4d8e773b9c03bbaa44e777c888157c98ace55d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Patience,0PAvhAZlsPkg3BKphYhSxL,Mogli,1E05B8q4mGKUB0n8Ag0Q7c,Patience,0JxxmJFCNLIIhyqgTqHZmy,38,https://p.scdn.co/mp3-preview/d6605c013fd9e3e109d02451332377734d892b62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Ponyhof,1XzQ9wT3s3VtsPMgwL3xZ3,Enno Bunger,0aiAgFPJcZggIkSUGDFdkD,Ponyhof,7eixeqOjLpUqJ7tZ6FOhBl,44,https://p.scdn.co/mp3-preview/9722c29be48f5d8216eda0713f9d8bf9f096a661?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Recall,5cIMUqApExTzdJjwkHg8Y4,MOM,6JY3lc6zjI88MykdVZjBfq,Kawasaki,4xomsSJdpzsu6GPrG6mp8Y,35,https://p.scdn.co/mp3-preview/f248d9a1fa6aa2343afeded2cd41d5d22f0cfdd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Rusty Strings,2vGVua096slel3Zw92MRXD,LUI HILL,3fuo46vtxoWxN4jo0irBTS,Rusty Strings,2Yl9Ki4VTsuHjV3wNIczfb,32,https://p.scdn.co/mp3-preview/39738b7121497bd07c8b25efcd310c13575c89f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,What If,1XNUvML4BnFQ5tLB9JANQK,Bodi Bill,59gwvK7CZtQKvVp0gWtILy,What If,0PoqSOk87uOSy4pUUN2vIZ,40,https://p.scdn.co/mp3-preview/6bb3d0b51901c21ff306e178581c280cb7964438?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Flesh & Blood,5iAypnbVd7h2It7jy3oS0A,MAX RAD,2Igm79AVp3dCbQhfF6I60Z,Flesh & Blood,1LvvrI94tOqD1yCECOeaFW,40,https://p.scdn.co/mp3-preview/fda12ce4fe6d138bce222364decd16aec8c831a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Bang Bang,2JPFrY4uQ2WIFThXoYpmzr,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,Bang Bang,4oOCxjoU3V6GKU1uePmGEP,57,not available
13,Phantom Studies,5V5g4ZlQyjiswa8sC2CarN,VARLEY,72bbAAM5Iz6gsbihCr1Gvc,Phantom Studies,4ZjpyPIWQH9AknTKhi1e3p,31,https://p.scdn.co/mp3-preview/cdcf1afc37c2c803c78115a7e284c8bfd6c1e302?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Drastic Measures - Single Edit,0nMwcep8TzjPqokMJ19t2z,Bayonne,6BbqU3r1G2mwkRIfIbkCek,Drastic Measures,2KBHJWhqz3ohObURbhXaKe,39,https://p.scdn.co/mp3-preview/54164882c7eade7e73fe947b1e3ec3607d3ebee6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Kiss Operator,63mwqwgBR3EbFJrql2G2mt,Bodi Bill,59gwvK7CZtQKvVp0gWtILy,Kiss Operator,4azdjCBpCQXIz1EbFvYhO2,34,https://p.scdn.co/mp3-preview/6c08a83081b087a3dfeca23591e4590ebc1c54f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Fünf Jahre nicht gesungen,4UpQZNmNikaCAufrdEITO1,Thees Uhlmann,4nBVmMKK89dAUaanGPBgpY,Fünf Jahre nicht gesungen,4Kt4QQEH1z7FNHn8RMRbBI,57,https://p.scdn.co/mp3-preview/51d9dfcc9ca36b90b8fd93c065be2a029b0a70c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,No Man's Land,7tg6i9Xoi2EQpfG8nGDb8W,Sultans Court,1Oq0fBU6CVhqp4JicuSWuZ,No Man's Land,5NPaHr1TrPBh76OGF3Caqw,35,https://p.scdn.co/mp3-preview/b7382446a1de3588c3b52501277b8b1adb2e7066?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Curiosity,6h8VNNF6AGShvrMArQXYYX,CATT,4vECkYVXR5tUXqDk2LVzkJ,Curiosity,6pDKE0Fm9EyKjjEoUFVXpR,29,https://p.scdn.co/mp3-preview/2a2acf49515271250efb8c9bc1a70d3a8bf8eee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Glowing,5a1jnECEInfdRnxIka7OlE,Those Goddamn Hippies,5GwTmLS15PuaqFZDawkU7V,Glowing,5p41k7rgum6E6oMeC4qz2N,23,https://p.scdn.co/mp3-preview/300817ef424edc40e7fd3c8f21f96293a1f2bd12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Ry - Edit,3Tc6x9waprUmAwaOjEIWEa,Christian Löffler,3tSvlEzeDnVbQJBTkIA6nO,Ry,4vFo3InuBDrRVEuBxBVMb5,54,https://p.scdn.co/mp3-preview/dab4ed2281ffc4e6994f058ba4d328ed3b7837bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Avicii,4ziTMcQQWz5T1F7DXsY6QB,Thees Uhlmann,4nBVmMKK89dAUaanGPBgpY,Avicii,1nqcTYpwGCJ4LZmbQBsTtx,49,https://p.scdn.co/mp3-preview/ebd93a3075aa96cada25e4c4e6ce75cfa80c05c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,A Bridge of Starlings,5VihTGTfGNTlHDx70Jr5wo,Ben Osborn,7xl2ryRjHsbvCfcAt30QUS,A Bridge of Starlings,0s73fOw6Qv216qsZqlCEfC,26,https://p.scdn.co/mp3-preview/010bd53b5f4c217c4fc670674aead43621b99877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Catch It,2apEIK0QC6HPHOGtkIDfxv,Andrew Applepie,5BYcwjrQth7em7maAt0yKE,Catch It,0S1FaBbE4oXbIaEeHR6UgW,50,https://p.scdn.co/mp3-preview/2ec8d18a8f4d6ea4d6dc00dbc76370b42720f74e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Wolken aus Beton,67OnzwEI7yKoxj04wL1c42,Enno Bunger,0aiAgFPJcZggIkSUGDFdkD,"Was berührt, das bleibt",6cpRUhuci9y1Px0aqUv5to,40,https://p.scdn.co/mp3-preview/2a928288a6cf55ac386f04df230cdcb87177ad0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Bei Dir,6uVEu6kmTTCUPRGk5XDsoY,KUMMER,2TiXt00aPsggbxZxL1RaG7,Bei Dir,0Eeiv0Chbt4XRSoooGkGjb,70,not available
26,we're a dream nobody wrote down,3Kr64ALJnmi4f0eKxf1azc,Ludovic Alarie,5YQJ21kmCLdhMccxqJoDWU,we're a dream nobody wrote down - single,4X4skquBOp2wBqD5730NFU,26,https://p.scdn.co/mp3-preview/cfa4ef95842a53f54cb578a01cd947af39c21eef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Fall,56rK9xmaRMIIbN3VrMqCjW,Like Lovers,0puXK77dHMF8fzrgmov6MF,Fall,6ppzHVrjS3V78EjbDtZevB,30,https://p.scdn.co/mp3-preview/e95915bdd1b6a2cb2b00078341b1e760c820155d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Sheep,0yBOPni3efW1XvvUuXqoH1,Ina Viola,3Nb68Xm9Qb2t165c34WOnu,Sheep,6HaV2Z8QOrIUKfx32JNbuL,32,https://p.scdn.co/mp3-preview/ebdc2a4a395677a5e9ee04f2a782af22c21611b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Panama - Edit,6UTn9fLE2Aa11EcHHBhpJf,HVOB,6RAx8RRxoHeJIqD2d0EjOa,Panama (Edit),3HHwdLJOZnrHBJvIXsbGzs,52,https://p.scdn.co/mp3-preview/fbbb0fe055b2bd2702c5cb74ea54026ec4646c0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
