Kopfkino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,98789,spotify_germany
1,Black Hole Revisited,6h3ZeB59DnNvK56N6Jtogg,Robot Koch,47V6nyjOrUR98qv6gkYssI,Sphere (Out Takes & Remixes),7esumKYxV1ku89s9ScRIUy,37,https://p.scdn.co/mp3-preview/4f7235b0f9896aae43bee864e4dc8c90cc0dcf0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Spark - Ex Mykah Remix,5Nv3vWRodGPJLkIYF1XgRX,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Spark (Ex Mykah Remix),6WvrVn2haAVWiigJrIlItM,1,not available
3,Like Water (feat. Mohna),4sXYqjoe1AZM6tpQKMuLFR,Christian Löffler,3tSvlEzeDnVbQJBTkIA6nO,Like Water (feat. Mohna),7mflwNRugPkBldVVtGGIga,11,not available
4,Eden,0UvOd9SZMfGii53C50YYne,Hania Rani,14YzutUdMwS9yTnI0IFBaD,Eden,0UeBnTijgsORW94114QvdM,38,https://p.scdn.co/mp3-preview/04b5f4ba247bab5c5ad5779d037896ae774dd8d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Panama - Edit,6UTn9fLE2Aa11EcHHBhpJf,HVOB,6RAx8RRxoHeJIqD2d0EjOa,Panama (Edit),3HHwdLJOZnrHBJvIXsbGzs,52,https://p.scdn.co/mp3-preview/fbbb0fe055b2bd2702c5cb74ea54026ec4646c0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Versailles,1KxIaLgAipzRMYYhAGds8S,Thylacine,5If5Tdg66Q5X3L57G7A6Pn,Versailles,3pJmjFew5LOyvyGZh1HKNL,42,https://p.scdn.co/mp3-preview/e29068bf0961a00d8ab9455dff88cac678e047f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Blooming (In C Minor) - Harnes Kretzer Remix,3mYW95cFCfuWgZxpiK4qzI,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Blooming (In C Minor) - Remixes,39ylocGinn43Ifq4JQH5oz,45,https://p.scdn.co/mp3-preview/dce491df47deee03d8a8b668a811dfac04487021?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Chapter 13,3MY3KdmrP1aUEUrNPmuJ05,Nihoni,5vo3SAsS0EuZTW7QkGy0Xs,Chapter 13,3vYUqgjvuuwC40udf7HhZO,1,not available
9,Squares,4bmVE7WRba4td0JDP6j1HR,Robot Koch,47V6nyjOrUR98qv6gkYssI,Squares,2OBFkeXD1uCm6a8XaddCfm,33,https://p.scdn.co/mp3-preview/2c4b6686222bc8cfb0b7535c168df07c1cf7707e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,So Long,41sDpPLnM1N59ZStkgd9gL,Audio Dope,7vByi0TCh4wNTdqNK7dNqe,So Long,4TpJYntKPUQZ4WpwzE3qKV,34,https://p.scdn.co/mp3-preview/cee4014f4a4e319c5d1918d135ad88061915d443?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,DAWAN,3A7ByViji8709hWFd6Mzdb,Apparat,40Ojab0UtVQFjA76qXr8Ot,DAWAN,3IX3F7Iw8r3UmfJWFrEedE,38,https://p.scdn.co/mp3-preview/83265bbedee36752e5d6082f5e4de68701bc275f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Broken Lines,7xj9aehqTM2dF2hqJyHwIW,T.M.A,2byiSAqYCxVFaUmm0KxiIe,Broken Lines,5N9gI9A2FIdsZ2bybnrXZt,33,https://p.scdn.co/mp3-preview/b1ab76cefe0f71ee83c41664411676e00f52f5ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
