The Scene,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Heart of a Child,1wPvUnwFdgbRaS8Lb1N7FV,Go For Gold,0uTm0qJYe4kohhpRAFbILZ,Daydreamer,4rWQEhE0VdEbwniGwhaazp,17,https://p.scdn.co/mp3-preview/8a00f317462c605740c9e484e2a466114769a8b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Send Her To Heaven,3HbablKHLbUEpn04GZiOWU,The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,Send Her To Heaven,4kN0SVgy0MShWKWpurdkBi,58,https://p.scdn.co/mp3-preview/2c5ff4a36196fe3e0026c86bbad1f43397644354?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,25 Below,6zwl1adxhyUWwQkmaGXcdm,A Better Hand,47xNUgLIu6skUOgb8PEuEI,25 Below,5AmHsuypIeih0fSQRzb29Y,26,https://p.scdn.co/mp3-preview/242ed8212eb2009d15da58d04f94c1ca8122cdd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Baby Blue,3W8kkKICWGoH413PLYUcGh,Grayscale,6Xq9CIMYWK4RCrMVtfEOM0,Nella Vita,5j86yI68MjgZLKaYsL6Sd7,54,not available
25,I Think I'm OKAY (with YUNGBLUD & Travis Barker),6bWBLZLBRQEJ5KsLicouNB,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,I Think I'm OKAY (with YUNGBLUD & Travis Barker),6iGIjsBt4RJQFYlBBiNk39,61,not available
26,Skinny Dipping,7s7xOgct7HWsNjGO3YOtqt,Stand Atlantic,1W2Fv4YUnjC8hx2qQd6fGh,Skinny Dipping,4xtHySb6XaNo8SLRgfpUSu,52,https://p.scdn.co/mp3-preview/fcbc0dbedff8e8b912ca6893fb25d6c0d3cfcdeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,My Reason to Come Back Home 2: Electric Boogaloo,1sK8mNyeNuOfT73apnxqXP,Settle Your Scores,4QXKSmZgWNMDbQBidvuh4O,My Reason to Come Back Home 2: Electric Boogaloo,4VPI9zrAKGVz9xus48M7sj,41,https://p.scdn.co/mp3-preview/7b7195314510c9dbca5a2846642b7c0f0e92c62a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,I Hope You're Okay,4skbVo76V7H7w02A8Ivtxx,Sunsleeper,3KHHh4WVfyUa9ZwE63jdir,You Can Miss Something & Not Want It Back,51OZRo1WABZiBBVXgOEdns,29,https://p.scdn.co/mp3-preview/237477185de91b8d25a6fa277cd9447458926c23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Clarity,5zc1FSM7Zrl133xqQsvQrH,Summer Heights,2LAH4zTDmnodSIEEl6T1Ku,Hold Me Close EP,1BXH2YPLevzADzHj5fFTq2,16,https://p.scdn.co/mp3-preview/3a68a5e22569528abf4f7c75da65e76492d191db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Monarch,20fbAq3eJxlZpabqsrEabz,Carousel Kings,2Dr2zHoPEuASW1kOODc5I2,Monarch,5BGfxvxAp431eDnTbPsFrt,27,https://p.scdn.co/mp3-preview/28b2110acf871090c8b72b05ddbe90dd68d8d0bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
