We Everywhere,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Options,2cytBOLpwFRX7J9URCrFIe,NSG,31Ua7zSTJxegjyd49ujbSA,Options,35MvbFXqp1ESDkKNqYfOIM,73,https://p.scdn.co/mp3-preview/f20004a49a52baf62e8877674c94ff4d1fc1bfd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Sensei,609xDejvWBG3sBUAfvKUTC,ZieZie,26XzvosH2cl8Re6KSo9m8Z,Sensei,0hIKsgXEh1KcYOTjXPIq5l,65,https://p.scdn.co/mp3-preview/b5593ae408d063b74e2ead547a484a97ae8604e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Shine Girl (feat. Stormzy),3uAuSelpsppdSCgnSLPn03,MoStack,14H15rElxdGClICOZXEYHP,Shine Girl (feat. Stormzy),1BUxXzT10AMAgJR8FTRjA4,64,not available
24,Secret (feat. Jeremih & Serani),3KSnA0j67IFkiwmEotMGin,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,34vlTd4355ddD4q9pPsoqF,67,https://p.scdn.co/mp3-preview/04fb8637edccbc648bef63a9e64a4bd2bedfe87b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Call Me,7iErqjvutti2bN7DWTfIRD,Walshy Fire,3yJLZoq3Ra2VmSW5teVgih,Call Me,2MNM5e9lBOtnNLid9hQwh0,13,not available
26,Needed Time,1k65BavLispRXs7vzBuRLV,Yxng Bane,5AbLpsnTQVNB3OEadYiVrK,HBK,4izRWE4MnP9bLwKXteQ7FH,66,https://p.scdn.co/mp3-preview/62bdbdff6ae2b2f0f3e0fa70b03d44cc425a8bd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Joro,3Yt1ovsh3v3VEzRuhI1TL5,WizKid,3tVQdUvClmAT7URs9V3rsp,Joro,1Mj4mLvCC9P4b167keUsRh,65,https://p.scdn.co/mp3-preview/269db9db4e3302b9a37957f442cbd082ddf68639?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Hey Mama,77vC5gu81gOMLHgLA0YPAd,Geko,5vfmmb3UHpuQWJ55JP9slk,Hey Mama,1U5iv3OkLdRJ1CJ9EUmLv5,61,not available
29,On Chill (feat. Jeremih),3TXKwYk2H7hZQFB0j8z4yq,Wale,67nwj3Y5sZQLl72VNUHEYE,On Chill (feat. Jeremih),6T6uGWwXe0mq15ndVGvU2n,79,https://p.scdn.co/mp3-preview/6a7b7e75ae5dd5710051f4ab6d6c954c0b7b4f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Amnesia (with Ari Lennox & Kiddominant),7LMhHrfftRJVsmNpMnZew3,Bas,70gP6Ry4Uo0Yx6uzPIdaiJ,Spilled Milk 1,5L0fqBCRKpkOHDNiwTgJbZ,61,not available
