Most Necessary,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2315506,spotify
1,Make No Sense,6klLvorLoo1sxvZcjJIY8I,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,AI YoungBoy 2,1nzUj7VkiaytMmf2KrhK2L,65,https://p.scdn.co/mp3-preview/08d9caca72ff509890aaba00e419428c4cd0cb81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Stuck In A Dream (feat. Gunna),5hDAT527wXWNBnJlujhuUs,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,Stuck In A Dream (feat. Gunna),5uSX6qtcBrqNOWBloxl6vr,84,not available
3,Leaked (feat. Lil Wayne) - Remix,7x9Am1UW3C5yCZLSysEWxX,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,True 2 Myself,1bCBZ8LedqwVYOLDLrRbbY,58,https://p.scdn.co/mp3-preview/8af1f00140a3636d0780b32dc515850285716f12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Camelot,4sWuPniHClkInYAnzXAYUF,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Camelot,5tdGgaiW18D6bjHFLhtblL,89,https://p.scdn.co/mp3-preview/d6195f6f5f78ed5dc8bb8b5b1ae8456564912592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Valentino,0c7K73roy6RW4ebDkf4yGh,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,Valentino,2iPZkrN305Ow3wO0LL90Cg,84,https://p.scdn.co/mp3-preview/3c8610f256b0bde29c023d2fdd95f2c6118b3234?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Somebody,735RSTb2xbtWbDtKD9XDYi,Internet Money,6MPCFvOQv5cIGfw3jODMF0,Somebody,2tGRWs8mrUVyjgbMIQpWQN,62,not available
7,ChopBloc 2 (feat. NLE Choppa),3RzK8spPyswJ5lrEeiJSEz,BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,ChopBloc 2 (feat. NLE Choppa),5Ha42NhWHiUn23pk80YPoQ,63,not available
8,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,87,not available
9,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,223's (feat. 9lokknine),7cekEHNPgpKwVd9kJE9G8F,91,https://p.scdn.co/mp3-preview/66004e52c8bdda0d39a9aa99bbc549df1a4e15e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Big Stepper,5MVdzbNmCVf9cWbkqFakkr,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,Big Stepper,3Q1Y3muVtMfZXRE9hZlumR,64,https://p.scdn.co/mp3-preview/9be74a8a7585af4f72257979a54b279cbf02650c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,F.N,0UPBidRYcgJ2mjZlk08V8x,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,F.N,6Wsv1spcNRL8SMOWie5cdA,87,https://p.scdn.co/mp3-preview/10fc336ccb595bbc474f2427d8aedff4b57d7bcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,No Cap (feat. Rich The Kid),7mrhHSuzD5DbREtXat77rK,83 Babies,0IBDUrXqsJZAAnipcupIRc,No Cap (feat. Rich The Kid),0ttGal8Gg0Okxy5GF0Mm7X,64,https://p.scdn.co/mp3-preview/4484b2f0815bfc128f84e3925002aa23d59dbe46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,All Dat (with Megan Thee Stallion),2wLgi1dzWpq14678Aoee7a,Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,All Dat (with Megan Thee Stallion),1BYoXFARCLl681Ov8fOCUt,60,not available
14,INTRO,05WepN8vrMLJG5r8XRdLeL,DaBaby,4r63FhuTkUYltbVAg5TQnk,INTRO,3HzUH9fh5DExUQXfIAt9wI,77,not available
15,Close Up (feat. Jeremih),3pBrHgHGWJ9NjbGKTFcroy,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Close Up,2lrafMFjWFWdYhwYUTsyWo,55,not available
16,Satish,4hbcs8vaamKTPevPIJsY7N,Tee Grizzley,6AUl0ykLLpvTktob97x9hO,Satish,1Qs0qbWADzRVQ7MxD5MvZe,77,https://p.scdn.co/mp3-preview/8c1731e404bd42eb549309eb73ecb477c1f297fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Self Control,6kyT7ubem08Egg9a8f77OL,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,The Continuance,2I9XHDB70SfH4Kkjakc90X,80,https://p.scdn.co/mp3-preview/bd9dbaa54373aeb011113118048fac391d7e75e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Hold On,03i4lR6ZZo0214WhmrE8t9,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,Hold On,6oFeA7Pda0jOC7jVNIAp9k,75,https://p.scdn.co/mp3-preview/579e5874c1f1ff299883d9eae54e23af982c293d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,not available,not available,not available,not available,not available,not available,0,not available
20,ORANGE SODA,5FkoSXiJPKTNyYgALRJFhD,Baby Keem,5SXuuuRpukkTvsLuUknva1,DIE FOR MY BITCH,7Cw4LObzgnVqSlkuIyywtI,65,https://p.scdn.co/mp3-preview/e73b574011e43a3a5ae72e705f5ae83c45546446?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,So Drippy (feat. Gunna & Young Thug),7672lPvNAzxTp7xf2J7wkK,Casanova,6dXsR7VDJvXnF1LTZlwULx,Behind These Scars,3EksTzvDOmYrRDNghVV7rc,46,not available
22,Shots,5xjei7JnROsAzLY2a7RdZU,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,65T18oWoikW2MAilg9j8lW,82,not available
23,Chains,6jGB7sTynUWRnwiz8Lz87P,Aaron May,2rwALQ1SXdfUWPUd6WOfYS,Summer 19',2w8YHtiFjTVRsa3i7fRqy1,44,https://p.scdn.co/mp3-preview/50e5380f30baa962c1cdec85c5d3c776bddaecca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Uno - Remix,0CAabnR0omwsTzgKIb5UFD,Ambjaay,3BbPRvYQ0M9SFmhkHXozLm,Uno (Remix),4a7iURHcQKNzPAMWKudL9e,61,https://p.scdn.co/mp3-preview/adc9b4ec1f1b54db6914ad7e976dd67cd8e59fdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,RAW SHIT (feat. Migos),1CCDIow4pPYyJYzhtTUYz2,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,81,not available
26,B*tch From Da Souf,6tLWt7gkvvTSjS6OfJjiyJ,Mulatto,3MdXrJWsbVzdn6fe5JYkSQ,B*tch From Da Souf,5Ux8ZuXz6ojbqiSf2y9iHw,67,https://p.scdn.co/mp3-preview/b1c1118ab64ac1469014a88331847fdf7cdf6651?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,BIG,2qSpOQdHmHpOcVXzV9WU5w,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,BIG,15Hb036I0nq54xg0ZRGZLr,76,https://p.scdn.co/mp3-preview/b48bc6b0ead1967e78fc348fc2192732fff9cabc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Ego Check,14y5Ue6VsYiJS4vhNJ2bKu,Wynne,3fhz0PcZrd3o3xB8APuoPX,Ego Check,00jlxkdE1FvkvEMqQvAXZ3,46,https://p.scdn.co/mp3-preview/9c4459fd8a94a6ea7d1cfc65ae3248855125e19b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Through Da Storm,3NqCEpT8xsHdzpiRlM1kpS,Polo G,6AgTAQt8XS6jRWi4sX7w49,Die A Legend,26ztFK3E69j5THJQdyxC5w,80,https://p.scdn.co/mp3-preview/8c8da4573b582381de1d6e6b78eb55e6507237b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,not available,not available,not available,not available,not available,not available,0,not available
