Rock Party,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,Second Helping,54V1ljNtyzAm053oJqi0SH,83,not available
13,Smoke On The Water - Remastered 2012,5MMnwYs0hIxkENRsbkWJ2G,Deep Purple,568ZhdwyaiCyOGJRtNYhWf,Machine Head (Remastered),32NQ56VZDTXSH3SMv4XSGN,76,not available
14,Wonderwall - Remastered,5wj4E6IsrVtn8IBJQOd0Cl,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],6ozp33PI3p9AdddB6ZL3xQ,73,https://p.scdn.co/mp3-preview/658627c1c2fb5f9a89ce556ead028b7cebd297c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Enter Sandman,1hKdDCpiI9mqz1jVHRKG0E,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica,37lWyRxkf3wQHCOlXM5WfX,24,not available
16,Welcome To The Jungle,5NIPsWpDjJTFBoPxCUUeXp,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,Appetite For Destruction,5JKFiC2WVi9HtvJEm8CUB8,22,not available
17,Seven Nation Army,3ctoHckjyd13eBi2IDw2Ip,The White Stripes,4F84IBURUo98rz4r61KF70,Elephant,0VXcqDD3sHdOIGtO6oYv3d,18,not available
18,(I Can't Get No) Satisfaction - Mono Version,2PzU4IB8Dr6mxV3lHuaG34,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Out Of Our Heads,2Q5MwpTmtjscaS34mJFXQQ,78,not available
19,Basket Case,6L89mwZXSOwYl76YXfX13s,Green Day,7oPftvlwr6VrsViSDV7fJY,Dookie,4uG8q3GPuWHQlRbswMIRS6,80,https://p.scdn.co/mp3-preview/a66864fcfd8923c6084fc2000e3086e4e1e0a657?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Jump - 2015 Remaster,7N3PAbqfTjSEU1edb2tY8j,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,1984 (Remastered),3REUXdj5OPKhuDTrTtCBU0,79,https://p.scdn.co/mp3-preview/f6e554cadfb84a511acbbd8661741b805ecca193?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Don't Look Back In Anger,7H0jlAh4VoUtdeBUurXae9,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory,1FB977nQEiAr8jel6O2Zn3,17,not available
22,Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6,Jet,5ypxebeHEIXjMtJb17uJlI,Get Born,6NrLpQCPYrNS3kVWxDgIlg,76,https://p.scdn.co/mp3-preview/f0e6e6d1835303097ef22037f333f8c057463146?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,"Paint It, Black",1Kvjmr2oqZjzhryoEKzqij,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,GRRR! (Deluxe Version),3LcLR5Mpdj6C5jiaReLvDt,16,not available
24,Somebody Told Me,7HGTkn2aX7MNdKs7nV2xBt,The Killers,0C0XlULifJtAgn6ZNCW2eu,Hot Fuss,4undIeGmofnAYKhnDclN1w,71,not available
25,Immigrant Song - Remaster,78lgmZwycJ3nzsdgmPPGNx,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin III (Remastered),6P5QHz4XtxOmS5EuiGIPut,79,https://p.scdn.co/mp3-preview/8455599677a13017978dcd3f4b210937f0a16bcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,We're Not Gonna Take It,1hlveB9M6ijHZRbzZ2teyh,Twisted Sister,7b85ve82Sh36a3UAx74wut,Stay Hungry,0dzqapIToiOhULGvzDKpXm,74,https://p.scdn.co/mp3-preview/7d9817fd8b28edcc5a495fa7a7fea4c0d8a0853a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Best of You,5FZxsHWIvUsmSK1IAvm2pp,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,In Your Honor,2eprpJCYbCbPZRKVGIEJxZ,77,https://p.scdn.co/mp3-preview/720ad0b60a24b6be93a8c6b42723b1e503affdb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Pour Some Sugar On Me - Remastered 2017,0PdM2a6oIjqepoEfcJo0RO,Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,Hysteria (Super Deluxe),31oeDyCOLhgeZyktfxo0pE,76,not available
29,Give It Away,0uppYCG86ajpV2hSR3dJJ0,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Blood Sugar Sex Magik (Deluxe Edition),30Perjew8HyGkdSmqguYyg,74,https://p.scdn.co/mp3-preview/fcdf3224d230b26b637418c2d1028bc482db7fce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Are You Gonna Go My Way,45Ia1U4KtIjAPPU7Wv1Sea,Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7,Are You Gonna Go My Way,35LzZH7Fgog8lf1hfcdoMQ,73,not available
31,Sex on Fire,0ntQJM78wzOLVeCUAW7Y45,Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,Only By The Night,5CZR6ljD0x9fTiS4mh9wMp,81,https://p.scdn.co/mp3-preview/8cca3506fa42dd9cc51a761386d064b502d1a4c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,American Idiot,6nTiIhLmQ3FWhvrGafw2zj,Green Day,7oPftvlwr6VrsViSDV7fJY,American Idiot,5dN7F9DV0Qg1XRdIgW8rke,79,https://p.scdn.co/mp3-preview/d5d48190dacabe9e45e2e1fe7616c4e411b28b53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,BLOW (with Chris Stapleton & Bruno Mars),7hvO2qCwJVZxiyoA7c9i5d,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,73,https://p.scdn.co/mp3-preview/8acd45964c8ca84fd08928b1952a6996a493ae4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Whole Lotta Love - 1990 Remaster,0hCB0YR03f6AmQaHbwWDe8,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin II,70lQYZtypdCALtFVlQAcvx,77,https://p.scdn.co/mp3-preview/ce11b19a4d2de9976d7626df0717d0073863909c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Roxanne - Remastered 2003,3FmAUR4SPWa3P1KyDf21Fu,The Police,5NGO30tJxFlKixkPSgXcFE,Outlandos D'Amour (Remastered),3D9JqZG5Q1ptOJr8ZQ0j7I,25,not available
36,Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur [Special Edition],7HvIrSkKGJCzd8AKyjTJ6Q,76,https://p.scdn.co/mp3-preview/183c0855e94b58dcb267e2b0721d4a3c99260acf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Boys Don't Cry,1QFh8OH1e78dGd3VyJZCAC,The Cure,7bu3H8JO7d0UbMoVzbo70s,Three Imaginary Boys,0jYmAPQezr1aG75KerJCdG,75,not available
38,Crazy Train,2b9lp5A6CqSzwOrBfAFhof,Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY,Blizzard of Ozz (Expanded Edition),6aGfK3YpRxZ1rJfaNRckLH,78,https://p.scdn.co/mp3-preview/a3f3a8418391439b4725f26fbb3f1b272c24bc02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Cum on Feel the Noize,6FBmHx1FuaSnTnnnaThgbF,Quiet Riot,1dLWg6m8RRhizsdqJbhyj3,Quiet Riot - Greatest Hits,1JSjQhsnC2xElFjTVG3Qhy,71,https://p.scdn.co/mp3-preview/9954d51864d538a47cd2eb9c3367b0c429d54ee7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Kickstart My Heart,7GonnnalI2s19OCQO1J7Tf,Mötley Crüe,0cc6vw3VN8YlIcvr1v7tBL,Dr. Feelgood,6pL7kL9cOc0DpWCq6qJtxQ,77,https://p.scdn.co/mp3-preview/9d80a2a34ae97c2204a0a5dbeafcd447866002ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Even Flow,6QewNVIDKdSl8Y3ycuHIei,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,Ten,5B4PYA7wNN4WdEXdIJu58a,76,https://p.scdn.co/mp3-preview/c3ea42310a641fd8febd51dc93c06f8f0876dfea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Black Betty,2ZOTtG7v1OrSNs6EINIGb4,Ram Jam,6FITmSxIMsk6TfulFiCIIz,The Very Best Of Ram Jam,6s1bwzTzWK3u9I4YPjp3lr,68,https://p.scdn.co/mp3-preview/c263792a9ceebd40718e1b152a66669f978bc3d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Take Me Out,6ooluO7DiEhI1zmK94nRCM,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,0mUEGMT2YlzCWGeWOJjBKD,75,https://p.scdn.co/mp3-preview/7256fc64a7f9be216199e50f52dc45cb5207ca70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Rebel Rebel - 1999 Remaster,66lOpKgTyFjOrac4S1s94g,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Diamond Dogs (30th Anniversary),6JxxRxzjsOTtKVie29FTt2,24,not available
45,Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,The Killers,0C0XlULifJtAgn6ZNCW2eu,Hot Fuss,4undIeGmofnAYKhnDclN1w,79,not available
46,The Final Countdown,3MrRksHupTVEQ7YbA0FsZK,Europe,7Js6Lde8thlIHXggv2SCBz,The Final Countdown (Expanded Edition),5Jkd47JEaCU1g4DcGBnHm3,76,https://p.scdn.co/mp3-preview/95b70df7dda2d699957e8b068b89e233e3a5e5ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,All Star,7ntXYU4zboGuq5ZunkrXRB,Smash Mouth,2iEvnFsWxR0Syqu2JNopAd,Astro Lounge,183GEdjm0dJezlc8CeBLYu,18,not available
48,You Really Got Me,4D0BiMiLN6z2x7Tq9BcqoT,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,The Ultimate Collection,0OW9cVAZjWakByTLSGfrd2,14,not available
49,In the End,60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,Hybrid Theory (Bonus Edition),6hPkbAV3ZXpGZBGUvL6jVM,84,https://p.scdn.co/mp3-preview/6ce8bcf317e8c562f348ea22c846846b5b70e8d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,No One Knows,6NvRxjfYkkT2SpirAlmsjH,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Songs For The Deaf,58HZZpS0wxJKwGjoerg0mk,67,not available
