Signed XOXO,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1695038,spotify
1,Ride (feat. Kehlani),6FmnsSVdJJojBYzecDlpPO,YK Osiris,7meyrw7Or5DwteYxDJrkCM,Ride,7MWDbgk0WUzO5pg0g3H2cX,68,not available
2,Love... (Her Fault) [feat. Bryson Tiller],6cSBm4mtcuFtClN6yDvjQo,Wale,67nwj3Y5sZQLl72VNUHEYE,Wow... That's Crazy,0JRDNN0AuZZiwyrOWkNDXC,54,https://p.scdn.co/mp3-preview/5d9f800015c913622db10d239988de21aa740262?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Blame,6S5dMjMifQYmyTu1mX4f8P,Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,Blame,2OOcufzAxz4qgzadyJaEty,75,https://p.scdn.co/mp3-preview/01add4393458cd538c9be8f6d241fa10673586af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Leaked (feat. Lil Wayne) - Remix,7x9Am1UW3C5yCZLSysEWxX,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,True 2 Myself,1bCBZ8LedqwVYOLDLrRbbY,58,https://p.scdn.co/mp3-preview/8af1f00140a3636d0780b32dc515850285716f12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Big Booty (feat. Megan Thee Stallion),3g8sG483Es7NcJyXgkF1nT,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Big Booty (feat. Megan Thee Stallion),109HkQfABlciphATRx9VnF,72,https://p.scdn.co/mp3-preview/b40c40518744a1ae9a5c18a48ba85fc45025d6a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,"GOSPEL (feat. Chance The Rapper, Gucci Mane & YK Osiris)",0WoAkdHmgPmEXfiBox1flk,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,78,not available
7,Enemies (feat. DaBaby),6UFEJuDXQMWhL5UH5f9fUR,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,82,not available
8,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,86,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Close Up (feat. Jeremih),3pBrHgHGWJ9NjbGKTFcroy,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Close Up,2lrafMFjWFWdYhwYUTsyWo,55,not available
10,THRU THE NIGHT (feat. Bryson Tiller),1XRaT5DqbSipsS1YcubfDA,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,THRU THE NIGHT (feat. Bryson Tiller),4DnzpjPdSbBBmSNeOOcKA5,65,not available
11,Somebody,735RSTb2xbtWbDtKD9XDYi,Internet Money,6MPCFvOQv5cIGfw3jODMF0,Somebody,2tGRWs8mrUVyjgbMIQpWQN,62,not available
12,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Panini,71BrrQxz8mZAneNSDE9Lov,86,https://p.scdn.co/mp3-preview/d7592fb6ede98cad8fc13bd08d01a2cafcae5a2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Heat (feat. Gunna),1wN6UMOnoOWqqQ6MY5R09T,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Heat (feat. Gunna),2gbbHSH4vizMYgfl4F3nH1,68,https://p.scdn.co/mp3-preview/b0292b0a659b2ec640aa79a9b32f39aba75a8f11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Ballin,3jVm8Eavwej7Dez05Vm6Q2,YK Osiris,7meyrw7Or5DwteYxDJrkCM,The Golden Child,52iN0AN48yBH5pF6C65ZmI,40,not available
15,Choosy (feat. Jeremih & Davido),4gWAcvkVLzqnzFOcrYBut7,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Choosy,6TcKWIXJvIVJHXerQtc81l,66,not available
16,Too Loud (feat. Nef The Pharaoh),151B0C7vTuh30G1YQ7bXRj,G-Eazy,02kJSzxNuaWGqwubyUba0Z,B-Sides,2C6M7W3XuPMko8hacm8Ibo,68,https://p.scdn.co/mp3-preview/15d19e73f04031899197755f977a635a9e3642be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Bats Fly (feat. Rory Fresco),7r3xg3tAlypy25eTXiIHog,Kid Ink,6KZDXtSj0SzGOV705nNeh3,Bats Fly (feat. Rory Fresco),1DTw6acfMW7bF8WTY3bswT,54,https://p.scdn.co/mp3-preview/13fcf7bb4bd35c7953a3e9c7ac840b63fd673a98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,Young Thug,50co4Is1HCEo8bhOyUWKpn,The London,6p9Y1K9yu3ojyS8fBJXUnp,89,https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Fendi (feat. Nicki Minaj & Murda Beatz),7H1591r6SfmZZh6BUE7Gue,PnB Rock,21WS9wngs9AqFckK7yYJPM,Fendi (feat. Nicki Minaj & Murda Beatz),00M4ecLNv6pzPmr5lheMPr,74,https://p.scdn.co/mp3-preview/34fc6de54a6cba8e37ed9cccf6e2706205887159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Woah (feat. Jeremih),3v8L0vVNHzOTPK4GlOLzMX,Casanova,6dXsR7VDJvXnF1LTZlwULx,Behind These Scars,3EksTzvDOmYrRDNghVV7rc,36,not available
21,Alone (feat. Jacquees),1367Sa0d0KFI96DHsTc8ID,Dave East,7e10JUMF7MJmmwYpnTSMI5,Alone,2HkdAB5Qb8LrjQgMN9vetv,61,not available
22,Stuck In A Dream (feat. Gunna),5hDAT527wXWNBnJlujhuUs,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,Stuck In A Dream (feat. Gunna),5uSX6qtcBrqNOWBloxl6vr,84,not available
23,Talk My Shyt,7f568HpEc96CgSBA3XTefA,Aaron May,2rwALQ1SXdfUWPUd6WOfYS,Summer 19',2w8YHtiFjTVRsa3i7fRqy1,46,https://p.scdn.co/mp3-preview/1b70be3e05dcf9af2238d6f1c49b896d931aa6fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Post To Be (feat. Rileyy Lanez),671qmOyhzkza64D9fMhN7k,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,True 2 Myself,1bCBZ8LedqwVYOLDLrRbbY,58,https://p.scdn.co/mp3-preview/81886d634c00a1b68725d8a996f0037149271ee6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Nasty,2jjItCsygxKASceR8hppIX,DJ Drama,5oNgAs7j5XcBMzWv3HAnHG,Nasty,5ZVjkEYRQQLpadUVOd3z1S,66,https://p.scdn.co/mp3-preview/48a70e6694fc947dda775fad75291e1ce4c48f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Pull Up,6LkQuRo91zYjI8dm1iOL2C,Luh Kel,24CgJHK6T7C5OmUbiLLMjJ,Pull Up,3WZn9JHe0Dl66RmNzcsYnc,77,https://p.scdn.co/mp3-preview/6a39eb41939209234b31e9e6de7145f9b58ebe2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,RENT FREE,6GefwzSnQkQoCnWJNs9IZR,Russ,1z7b1Pr1rSlvWRzsW3HOrS,RENT FREE,4rNgGxoqUkFBZOMEb7PKoD,74,https://p.scdn.co/mp3-preview/ac560b2155513c042e90c33574fc78132ca12112?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Triggered - Remix,1vXFnAO7zu7n0ErcJmGLZF,Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,Triggered (Remix),7gweQOZRW1sGNVXuxsjC2C,67,not available
29,Goodbyes (Feat. Young Thug),2RybgcXW3bHa8AUC7mDhmS,Post Malone,246dkjvS1zLTtiykXe5h60,Goodbyes (Feat. Young Thug),20983LMPUvc6BY7dGS8B1w,53,not available
30,iPHONE (with Nicki Minaj),3GX2hFAekmSduZzcS52OnR,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,78,not available
31,SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,GINGER,1jToVugwBEzcak8gJNZG2f,80,https://p.scdn.co/mp3-preview/5ede99e4306c75ac7b99f277807fb91c2ce5c785?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Never Lie (feat. Moneybagg Yo),0CLhMOVhX6TaPpugYkEsge,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,Never Lie (feat. Moneybagg Yo),6w9XKjOZTLF7CBhA5P6LOB,69,https://p.scdn.co/mp3-preview/36b1364a3069fadeb6d3b2f4c05a467c20fbd1e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,No Guidance (feat. Drake),7FEwp8BavoEVE3AnxJDchc,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,No Guidance (feat. Drake),1ypdCwJwVaUHuFTnvvQbMX,85,https://p.scdn.co/mp3-preview/7c3bc7b4d1741a001463b570fe29f922d9c42bd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Love & Loyalty (feat. Mannywellz),740vfmatXFtyNO8FzsQpSN,Wale,67nwj3Y5sZQLl72VNUHEYE,Love & Loyalty (feat. Mannywellz),2P7btxS7XO271QeOm21qme,56,https://p.scdn.co/mp3-preview/3c8c15f7c5d98df3284dae042f9ee549eacc3894?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Hold You Down,5HdFkD5LlBRkY5jkAKopga,Quin Nfn,3M1quhETLChtt9NHKVaajX,Hold You Down,6HdKHn52eAadMNXK5EJjh9,56,not available
36,Randy Mo$$,6Czehi4brvjpYIkNb6fQvE,Kid Ink,6KZDXtSj0SzGOV705nNeh3,Randy Mo$$,0rhhNKTUkqFVzYND5SVKyi,64,https://p.scdn.co/mp3-preview/84a12def44fd11cc6c97589547a1432874fa1ec6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Won't Be Late (feat. Drake),4v0FSMsulZqfi28KIdwDfb,83,not available
38,ADHD,5L0X8T8HNaUAIYw1oofg1M,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,ADHD,3j2L4sg2WK22mSWKkQ62Ml,75,https://p.scdn.co/mp3-preview/b09cfb670b2a09d1a0f8cbd8765727e351162af9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Shots,5xjei7JnROsAzLY2a7RdZU,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,65T18oWoikW2MAilg9j8lW,82,not available
40,Gold Roses (feat. Drake),4aPB8rSxGFISs0o6V2LrTy,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,Gold Roses (feat. Drake),11aJHLZMcrwDkTHmmnmF0k,77,https://p.scdn.co/mp3-preview/9db9cee2ed1796a3a794eee54029648ab6fb7904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
