It's ALT Good!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
34,Miss You Like Hell,4NIyXRHoYAZ0yHAzVRZlw4,Nightly,3qDMrpZHtZEtVl5i1l7hP3,Miss You Like Hell,7BDaq7K6wpgDe1rDjYd4AA,3,not available
35,Burnout,1nwvHvtJVRRuHuorpRddeF,John Eatherly,5FgE0utDmmiiVaaFQNO6GZ,Burnout,67PQ6f7buR8QGhuelb21US,51,https://p.scdn.co/mp3-preview/69189f491757aab1411a64b870eb6ed920ef9d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Pictures of Girls,0RJ7SwEtfN9hmRK1nJFLZR,Wallows,0NIPkIjTV8mB795yEIiPYL,Pictures of Girls,1867cf5sh2w0ENUHJPtAcq,6,not available
37,Sunroof,2ivkl6Gefp1tMg3LcjuzQB,courtship.,2OK16hAFRHoJiFZKeZe8A8,Sunroof,2i4t0YIgyLyIC7DOGKU1m7,54,https://p.scdn.co/mp3-preview/01d57d51215ecb939345298553b9768e87393560?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,You Could Have Been the One,04rpiXwJmiOr2eWaayrcts,Coasts,5OgSr6wQteRu9jek5JvnDQ,You Could Have Been the One,57yyazO3MEtmzqdaaeaAfq,4,not available
39,Don't Take The Money,0d3BJRrklQ6sTfbmrojuZI,Bleachers,2eam0iDomRHGBypaDQLwWI,Don't Take The Money,6XVw1ysE3HyYF9T9axP33Y,55,https://p.scdn.co/mp3-preview/584d4a239ff18b7a6918a7d4211cd7b1969565b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,BØRNS,1KP6TWI40m7p3QBTU6u2xo,Dopamine,17l7MIu0Jh0tdgK7or9ovw,76,not available
41,Baby Blue,7s4vC71u1zovWSMNu6hwbJ,Grayscale,6Xq9CIMYWK4RCrMVtfEOM0,Nella Vita (The Summer Singles),0cgg5mbjBzqxL8zvO0huzp,38,not available
42,Retrospect,1YlOdKPa0LBTqOnFAxWPLQ,Vistas,5YA1c6yVkPnflTLMfOgjzc,Retrospect,7od5erHuDrLwWySdecKpcJ,58,https://p.scdn.co/mp3-preview/c70ec12839cf347f8d913a53928378a761419e4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Tongue Tied,0GO8y8jQk1PkHzS31d699N,Grouplove,3kVUvbeRdcrqQ3oHk5hPdx,Never Trust A Happy Song,3oylWMc9TTC6Nx4I6U3axc,80,https://p.scdn.co/mp3-preview/2147e7bd8762aa4f7f1ce38ba02cfa618c530758?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Not Too Late,0ig4lxtPqcFTUopvk57nQy,Moon Taxi,5DK8eK7fjvRsziXzyr3sFA,Not Too Late,4vjxGn7u7g7MN3KEGnagOG,52,https://p.scdn.co/mp3-preview/322a3fb78f819ed095d62b44998efec69ec4de3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
