Now Playing at Warner Records,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Typical Story,3CTBO7cZM8tM3jIZmAWiFr,Hobo Johnson,05SdqPzK4m3k1ljK2wrTSP,Typical Story,1I7OXajBucy6Mlkf0NfrsE,65,https://p.scdn.co/mp3-preview/168d89a56bc314ab7a449fae5ba634d5c0384284?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Sharpest Edges,3YAKKLkaNHlPmziEmRjZBe,Gallant,7wFDo161xYdeaiLz3KIHoM,Sharpest Edges,31OLQGS2LF0F3gUIBrVtgv,49,https://p.scdn.co/mp3-preview/e70fccec6d51acbf47629d76165761c30c8011e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,That's Life (feat. Mac Miller & Sia),5h0Jgt873QtgL6nJRBGfT6,88-Keys,6RedK3o51NbUJuJxXlT4kj,That's Life (feat. Mac Miller & Sia),1a7behQFUiQ9iHjSJxiZXE,72,https://p.scdn.co/mp3-preview/7a29bb84794555fc0f10b71f71e1413a52947464?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Bitchuary,4dV3okcjbQwTcg4ObIGr4N,Shordie Shordie,5fyvTyetDr7gvLafBsEEhU,Captain Hook,1ScpeEwDjOM56tOz09z0Yg,78,https://p.scdn.co/mp3-preview/98cc1d2f16ce5f95a8d9a20aae3106197fb2acf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,Bad Bunny,4q3ewBCX7sLwd24euuV69X,MIA (feat. Drake),0p0W4RXcnc59jgatcdZozO,85,https://p.scdn.co/mp3-preview/1aa25af8a24b4c54dad8958fe3478b78ce5088bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Self Care,5bJ1DrEM4hNCafcDd1oxHx,Mac Miller,4LLpKhyESsyAXpc4laK94U,Swimming,5wtE5aLX5r7jOosmPhJhhk,79,https://p.scdn.co/mp3-preview/0d9af259d04efa68f88bd1ca8d85a75df32fd647?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Treat You Better,3B8Tx2eKzZ1u6bPnozOL1h,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,SOLACE,5Jazpq8mEgSgQs06mdwkQd,65,https://p.scdn.co/mp3-preview/763431eced53db76eb42e67b40925f7ca38df926?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Meant to Be (feat. Florida Georgia Line),4e4fqjx0Izh4svvTef1z7e,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Expectations,4TOkZvtqNpg5UHyGxCn0mS,73,https://p.scdn.co/mp3-preview/47ae99be51862e068f3d482e5a93958d51b21965?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Look Alive (feat. Drake),7GGoJfKFOwDNuiLjjfzyCS,81,https://p.scdn.co/mp3-preview/4c9c1f93e4b6032679d772a0a8c3c28cef5a42ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Thunder,5dSMIKHTQEE641IEpWKEOh,99 Neighbors,5uhqkMm8dyQvX83kl4Znq0,Thunder,7JCnCy4ac5H0yN4WTHZHD6,38,https://p.scdn.co/mp3-preview/3ba22349393f0869cb765b3bc68e77a3d90993bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Becoming,6lJbHxypCGCH4rppV1gCps,Diana Gordon,71Ug2zQHWlJFjNCK8swHfL,Becoming,3qNKX4RL9T4yyOpPpRed38,48,https://p.scdn.co/mp3-preview/1904f17f9b463b2cc1acfb2a60ebab1237744fe3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Jump,7yEM9hYRsw9R3pJB5W0gxb,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Jump,1y8yeYpcaqJB0DWN9KWUlb,65,https://p.scdn.co/mp3-preview/702b54763fd2a3c7d429ed3b2d626bb69a0f9492?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Superstar,4EYvuvqzUepdNaUlUZKVve,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,Superstar,45ScJwTLqnrTpmsjehHPHM,61,https://p.scdn.co/mp3-preview/bc9ac69e0dbf531a29d55286aa6e1ba08d0d2818?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Confident,0WtTX8zNHsvEgsudvsdPYD,Carlos Vara,42hROq8g0GtFMMYaHHQmrq,Have You Ever Seen a Boy Break Down?,6h8TTXMZFnJADFw5Ilf44o,13,https://p.scdn.co/mp3-preview/a8f928ca6fac7ed6d006c39bb856d4d8e0edd230?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,70,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
