Rap in deep,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,376105,spotify_germany
1,Heimweg,46qU1V3tZy1ctP4k8JDPwf,Prinz Pi,3OYM3jjPVR60kOqmamRRgk,Heimweg,3WfvJM8Er3XkSY3Pspgkg3,51,https://p.scdn.co/mp3-preview/2e84ce7c9f8b6432d052414e6bb5f31d927c0218?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Geist,4kykPQyPS0GmI6ScgAUdyO,OG Keemo,4gJT0OnBISFA5CPMNYBGIE,Geist,5EI4DWdBmx1lnhHAiUQZPN,50,https://p.scdn.co/mp3-preview/fe377c9b4103cc33e873a767a813f69abf3a4d65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Melatonin,6MGeF4nX2Ty408EjLGNtqc,Sido,4Yttlv9ndGjCDCVLqM7ACq,Melatonin,1nw49bKK2uCphW6nw8YqLg,67,not available
4,Letzte Träne,64A5aseVdsvdNOjobGQclN,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Letzte Träne,131WTqnC0H54vClZHHsmfY,34,not available
5,Deine Mutter (feat. Nessi),4y8xXLG9O3Rbl6e1KaNRTG,Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,KKS,04TM4lYgmoNMKpJ7Tgy52K,68,https://p.scdn.co/mp3-preview/ae7c669b22fd50d2b2086f0354bd55da4e501c09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Vermissen,07f2b3CTdgKKlhv0mqUksz,Juju,4sg4no0TXdsrM1s4SVUwNF,Bling Bling,7FUJDqWr0PvHJyIJeCsswA,73,not available
7,Feuerwehrmann,79kZiB2VhhOCW8pYCxUHLv,MoTrip,69u5rPwWBKP7pJHpCGB9O5,Feuerwehrmann,3wXj0u1ejuNVX3T0L5BHV3,54,not available
8,2 Minuten,1u5jYTx2WdptYWYpwqcE9n,Apache 207,1qQLhymHXFPtP5U8KNKsm6,2 Minuten,4xdyGrY8SLDeMdsTxRaxfx,75,https://p.scdn.co/mp3-preview/806efa377f177b798e0b3fab65723c713ed10fbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Marlboro Rot,4e6l3QGj4RZesjDLVqYk3H,Samra,6h1s4i4XKIYv4ErDelLDN0,Marlboro Rot,1CpbyS9rDSGFSvhSymcXip,70,not available
