Deep Listening,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,174007,spotify_germany
1,Badlands Train,2ZdD734d65deIKqH6pJkXi,Stubbleman,0Fu1gmQ4PZ1S5anr0l2Cov,Badlands Train,74fjGUdVhFWF976Tnno4Vj,40,https://p.scdn.co/mp3-preview/64bdbfe65763bcbb174e4c493373a8a6fc4c4c1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Hiddensee,6HXAoCEMSpzUoMd9KopnZq,Ceeys,6K8BBZapSLE6XGXF4htbIT,Hiddensee,3JXK7k65XwptClZh18unpo,45,https://p.scdn.co/mp3-preview/1b57b5b814f95fe1169e6bc164057cef2d1e4128?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Calimayan,73xAnUDRUQbZy65hOr80IJ,Carlos Nino & Friends,5Vp9z1lRUNMLQCXbwrIbDK,"Flutes, Echoes, It's All Happening!",1e52dh3GiiAVMNetdNA2pE,37,https://p.scdn.co/mp3-preview/9ff4efc73c08f40018ee18962f4165def7e585b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Broken Hearted Kota,3JV9KTvErBJzQi9Wcr7ouR,Joseph Shabason,7xoTSPGUr9u8FWR4G8AWoS,Broken Hearted Kota,5lMXsZtAMCRodyRAeKvDjt,41,https://p.scdn.co/mp3-preview/938eab8c0964dc4d12bbe6cc34ca08177e0db58e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Spells,0dIg2sKreVGnWJPSPotagc,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,Encores 2,2C2LdCgWMw6MkJ5RGJi5eg,44,https://p.scdn.co/mp3-preview/700f8cdbb6ce8c412da27cbfd1869021b6c7a0ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Bloodwork,3iCvLAdsFiqlnusTzGSG64,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y,Life Of,6dYkIcKYqvb8lNB3FD1dAC,35,not available
7,Traces I,1aUAEjPEyazQvsGlw9dEZt,Tigran Hamasyan,0D3h8NZqNp7BN97JwtV6eW,Atmosphères,7Dts1hwy6sVRBQrK9DwZW9,3,not available
8,Timeless,2N2SrDqaD0Kf4k2ITxieMQ,John Abercrombie,1OCdpTg8d7Ehpj8B9j4iqa,Timeless,3zrFls5MpfT6VOquQmuXaW,14,not available
9,Triptych III,7yLDPr6UQiAN5m5BRJP4ce,Lotte Pen,09klzeoydwwlN5eyyQNNss,Triptych III,70dgfs1cIUejHyTX6IHqYk,37,https://p.scdn.co/mp3-preview/96d29dcbd644d6b81ed4080975471b6b8975effd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
