Techno Bunker,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1139970,spotify_germany
1,The Approach,0tFyBGnOezYA449BKb1hZn,Alan Fitzpatrick,40JyDxGqtYSowWYT2jaive,They Can't See Us EP,5hHZpguEcdOyY8vLfuNIuA,54,https://p.scdn.co/mp3-preview/52fec1426f61d413b37b4fa0a171e2efc9661043?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Eating Concrete,48jCzxsRfT2J9TKPFG0yA5,Reinier Zonneveld,21A7bhIL1m6CNZn8y57PIZ,Rave Dan,2Yu8EK6aAqvSIj2u5Tp1KH,55,https://p.scdn.co/mp3-preview/fa806a3151c7b5686f58bc98e5f0a5037799d82f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Little Robot,5e0cpLRbShZxK2w3LOR5Zb,Amelie Lens,5Ho1vKl1Uz8bJlk4vbmvmf,Little Robot EP,7ivEKfwZD8xnIgbJL3rALY,53,https://p.scdn.co/mp3-preview/64b49862aa8f42c1be3aa6d579369c97c0e7f1ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Dunkle Illusion,65MK18S2ubwHsEg0sJ3kMi,Klangkuenstler,6H77vD9YyhyxHBTkRpbMBk,Dunkle Illusion,6zpDNZBvMhdbqclD8zd7m8,53,https://p.scdn.co/mp3-preview/b322323e187685d69f5e90f84230f942b06a3665?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Puffer,7zNxJId89QE1t267an0whO,F-Rontal,7xcEuNcEPzlYUuAKyqfJMS,Spaltung,6noEmuW9oz8FB8iRLGCPwl,56,https://p.scdn.co/mp3-preview/039f89267e5b96b91dbcc3c3f6e0a65997ea51a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,19 calls,3UIEGb11u2Ll7wzYyC2nvi,Deborah de Luca,144HzhpLjcR9k37w5Ico9B,19 calls,3cWkWR0iFHtso28pbhefhE,59,https://p.scdn.co/mp3-preview/3dd56ceb0614baaf4619f76908255f798b66a398?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Vibrancy - Original Mix,1ubk4FS88dx180KNXHYqWw,UMEK,5Hini2nQyoglzpdKe41cZt,Vibrancy EP,43E7OU1TDX0zSeG65RwLPR,60,https://p.scdn.co/mp3-preview/1e82e46371df5f5febabb84287425514c9045c80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Dreams,1grJSZEMFlsvTMXXEIBrF1,Belocca,3jcvzSheHd14vjraXHLGPN,Dreams,4GXdrUAKHkyc5ygVQQX9XF,53,https://p.scdn.co/mp3-preview/3d29d308b7f07891447c73cfe02c0b54a5b254bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Megator,7yyNaKHvH76G4tohz4cM7u,T78,5FgLkieOqGXPn01dnbJp9Z,Megator,1txZhdk9RtGN51ZR0rkcID,59,https://p.scdn.co/mp3-preview/68ec668432d8d0f2bbabc98aafd29a70ee449cd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Come with Me,6YVak2ONKBc7F9trtihmt2,i_o,0y42IQBDFigO5mmEd1bGQG,House of God,38aCdi2Xzwd6icGLfJGcaS,53,https://p.scdn.co/mp3-preview/6c871d1b866b624989d902df77b5f061b3d2eb35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Double Slap,19I2mi8kcf0fmoDphv1SOC,ROBPM,6QfZgJa0nrIKLwAdso7ai9,Saprei,5eckZl80UblFBSpdZHUJur,54,https://p.scdn.co/mp3-preview/6aee3044058460a9d1c4dd45568447fcf531186c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Higher Self,0f5AJP08aldZZm5KSNIYXc,Mark Dekoda,3FzG2HgsgPRfwpX1qSK1g8,Higher Self,6MQkdLJtNZVVg9ATodbckO,57,https://p.scdn.co/mp3-preview/3d370655ff7b40e1cc81efa0040bb1915812a650?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Superstition - Azid Mix,0ehYhWrGH1bxrFt60nF0K1,Len Faki,3fI3Z6NnYoeSQjcqPQDbM4,Superstition,2HFKEMra82pTejCPbcFoqh,52,https://p.scdn.co/mp3-preview/8beee67c4fcc3ed54ccb9df8b4457a50a3003884?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Space Date - Pleasurekraft Remix,1lbUtnuS8AYvKd0lziKpJ4,Adam Beyer,1btv9qmIpbp7q1ixCYNdHu,Space Date Remixes,2jPfZOja3YCHgGqFzLTNCs,60,https://p.scdn.co/mp3-preview/18effb045f245bfcefa6000943a199ef419b4995?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Forever Ravers,0GESAR8MnPxo4kM7GWuCuG,ANNA,3wkaDi2HJV3eCaBJ4iH6om,Speicher 112,4W6gWw1CAqb8W1l8TiiDcp,57,https://p.scdn.co/mp3-preview/94cccc0f787cfb188f8d4a67735aaed11ed52c26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,The House of House - Thomas Schumacher Remix,34GCgxeiIduIjLtonQRarc,Cherrymoon Trax,61LAVgfVbkRLgNHEDveOyh,The House of House (Thomas Schumacher Remix),5lJq0hkz74UqGyWzqEfoco,55,https://p.scdn.co/mp3-preview/c2ac03af934d571b059325e87d24da5ee5f259ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Golden,3JKLzIREax7TgXqR5OBgw9,Mark Reeve,58zZkWGb6qvx0AJ6L3ttlZ,Golden,0uwOKopFI84CXCvv30PoGA,53,https://p.scdn.co/mp3-preview/3ce99b250f761f3295869208080eb854dad99894?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Open Your Eyes,2g3KgdtIzLPoTtNTvKpD8x,LTGTR,3RJrdtcF6gU2MaQtzczmqR,New Era EP,2rK41ANc6hSj2slSrEwj8k,51,https://p.scdn.co/mp3-preview/74920e2e82e91f7b8345fd3f1d4269ec5981b2a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Core Resonance (CLOSE combined),04QLMPlareJM6r0w9Qv0q5,Richie Hawtin,3AhwIUus3pIaA3CvYBEtpy,Core Resonance (CLOSE combined),2DYsZj9PuSwnza2dbnOLaT,50,https://p.scdn.co/mp3-preview/3e9e00def4df2a368e1e6ec2d298b7ed330c04ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Deep Down Inside - Even Deeper Mix,3kyn6RzPsv4O3vqAeKb9Bd,Raito,5RXdPHNmsB6OQn8rUyRQtl,Deep Down Inside EP,6dbhrtoO0APuXV2SfyJHXB,50,https://p.scdn.co/mp3-preview/917cf8ab88690d23ce548bae9db736e3af8995a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Making Sense - Original Mix,37izTFlgGDUuAaUYQjlp5u,Spartaque,2OpUrUeIF1sqWHwSbMPNkB,Aftermath,2CwZWcB9nE6uPnTKv6VfXp,51,https://p.scdn.co/mp3-preview/f83dd30a88600879c71ddd8f43de767dced04d2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Connect,71VwkVjccgg60sYKxugceQ,Timmo,32LzV8uY2Zf8Nda9Rvjx5U,Starlight EP,4pK8I79fhS0gVdOKXKJorx,49,https://p.scdn.co/mp3-preview/31cb1a3f75c0f26159e8d45e4dc40629363bc8e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
