Early Bird,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,258287,spotify_germany
1,Pieces,1sIPOaLSp0Fi8uifRqOoUF,Declan J Donovan,6bh228LGC3eAzbplPWV02r,Pieces,25ixun5mViikl8HMfOPRQD,60,https://p.scdn.co/mp3-preview/d09ea2e0fbcd9f0f13f072c98b14ecd0d9c7fdee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Change Your Mind,4kOlyvj9WiPrI4zpmzKAeA,ELI,63gbXCha1jpkrJJ9K5gGpR,Change Your Mind,60PSfBhVSZFJj302rOs4DY,63,https://p.scdn.co/mp3-preview/924b2708dc291b8a6e4a2d8c0a6dfc33e3d5d1c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",5psDugCQ2V8uayDeSuTvdD,LEA,5Yo5iU2nf4H41waPl4ZnS1,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",3UTg67Th2vtPXWjgfhocFp,69,https://p.scdn.co/mp3-preview/c98b67ccdbb84895f7b6c0e918565d1844e88e59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,On My Own,4t8Nv7R5O8OsEJbxvDcCqG,Josh Bloom,1C3BNPOZIKGzrDzAvEMbKE,On My Own,7xMCDzHnxBCwLq27JF4PCw,45,https://p.scdn.co/mp3-preview/f6ab4f69182a5ccfdae44efb13bdf6f7a61c4244?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Oh Hello,6BeS8dX3Iy739w9RVDt8fg,Nico Santos,3A9B6c1CrSPauiOblw7pWz,Streets Of Gold,7uUIEZ7uNLHJdpvVUxpB1e,62,not available
6,Ohne dein Herz (feat. Vincent Malin),7t3yIfTtgxnSeV9kEZlHbC,MONRATH,4U1NoN0PlsqiIzqIoPGEVo,Ohne dein Herz (feat. Vincent Malin),6gDsJE80PxdfzUkHnqaFHQ,45,https://p.scdn.co/mp3-preview/4d3c9f8208f7181c74a03a5f8fbe81b4a140c05c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Your Name,1MYfXSTLkPmydULU0Qs0Ei,Plested,2nJYGgfTf2846LtVB3AES8,First & Foremost,3MgPBfKTcXs9wLLRqr78JG,53,https://p.scdn.co/mp3-preview/8921a1739457a445ec205aa5ab021ae2f8d7da88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Wild Stare,2SClPoLfPJmwrr3EyfgRTS,Giant Rooks,5wD0owYApRtYmjPWavWKvb,Wild Stare,1dNicYsMG4Beogrx8blBYZ,67,not available
9,BRAVE,1LiEAia09qw722mpzqfROY,K E M A L,5Fd7uQWqAWTmcOidyOUhDo,BRAVE,05LkMk4sbSJ1GewU2FHI1t,63,https://p.scdn.co/mp3-preview/b3e9403f181f1871773b9e6f4240de6ad5f30d44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Sink,2BVyCBKJYlSdxic0yVpJ9C,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Sink,0iKUK667rgCwvtAX3YQxCG,23,not available
11,Wild,0kTUf60V9AQTqNVKZAmJKc,Hugo Helmig,27eEve8Mu7Zv8DGDIz4peE,Wild,1Ic7loCHqH4bb24T9K8PwI,57,https://p.scdn.co/mp3-preview/b0132b9978993eaa01ee0b59d28f8c41df6016a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Whisper My Name - Acoustic Version,47SolHRGLxxM6mg0aABmkB,ILIRA,6mzs66iVW15C5iLt0JLt41,Whisper My Name (Acoustic Version),6YnFQXbapwmQspbInr6MAv,44,https://p.scdn.co/mp3-preview/d93187766dfb1e3922ccd51858522c9cfab8ab45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Dance with Darkness,5tABJYXHCOo3HRSd0ClfEd,Skrizzly Adams,6cHNKcqDykgDCRgnvKdSfK,Dance with Darkness,6FkFheXWkCI5X7CxIDuQcy,57,https://p.scdn.co/mp3-preview/d618c11e8fa1f64a79fb1db42b0e64286869839f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,New Crowned King,3sTusRj5PzgZ9pQIMLk2hW,Cody Simpson,79Xp2rRN7wdsaTJgttdX3K,New Crowned King,7H3GILfUtxKyD3fWepuKVN,14,not available
15,Du bist anders,1FuB3SlcjgU3KAyDwUwB6r,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,Schlagschatten,3zhOW5DedpxAxddYJ18qiI,63,not available
16,Pauken,06iPanlffI55gdHaCKK2zF,LOTTE,3gqabzO7zvHVzAIT0Nxqa3,Querfeldein,7Bdv9tyxlOOMQv34gFe9GH,56,https://p.scdn.co/mp3-preview/1fb38a5c603f2ba8bb81cb20e85778af1556053c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Zeichen,1W1e3LmrVXEcNytFM4vSvB,Jona Bird,2b6SFRAJT7aebTHmAEl9MW,Es ist vier Uhr morgens und vor meinem Fenster verliert die Nacht gegen den Tag,3AujElkyJxW5E6NHCO1xT9,45,https://p.scdn.co/mp3-preview/84d51de579ac7829a574947dffcebdc0f2e9b556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Halt mich noch einmal,0qs8LjGpKMKzejfQ1cHJUK,Clara Louise,4GOCL5XuZojOhP5iE7CPda,Halt mich noch einmal,3SCFJrXpxSmbDUmUm5UWj0,43,https://p.scdn.co/mp3-preview/5174ba2e52e3aaeef8f4cfd8821e0fd1ff6e20c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Waves,64xJ1MMFxxK6osZxJH857T,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Waves,0dcIrW5U3oco3GDCKiJ33I,18,not available
20,Learn,4qlFmHHr4iPxAuH5B6Jxid,Jack Cullen,6lUfZGm7WIkgsfLhafFCfB,Learn,2xXPEtCVzbUumCE5LWGzon,44,https://p.scdn.co/mp3-preview/8bc6610d424e00d7265c90265517404db3ffdad8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Drink 2 U,7qXa091APVtWPURG3QyZ2X,Kate Lomas,1wuyAb5932lV40X4raI2mB,Drink 2 U,4rVuDBW9uAy6AMCEbUdSiM,51,https://p.scdn.co/mp3-preview/1d3851ef823015a626adbb0e6b6b5e0e3eb76931?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Love Someone,3id2EVGKc3eFAMn9nFnB0r,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,3 (The Purple Album),3r31ml7fFfNaoSSMH0sda9,70,not available
23,Worth the Wait,0XCQAR0eVqozXAveG8gRq1,Nicole Cross,3YrM00mKs7wqOtBPmeSoEo,Worth the Wait,54bgKVPMoTGsKMMJLN3eww,43,https://p.scdn.co/mp3-preview/b0af6f1192800b763b6a5835fac6117b3580b7ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Break,6LuDBVDciOhIfLX7xxz1TJ,Annika Wells,0kErUwb6xgWfkdn0RyZWHZ,Break,0ZifScAuy9Ufo7kptMvwGJ,51,https://p.scdn.co/mp3-preview/a75c7f260fcc2adfff4cbb5857fdeb09ef966ddb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Dakar,1cHlMc2Yev8YvUz5dD5KEw,Adesse,7EWemnOZ5SxADQ1z8bf0r9,Dakar,5jtFIBXtzRl835ACFWF1Ug,42,https://p.scdn.co/mp3-preview/739be1e255048452e13fae42aa757420cce27f06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Only You,4DICoRpF3sjB0ZPwMaKLdW,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,Only You,2EMfCOMewxEtsqQvRxF77F,46,https://p.scdn.co/mp3-preview/4f64c401dc2c3d714b5a4c4b28f310a1a61fbb3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Ride,4U5x1HEG6e74Y6bLAdQhZo,Benji Lewis,1BPsbKiNgav1TY1ITIU8C5,Ride,0ENAolN9UKykjmOM3d9uF5,49,https://p.scdn.co/mp3-preview/9af117e28f5c768c66bd1c7dc90d22272d5b0fb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,You Don't Love Me,0YHzFtwuNcxpMcvJwiLAgW,Folly Rae,4wZBiNHbCi2TMXjSP86LJ6,You Don't Love Me,2yXELkNFRQyO1ntPMNHmfh,55,https://p.scdn.co/mp3-preview/ae26edb1702bb785697c8e458a512153228aead0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Ganoven - Akustik Session,0JreMHjAFo9QlBYT4f4Her,Antje Schomaker,7Kif1sqh6J226OZFwUgt8n,Ganoven (Akustik Session),74jXZf65pAGYRVdew6Z5j4,50,https://p.scdn.co/mp3-preview/a81454495bc628ff5c149eee82be63c29d7b5edc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Wild World - Intro,1O7vJOWNqVEjOsC53IX9S8,Other People's Heartache,5gXNY1o9BtajaZfYJVXQrv,Other People’s Heartache (Pt. 4),3cGGFGQJ027VtMknlIHNNi,52,not available
31,Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,7CdLU3GgPy1PH5FVsrPlyA,88,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Silvia Amberlie,7f88xAMmsAnn5SFchXzmQY,Endre Nordvik,13BXjgYUjBzIvo5KgVoDPb,Silvia Amberlie,298dOQO1vpn4j3jkiikC5G,52,https://p.scdn.co/mp3-preview/c79737b2fdc7e8e4e6f9e516ce2546c0f32eb20f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Nothing Breaks Like a Heart (feat. Miley Cyrus),2hBfao8GWZwHlUGDB8HVQO,82,https://p.scdn.co/mp3-preview/d77c0f82619faf3fa4d6a34a35938820b3389ae9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,"Waiting For Love - Recorded At RAK Studios, London",09QyGlxA0Ja6D1dGIjl55c,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,Spotify Singles,77f0EwaAvS5nremTuOHqZL,60,not available
35,6-FT-U,5Kr5I51t0cVg2F3gyVSKCL,Hank Compton,7jKKTuM4iwzCuZ790quOMI,6-FT-U,47CUyNZ2uFhd31p8iBM4bl,42,https://p.scdn.co/mp3-preview/b849e9e1632aab0817de1c806c28686ef4c4f2e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
