Indie Radar,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,83048,spotify_germany
1,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,61,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Difficult Love,5B036NTl35McrlKBVEYqid,City and Colour,74gcBzlQza1bSfob90yRhR,A Pill for Loneliness,1FgQzEqXePnyHC8YxaRl04,39,https://p.scdn.co/mp3-preview/784a6daa13841e4393619ff30e85f5196e269a04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,For the Love,7cLp5vs4MkDmkT9NXCocQe,Kat Cunning,0THdxk7bYWo6wciF1gInBK,For the Love,1YgXBMsUGajPJ5ls20eNDM,31,https://p.scdn.co/mp3-preview/269b817aa435c694e8215b6ec329565d24a383ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Garden Eden,6hJ8xHhecXO3t3fnmxzMnT,Huck Finn,79Dwa28k2POaRW90JDq61g,Go Far,4uLXoFAAVlCSSY3RimGWDq,23,https://p.scdn.co/mp3-preview/19b3e4f196d5faf239040e34604236a8f7457ac2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Baby's Arms,1fU38kdhVLyU6vVhvoCP9f,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Baby's Arms,1D9sKlavapVhzY6jp6e82U,49,https://p.scdn.co/mp3-preview/b3b621f824123c829478ee655c81a4418680d16c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Later Flight,3CqGOLstgDheqqSgRJQvRE,Jack River,4xrDCETyApzUQ6xzcc6QtS,Later Flight,3ssUnvqWLaLE9wM4kE0z8w,42,https://p.scdn.co/mp3-preview/6702df08da98cc1461e9fc890e34d452b1028375?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Galleon Ship,0Z04fUQyKGls1iV1LLHVER,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,Ghosteen,6UOvMBrdfOWGqSvtQohiso,59,https://p.scdn.co/mp3-preview/4f3e74ea37eb5629d210c0d35cc20e60accc5483?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Can I Be Forgiven,7qql1tuSA7oRCXJ6f2DxJQ,Highasakite,5awQWdBpLqN2KFVRN8w56T,Can I Be Forgiven,4J7LzyYIZVw46NGnJrhWKj,51,https://p.scdn.co/mp3-preview/18ea197d009a8b5d2d7056f5016adfb7639e7481?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Ausser Kontrolle - Rebel for Life,2QBhsfyXhUwJ2N5wBFwTkW,Yachtklub,25EFijeB6bCIDdB8xeOIrI,Ausser Kontrolle - Rebel for Life,6yG2POhLU5xvVoOBiMLKql,27,https://p.scdn.co/mp3-preview/0ff2266af09fd94c78d371b6e3ab429ee881f5f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
