Deutschtrap,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Lambo Diablo GT (feat. Nimo & Juju) - Remix,3TMW1GOB1lsmvf8er2dE8g,Capo,5y9wg9qkGBl0n9v9RzaPKu,Lambo Diablo GT (feat. Nimo & Juju) [Remix],78SjtioGS10lFchsD1XMH4,70,https://p.scdn.co/mp3-preview/b637e92939e0388e68524598af58cb29509009f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Nautilus,7IkZpSOJKGXCGhqAvHs7FG,Shindy,5j21TGkrNEAJe3gG9VlS34,Nautilus,4241ujVBEoKy1aWRWFyV5z,68,https://p.scdn.co/mp3-preview/6e3f8560058213ada5babe2588146312e1e51a31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Yeah,7HRuk2l86d8mgdmjhq4ypo,Luciano,3CJKkU0XuElRT1z8rEtIYg,Yeah,1n1OlItmYhBFV4neHli4WE,74,not available
25,500 PS,641R77CBy4bOLGRcA9sgHy,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,500 PS,5fqNFmrbjOmQCWPpgZ7oyc,12,not available
26,Trance,5eA0fLfQRw9WuX34ZRPvAT,Qzeng,2741XFBjSCs37MjhGaGkKT,Trance,6N63t6SqAxXZ97XYNAuyif,70,https://p.scdn.co/mp3-preview/7a071c90967fa334582377ab619b4f14ce21a383?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Dior 2001,4o1hgRrpSiuxkHUBuXALDZ,RIN,18ISxWwWjV6rPLoVCXf1dz,Dior 2001,4WLI8Isy5gRKugArp9xA2d,44,not available
28,Neptun,3GmfHF5RUe6r5C9UbvIXQp,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,Neptun,2T49yncesC5BoZ7wEyZ4tu,74,not available
29,Jaja,45Eeag93rb22gAMAqbjYrJ,Fero47,4A7HeXSd4HtQuf6IR5XZ1b,Jaja,6nIzOCgMQCENqTbEQ2FGmt,43,https://p.scdn.co/mp3-preview/0342b40e01ef1b20f028fc401c81f8df866e2542?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Benzema,7KPGeiXWDsGEvFK62wzU8E,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Benzema,7pjEBAT8UkN8Mi74eQTH1e,66,not available
31,Penthouse,43aHoeHvYOBBvzZdopsA4e,Eno,3GBBxBdoolb0B5YizZq9bF,Penthouse,6Ah2mGhUI07DTQR4zHbjzS,59,not available
32,Fragen,26pr9oLIVAc1L62F2exIRT,Azet,39KEQQAG9JhIt71g9NEVhh,Fragen,5Ah9rpT5z7ZTuPvWuEeVBI,60,https://p.scdn.co/mp3-preview/a18cb71875f6ab6d0bbb958b3540fee7c3b50846?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Du weißt,2e5o25udr5nhMuklOTZUME,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Du weißt,2wYg9CCGsBpMs4LARk8Fi8,67,not available
34,Jayjo,4k4vUYR2vNbm5Incmgpe4F,Undacava,0GICHCgSgJrRnanaNRFIMX,Jayjo,4LuvTpvlk3o1QvtgY4RWbJ,72,https://p.scdn.co/mp3-preview/d784f980630415d46455365130b0e4ab25f43e26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,a miLLy,6kpOQJOBX0TjGkJk7oX7Pw,Dardan,3pjq2pDV9RR6VY55wBjVnp,a miLLy,0pCo0T1ha6fB6b9LW5saxU,65,not available
36,Ballin,1ZxBGZ7pxkh0VwFRp6biXk,Luciano,3CJKkU0XuElRT1z8rEtIYg,Ballin,4alfUflz7RQWjPz9gqcreM,61,not available
37,G Klasse (feat. Lil Lano & M.O.030),6Xt6kg1kGrZCi4gJhijxeT,King Khalil,08ao8gzTHBtNf5Laf9jjwR,B-TK,0X2obFl6NXMEDvlplTX6jS,60,https://p.scdn.co/mp3-preview/0ff00c366626ad7ea6252480c06f219841513b47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Blei (feat. Veysel),5kLUig6aFQQzY1n2TKzzYD,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Blei (feat. Veysel),4gpCK7bUjxTDFKsYaMpOfs,33,not available
39,Badewanne,4qUjPb9J51kZ0PrGZWtpVc,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,Badewanne,2qY4z8j8V2FJiHimXkh8H8,68,not available
40,Im Film,7FGhMXAnM4rHN8zN2eBhXI,Luciano,3CJKkU0XuElRT1z8rEtIYg,Im Film,5g6YyZIVeDZ7TXJOhm660F,69,not available
41,ROMEO & JULIET,3uB8KqnEoQq5bTQ1JFHJ7Y,Loredana,2Im8m4STDBosjfmb5hmP80,ROMEO & JULIET,5V5F5ZmriWcd8zBDBPv8ca,68,https://p.scdn.co/mp3-preview/76bca95382f0a7148a25ba0876f73a72783c7e47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Vintage,6xwI9R3ZHT9nWtSYvffYQm,RIN,18ISxWwWjV6rPLoVCXf1dz,Vintage,2Cs5tYXpVlogOCmPRBQ4ku,72,https://p.scdn.co/mp3-preview/2eb8714be2270866f401e73de685be973cb3154a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,bis um 3,03SfDYmOPflD23iTL5qjiq,KALIM,2NJWI8byqTSqDaJRnqJY2z,bis um 3,0G8Zuo5DOfBnAaGolV9HhA,63,not available
44,Puerto Rico,1xxGW4QbpRXQJUb33pnyA8,Fero47,4A7HeXSd4HtQuf6IR5XZ1b,Puerto Rico,6nXi2PUdY8gmLQTPf4rbKj,43,https://p.scdn.co/mp3-preview/d9a6fb23989e2f3348f24869c1376621cdd0f061?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Money Money,6CI8yUPEpOffkcevzFr7Qs,Azet,39KEQQAG9JhIt71g9NEVhh,Money Money,5RyMOPcHbuQsIhySbug6gy,69,https://p.scdn.co/mp3-preview/4b017786a4f87cafc364d5f83d26d9bcd7fe8174?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Im Plus,4HzB8cumQgivTBscS2b487,Luciano,3CJKkU0XuElRT1z8rEtIYg,Im Plus,5qiEWI2nieUF9B0cBoUuyG,66,not available
47,On Time,4e3VIoNlhRV6seqSAerKtG,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,On Time,2sM5NFqTIQmgh8jJa72lLv,67,https://p.scdn.co/mp3-preview/54cd4fc452487c4dc7ef45f91d717b7830a807a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Affalterbach,1L8LtC2s161XwY6YrtnQjw,Shindy,5j21TGkrNEAJe3gG9VlS34,Affalterbach,4SLJXFEIUYsWIpFlGwbNk5,66,https://p.scdn.co/mp3-preview/c054512d76329af544042ea61eb816ae65f9bede?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Bayram (feat. Elias),3FWRHYAN0C050cpvD67Sk2,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Bayram (feat. Elias),3ZvijbLhVHixr9iWOlDELZ,68,https://p.scdn.co/mp3-preview/32efaeff6ce57f0418c842a55f9f354076a8eb29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Next,1x4MJYA9mJRph3fygU51K4,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,Next,2xH3y2xErddOosCWIf6R3a,66,https://p.scdn.co/mp3-preview/a16dde4375ee367d8986f71c00b41a5f0e672c4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
