Wochenende,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Sun Is Shining,2AO4S1Wq3B8kYfzULMeCIh,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Sun Is Shining,3jBSX66cVMJ2KqHDuXBtrL,56,https://p.scdn.co/mp3-preview/c34b733c3841398997328e64dfdeb49fc45a15a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,With Every Heartbeat,2WZ7k9kEvjipzWeuaMr6mE,Calmani & Grey,1mhqV3TKErQZb0mZDaR0Xo,With Every Heartbeat,2PPJAoUoW58tzLbkSvHNDx,50,https://p.scdn.co/mp3-preview/9186b1c0bbcd769bcf3e1380fddff9f7f63c4ba2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Know You Better,5VrSVEkPSHpWOn3stPrGWE,Stadiumx,0DRf6JJDQnRnz0Yp209CmH,Know You Better,7eJxrkuDWiel2lPQgU33nt,52,https://p.scdn.co/mp3-preview/84bf1b1f3a3cf822f8f80c8216bd26b94b1f4bed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Empires,0KolR78aYglcksc0W0JAJJ,Sons Of Maria,2SfhiNVhk8w8xCQ89P3NPU,Empires,3pynK4RNWjWAB3rYbcbQ8F,50,https://p.scdn.co/mp3-preview/877357e2eca2504d5e29f1dda924a7d405300e1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Seventeen,7hlo2sj0fejYzRwIS7cdfZ,Thomas Gold,1XLjkBxFokuDTlHt0mQkRe,Seventeen,07VTYisyBRv22BwKFFGCTA,47,not available
26,Lucky Ones,3XQRNNfOG6lHP7yk4DfghU,James Carter,5344K3N7rx7kw1HjO8psuq,Lucky Ones,2cqYRLeCq4x9HtbCv8wkqc,52,https://p.scdn.co/mp3-preview/01bedb53e774436cee42ce9d2c1621ae6187a7c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Don't Give Up On Me,5hw9RzFpyZqkW7ADN2NKeO,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,Don't Give Up On Me,17zVhrzfIc7Fb5FspAahe0,59,https://p.scdn.co/mp3-preview/bda4fed9cd2041e0316b4f21617f0c1187d7a04e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,One by One - Alle Farben Remix,3d4opgagC9pd2fhDL4HOC3,Broken Back,4nx8ehrFiCOmWgebUKshDV,One by One (Alle Farben Remix),3lI1jWGRWlAkIST52KaOCy,55,https://p.scdn.co/mp3-preview/21548d72c7aada146a10d111c1f9d77860daa913?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Don't Let The Sun Go Down,51KAOQZ0ZLYimgnK2bdSeI,Marcus Brodowski,3U5sS2ernX7nUjFZ9GSxWh,Don't Let The Sun Go Down,2Sj4U8PnLYuzABTfNJrNex,45,not available
30,Geronimo - King Arthur Remix,197NhaECmu1vdkrjrOZqVI,Max Lean,4sOc3KgWiki8GMnvxYH8sh,Geronimo (King Arthur Remix),27r405GsX7m0nkQ6xW8xbc,44,https://p.scdn.co/mp3-preview/0121907338e82c87e6b0af28c0eee981a9200b6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
