Shabazz Palaces: Welcome To Quazarz,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1938,subpoprecords
1,Effeminence,1voqB5VuRXoJcceey8xn9V,Shabazz Palaces,6C403AR4y6PjN0xNNGh42m,Effeminence,22t64P4AkHZ8LDbE6U9MzA,9,https://p.scdn.co/mp3-preview/2770c1318125bcc28258e4af41ac72e14d2389c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,When Cats Claw,1eqnGCdeyOab2sBFOT0EDM,Shabazz Palaces,6C403AR4y6PjN0xNNGh42m,When Cats Claw,0Y1S4CSAHxCI2p7LfKkqGg,7,https://p.scdn.co/mp3-preview/1c331bd87dba184cd0ea8624bfab10fa9823f0ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Julian's Dream (ode to a bad),7qKxLVVOpLiQrmZmA7vbJJ,Shabazz Palaces,6C403AR4y6PjN0xNNGh42m,Julian's Dream (ode to a bad),3RgvRgkrGNtfqC6fDeuWW0,9,https://p.scdn.co/mp3-preview/3f198a0e5e1ef2d928502e73cefb6be02ef72ead?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Since C.A.Y.A.,6jmSGT3fokDnvj5XPdmRIO,Shabazz Palaces,6C403AR4y6PjN0xNNGh42m,Since C.A.Y.A.,7mpYMKTnMNVJU6uTaG0FdO,8,https://p.scdn.co/mp3-preview/cf6bccf6935e21f2ce82140a6b6d5df303109f24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,30 Clip Extension,20aJP22cyay5otufS6xN6Q,Shabazz Palaces,6C403AR4y6PjN0xNNGh42m,30 Clip Extension,5Kq3f8MdQB20l7MsvSEmTw,8,https://p.scdn.co/mp3-preview/681a3fd37b8b39f2f572c4bb4ab84a4d5874b30b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Shine a Light,7dX2OTzr4cfQ4SAyQG9xf6,Shabazz Palaces,6C403AR4y6PjN0xNNGh42m,Shine a Light,0b9me8RUvBvCAeogV1fg6U,25,https://p.scdn.co/mp3-preview/5d95d67e468c70257445142c7f658b2906c391e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Black Cat,2u24s40bXEMu896fEs1L9L,Broadcast,0WtTGUjbur1R1cNzBvbsMU,Tender Buttons,28RiDrxACWNtbrUNy9Ks1X,40,https://p.scdn.co/mp3-preview/3fcaf3c43c6e1f2b33b1599a60edf9ecc5ab1840?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Baby,0siH4BEjWLnRybz0KyXrlw,J Dilla,0IVcLMMbm05VIjnzPkGCyp,The Shining - The 10th Anniversary Collection,5xZnELe12KnPt6Y9sl8Fvo,0,not available
9,All the Critics Love U in New York,2k96E0L0SY9raNEVMBqbVL,Prince,5a2EaR3hamoenG9rDuVn8j,1999,3U1ht9EdWEI9nMvaqdQI67,31,https://p.scdn.co/mp3-preview/003bad515c52010ad3df0803b972726d12d482d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Take Notice - Inst.,345m451mJaaJhuifEUnmVv,J Dilla,0IVcLMMbm05VIjnzPkGCyp,Ruff Draft,39BuqlAkHYtp7EjZ3ZZcn6,0,not available
11,June Gloom,1KDieyVBuPCGoLBVq9ICQH,Low Leaf,3pUAjygihAaYNGd8vcmlQW,Alchemizing Dawn,6cEhKKYDqPukOhmqZvRxXn,10,https://p.scdn.co/mp3-preview/508cc5e6dc162b84d3f9ad6fedc4d1a867142fea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Pushups,1TZnKkNtOxcZcEUQb9ttDI,Crimekillz,0FsZFWOeAfLkcARx66gvQM,Never Dies,0nY7MwxuCg7NDD7k8ZXW40,1,https://p.scdn.co/mp3-preview/faf56cd493733dd24a1d5e84092254899715a0c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Mating Dance,5pKzT8zAWA4JHAKfDlrqp6,Natureboy Flako,41gy1E3ZlSK5KOjiDiqgmH,Eclosure,2doFaDzHirCSqCAxdng57B,26,https://p.scdn.co/mp3-preview/5a53f82548d8b84637f8bbfae8d4b4975b969b5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Wind Parade,4okz1TH0GeLw3J51pNRDGd,Donald Byrd,3ZUZYvTkSr7kJQyAXVpqaL,Places And Spaces,6btV6MDYhXZ2F6ZKKUfvdh,45,not available
15,Down Hill Pull,0UG2WnJe8JMGCYO0BfbOrk,Victoria Spivey,3GjPnuJtWUiwPm1Kn8zyG4,The Victoria Spivey Collection 1926-27,5olLgL3yqz7EBV3VXxZwfe,6,https://p.scdn.co/mp3-preview/f71000c458ceef299702d2bea7c973bfd14f0f58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Three Piece Suit and Thing,3ofJhfcvnJnYT8BtUmu0Ne,Dillinger,5J69edy1luLIzbgyl4u1Dv,Three Piece Suit & Thing,7B945nnHwR7QsBYrTBMc0q,6,https://p.scdn.co/mp3-preview/67764036f63845deb6b814d877cbd34a9f7420f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Lightro [Looking for the Light],4FmUwofe9GGwQ8cv0h6dNp,Porter Ray,2MhJFzmNyDACY2tRJhMMNy,Watercolor,6jIKv5YZUZlUvWTduZ3lyK,13,https://p.scdn.co/mp3-preview/db876973dd09e43856251b28a064739d18af0099?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,King of the Beach,1CHL6sjDwpivvA4LE0lsww,Wavves,6bUJpbekaIlq2fT5FMV2mQ,King of the Beach,7Mn0aXVHjaoFZPKLssqI9d,44,https://p.scdn.co/mp3-preview/85e3d3e3a259fa05a952e7aa753568fea69d91f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Fantasy,4MG31wGe1CtLXz4XaiPKPD,Tiffany Gouché,2IEnjZsVDEPKUTxNinyqba,Fantasy,7If0OuHfnn2N3UFVM4CNM6,29,not available
