Sub Pop Is For Lovers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,475,subpoprecords
1,Deathwish Blue,2WP9Rsl8tcDm16WBCzCKQr,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Deathwish Blue,2h8zd2454KHB4nA6BAK4gI,17,https://p.scdn.co/mp3-preview/2f26015d8633ef2b0911734b4c755127e8d1d4a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,How I Love You,4UEo4ZyXWKkXZSgstDASzF,Mass Gothic,5CjfZsl2kJgBUJvdJEBRBs,I've Tortured You Long Enough,5zh3dqzdBXEdMCmfP6cnSC,14,https://p.scdn.co/mp3-preview/96daf2f3f414ffc2059697db2edcd7cead6e3f1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Everyday,3rxIqFuKGYsWFx12ovYK8S,Weyes Blood,3Uqu1mEdkUJxPe7s31n1M9,Everyday,30qZBeczmiKGQm3rl6DoJz,33,https://p.scdn.co/mp3-preview/b8c3cd537bebcf855da26af3c1bfdcd3b08f686f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Duet,6doZkX2fpZMgAeA44aIiRh,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Vessel,4hJOMXjaw7mYC0vbWAqbe7,38,https://p.scdn.co/mp3-preview/3900cb5457a94e370c31f3fa717db19b715acbc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Be My Baby,7fJcwaK5MR8HsSty5keRlw,Forth Wanderers,5UjbehtgZGbNmmanbVW9Bs,Forth Wanderers,3TZWID34tFQeznr09VILyt,28,https://p.scdn.co/mp3-preview/a5237ffddb884a8477c2f5d3adefff343bfc1264?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Real Love Baby,6YDf6QV7QfCEo8O2dbWalK,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,Real Love Baby,6IpBMtAMrBvSHc9y6rTtQQ,67,https://p.scdn.co/mp3-preview/a73451291399b823c9f1b36d2f507dd0e5052c97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Raindrop Blue,5SYOoGOtGg4H2JHWh9EPmR,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,The Other,3x3rZHLmXFkRMapEbGa0VN,31,https://p.scdn.co/mp3-preview/53edf8daf9e6156550b7078647f192f8f5eff719?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Consequence - Live,3n0oWXOAkgREvKX0Dy4LsF,The Notwist,1o4xLcugkCtDDOw7POAMha,"Superheroes, Ghostvillains & Stuff (Live)",24OT0db2LqWkhFTfr9zxPU,16,https://p.scdn.co/mp3-preview/f6d5b25328ea1c0e49c0202365ec38906b9397d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Kiss Me Quick,6HzNj0bjXreCv1onkVrHo5,Sam Beam,25hkV0FAhcjmadGqi8DNKr,Love Letter for Fire,5L8tG2TBXiuALY5QFOpV3j,21,https://p.scdn.co/mp3-preview/54fe90d4178ba7dad9cc79ea890a2602ef178385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Textbook Love,3hOZANZ6Idq2LNalURJ1mh,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,First Collection 2006-2009,62miIQWlOO88YmupzmUNGJ,34,https://p.scdn.co/mp3-preview/2d0750e326c07c49188a9eac74fdf0ae979eba74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Forever So,4rqiI6GSovvk48W8u0vRYy,Husky,47nuMLurQsLP1gLK7gJtis,Forever So,2X77q4hPPTqSk4XiU10Y8c,0,not available
12,Fade Into You,41pvFFVzmPXErwivVHn0EN,J Mascis,1PokjXeIq2zVosXbTEaNlx,Fade Into You,7rESN86lETWVOsVCWxlSRx,45,https://p.scdn.co/mp3-preview/528f0e3ce94667e074db3212295a11ef78eef047?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Every Songbird Says,7yp6alx6TiFkgUIQGM8Y8q,Sam Beam,25hkV0FAhcjmadGqi8DNKr,Every Songbird Says,49Oo57L1bCzS0QCIDCwtcs,0,not available
14,No One's Gonna Love You,3LeNQIGi0zwmQm8WShZB95,Band of Horses,0OdUWJ0sBjDrqHygGUXeCF,Cease To Begin,4a1jgSYZGMTR6Yp6IiSkbO,8,not available
15,When You're Smiling And Astride Me,1h5X2BiNVo3mweajFTNZWh,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,"I Love You, Honeybear",2A8IKX257C4hJaYUHMhLP7,48,https://p.scdn.co/mp3-preview/927776a3a10d1814f1c03c48944d330329c8416b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Beyond Love,4QwMsmmusOzgnohJ6wBjdN,Beach House,56ZTgzPBDge0OvCGgMO3OY,Depression Cherry,35vTE3hx3AAXtM6okpJIIt,46,https://p.scdn.co/mp3-preview/fc35fa3784c20cbbe4410fb298adbd5fe4a63384?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,It Won't Be Long,2eByHUQkDC0U5n2Zv2mAYi,Ben Solee,4HwlwHKG79WLGKeYI4pY5u,Dear Companion,4EyfPE2Aoovj5tPAI77NBT,0,not available
18,Memories,6M06BGVodJ0lxMA5gH7H4C,Chaos Chaos,6D6rjLdxyE5vwhMlkuQq0E,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,41,https://p.scdn.co/mp3-preview/ff0f93754ef9dfec206bd2d378d5b6b17757e692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Honeymoon,3CZRVtTxV1YfzMPLGHOz76,Lyla Foy,3cwKDuj7rWyhvCM4lMTDps,Mirrors the Sky,4SzIpAMMprn1lzbEKogwCI,16,https://p.scdn.co/mp3-preview/e0582e82ef33416fa013dfbbd6e6dca3ffb37070?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,The White Season,2pNaqe31ad7USzDZQAeWsa,Still Corners,4zKYrXs8iN4AeHmO8ZxNqp,Creatures of an Hour,4L98EQojXIp9Il5dv0acUw,0,not available
21,Bonfire,3XRLwxBvgFyiZyoa0RRQQv,Memoryhouse,0T1n7Qbe4vwYIu42mB6qXe,The Slideshow Effect,3UNanlgXT7sBk2zfv1FE6J,0,not available
22,Stay (originally performed by Rihanna),4QYK19Wn2rTPtUrK09aW5E,Low,0wz0jO9anccPzH04N7FLBH,Stay (originally performed by Rihanna),0Q1kvbEpFUJVfyjGGb5mst,20,https://p.scdn.co/mp3-preview/ada01eecd401306d27c9323a7a166778c3daddd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,It Was Love,1FXZ9CCmNn45IhWSVadgSz,The Elected,4XlCuR2K45h5RxyxpnyXpB,"Sun, Sun, Sun",1as913mDbXkKfh2PyajKK9,0,not available
24,Everyday,4SsDwgnIXEz0MacDcCAiHx,Rogue Wave,2JSc53B5cQ31m0xTB7JFpG,Stubbs The Zombie: The Soundtrack,21exizdt9bNNHMvMc0XqVR,25,not available
25,Come Home,1Kj4ItJAn981zhd4BDKZPB,Poor Moon,50IPvQjKz8UULlrpWTmQbO,Poor Moon,36DJp43u5kLJqLPEzaLPYI,0,not available
26,Only One,5SwittR119wQUf5k7S9NHU,Thornetta Davis,02HWgoL7gYSPcVlNjrJWRb,Sunday Morning Music,7ig8uxZ0hx1UOfBfXaYa4L,0,not available
27,If You Were Alien,3THSi7P3wX49C12gkMZF6P,The Brunettes,5PR2gJNMKb3nma8QuTRjie,Structure And Cosmetics,5eKTbPGlRNS9lHbSb7eWX8,5,https://p.scdn.co/mp3-preview/c88618b659749ea624c453e91c5bb87928579c52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
