KEXP's Top 90.3 Albums of 2016,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Gardenia,1p0P2eieaxzqeBov2oP1VQ,Iggy Pop,33EUXrFKGjpUSGacqEHhU4,Post Pop Depression,1pyIYnwE5fvCUOofffwZm0,39,not available
23,Because I’m Me,3f3HHRPF5vAo90GwdpDMaQ,The Avalanches,3C8RpaI3Go0yFF9whvKoED,Wildflower,0j0djiGxLnBiW7meVc2PER,57,not available
24,Cranes in the Sky,48EjSdYh8wz2gBxxqzrsLe,Solange,2auiVi8sUZo17dLy1HwrTU,A Seat at the Table,3Yko2SxDk4hc6fncIBQlcM,65,https://p.scdn.co/mp3-preview/a0d13ea0e7dcd0ccae5f6bf96ce2daede4d2841e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Rings,5vtQOcVlNyqLsqNKkUAP1i,Aesop Rock,2fSaE6BXtQy0x7R7v9IOmZ,The Impossible Kid,1An1m0S3ZdQy9Uuo476D12,50,https://p.scdn.co/mp3-preview/395133a7553ede27a0744f73ce100bf71631d555?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Youth,1LPGwuFgIzbJoShfDdw7MY,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,How To Be A Human Being,6qb9MDR0lfsN9a2pw77uJy,67,not available
27,Atomic Number,6dA9wLJzLDS3Vfk7m3qIPI,Neko Case,4Cedjq5BQL3MhapRvDpFED,case/lang/veirs,0U5U4AU94YjYY2QoOpmwfN,46,https://p.scdn.co/mp3-preview/36f41a350f45c1e7c46592b4ddc45e736a4e2fce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Gamma Knife,7cXqhmohfNtwm5ZPgp4Cpi,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn,Nonagon Infinity,36i6lFtKGzC236CIXLTpsn,0,not available
29,Casual Party,7sMcFdVYcwucGVtoV7r9lZ,Band of Horses,0OdUWJ0sBjDrqHygGUXeCF,Why Are You OK,4xBayAng8qIv3227mj3xjN,48,not available
30,Pain,02vbwgCw4piXoMteswBt5I,De La Soul,1Z8ODXyhEBi3WynYw0Rya6,and the Anonymous Nobody...,280hvW88mUFN9tUQOMCLLZ,55,https://p.scdn.co/mp3-preview/2b200d6186f175f4fda615c9bb46da9d562663c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Brace For Impact (Live A Little),1cRc03E5Ps0fwe4l8fz2J0,Sturgill Simpson,3vDpQbGnzRbRVirXlfQagB,A Sailor's Guide to Earth,5I3UdCxtIh6hkQ7rMPUvA4,56,https://p.scdn.co/mp3-preview/f7ec09bd76f1a0d1ed382b896ed8a3bf350924ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,Cleopatra,2zbTrm2pIAErzFSopinkbN,70,https://p.scdn.co/mp3-preview/d1204e9214afa804f2c74e5795441b75e7fc9e11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,If I Ever Was a Child,1tZ5ctX3Q1P6QZJ1bR25sd,Wilco,2QoU3awHVdcHS8LrZEKvSM,Schmilco,2s037WsNDbSTIEb7OJjT0a,54,https://p.scdn.co/mp3-preview/72639369a53267c832942915e23e275b1dc43ac4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,The Orange Monkey,5mkqmtRLRoWZR2r6PHuBuz,PJ Harvey,12VaqyEhgwDRuFfEqbnrpz,The Hope Six Demolition Project,7E67j6wRcjJvSHLjpYyVSZ,0,not available
35,Are You Serious,2OYmCSVGmN5vXuG5dX5LKY,Andrew Bird,4uSftVc3FPWe6RJuMZNEe9,Are You Serious,6TqAnRWjGY3ztfajmS0HSG,45,not available
36,Famous,19a3JfW8BQwqHWUMbcqSx8,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,The Life Of Pablo,7gsWAHLeT0w7es6FofOXk1,74,not available
37,Losing the Light,6GILoBaymeUVxeo6o25PQe,Explosions In The Sky,1uQWmt1OhuHGRKmZ2ZcL6p,The Wilderness,79X3DX8IqI3jZXQvsrFiDV,37,https://p.scdn.co/mp3-preview/fd6ce2186d90a70eb69a8beff4379ade939425b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Tiny,70ScS6xAgjwE2jWkvwERgZ,Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,Give a Glimpse of What Yer Not,26vGmf4YJOmS1kZK4RJ2EB,34,https://p.scdn.co/mp3-preview/3acb72f34d1eb4274a6b23d2c18c8718cde5b152?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,In a Black Out,1idBirsBGvCMsLvv4cTv7k,Hamilton Leithauser + Rostam,3h0w83PsjASrm5999trG4n,I Had A Dream That You Were Mine,2TDuXjtpO4tdvm86KVNMk0,54,not available
40,Your Best American Girl,172rW45GEnGoJUuWfm1drt,Mitski,2uYWxilOVlUdk4oV9DvwqK,Puberty 2,16i5KnBjWgUtwOO7sVMnJB,59,https://p.scdn.co/mp3-preview/9be3679be4314855260ca9010e4a6a73f74e4d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Kola,6ntcJV1JvSdWaHXxFsPDon,Damien Jurado,79JJCxCCfJ8HufX6w8q2k4,Visions of Us on the Land,6VLh4y3jHAJy7S537doVdH,42,https://p.scdn.co/mp3-preview/22b2f2f1cfb875bb368430cb898b7a850d4f034e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Slipping,47m5yNv8yqfQmOaei1uaHt,Jagwar Ma,6fEO1r9Y9TYL9O4w5kVPmc,Every Now & Then,5oKRvOClTzgpcOBFWDigrj,0,not available
