Party Bangers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Hey Ya!,3AszgPDZd9q0DpDFt4HFBy,OutKast,1G9G7WwrXka3Z1r7aIDjI7,The Way You Move / Hey Ya!,7etFl9qeqjD0luC40JAg8l,66,https://p.scdn.co/mp3-preview/6c69ee9ec863053388b7c06fea9f42a66775acbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Candy On The Dancefloor,41RSRxdVqnSWlL9Glx95fG,Tujamo,2vVNxGBvKRQMWwI5c8KmYh,Candy On The Dancefloor,4aKSciNw4kZGWZVGHKmMEO,63,https://p.scdn.co/mp3-preview/72b605c541b151d1188f12a0fe182b53939dd3d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Look Alive (feat. Drake),7GGoJfKFOwDNuiLjjfzyCS,81,https://p.scdn.co/mp3-preview/4c9c1f93e4b6032679d772a0a8c3c28cef5a42ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,September,7Cuk8jsPPoNYQWXK9XRFvG,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,September,4MgtwNYjD89Oj2km6eFRYd,82,https://p.scdn.co/mp3-preview/ae4aa51502978e1a866375fd9c397007c546d12a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,Dusk Till Dawn (Radio Edit),5l5gR4rh26QI3fijGFTDrp,82,https://p.scdn.co/mp3-preview/e2e03acfd38d7cfa2baa924e0e9c7a80f9b49137?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Lush Life,1rIKgCH4H52lrvDcz50hS8,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,So Good,5YLRVHDVRw3QqWbeTGpC5B,78,https://p.scdn.co/mp3-preview/10dae37faa43cd82a3c232eb4d98139d7f0593f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Fight For Your Right,5NLuC70kZQv8q34QyQa1DP,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Licensed To Ill,11oR0ZuqB3ucZwb5TGbZxb,69,not available
26,California Love,1TdfRFmp4z1h2ecflxCaV3,2Pac,1ZwdS5xdxEREPySFridCfh,The Great 2Pac,0TBwMjqm1esajO8c3dtDAi,38,https://p.scdn.co/mp3-preview/7b2829f9bf2976a0591236c0aa643536dad34fed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,86,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Let's Dance - 2002 Remaster,4cVHMHgmWgudD399ZdhQ3L,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Let's Dance,5FDIw0ifQrQp63uhTelMVJ,65,https://p.scdn.co/mp3-preview/57bef4d4409bf29a5c4003a728e7fac1682f7bdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Uptown Special,3vLaOYCNCzngDf8QdBg2V1,81,https://p.scdn.co/mp3-preview/88a794d97fcb4475f72a27be7baf71b94d5a9dda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Last Hurrah - David Guetta Remix,66wF9HWqR8RpQ47tiVQpgx,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Last Hurrah (David Guetta Remix),4KIlCXWsC5D7tHNM1PsfhG,64,https://p.scdn.co/mp3-preview/25c2aa8d1d496da4c4fb16ffb33f477245c01a61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
