Hip-Hop R&B Nation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,399133,topsify
1,Camelot,4sWuPniHClkInYAnzXAYUF,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Camelot,5tdGgaiW18D6bjHFLhtblL,88,https://p.scdn.co/mp3-preview/d6195f6f5f78ed5dc8bb8b5b1ae8456564912592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Tempo (feat. Missy Elliott),4LRKHjC3WH5AKZSGZzlnGk,Lizzo,56oDRnqbIiwx4mymNEv7dS,Tempo (feat. Missy Elliott),1zt4HVA2H5uh8SldrOfCMh,64,https://p.scdn.co/mp3-preview/e75e1519123e780dff439d0eea7de584e0fd0cb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),3950uQm4KQL3ckerKBeXYp,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),432608DLpP0hExluDkY3Yh,62,https://p.scdn.co/mp3-preview/e726b14668627c5fb930f081c9d799471b93ff0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Behind Barz - Bonus,4B7fTyj1FIPvP9tT5X3DnR,Drake,3TVXtAsR1Inumwj472S9r4,Behind Barz (Bonus),7dkkh6qYHqduXSWQFhmQ0i,79,https://p.scdn.co/mp3-preview/73e9e47faa119ff50413dc7068362cbc1aef6c65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Big Booty (feat. Megan Thee Stallion),3g8sG483Es7NcJyXgkF1nT,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Big Booty (feat. Megan Thee Stallion),109HkQfABlciphATRx9VnF,69,https://p.scdn.co/mp3-preview/b40c40518744a1ae9a5c18a48ba85fc45025d6a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Self Control,6kyT7ubem08Egg9a8f77OL,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,The Continuance,2I9XHDB70SfH4Kkjakc90X,79,https://p.scdn.co/mp3-preview/bd9dbaa54373aeb011113118048fac391d7e75e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,On Chill (feat. Jeremih),3TXKwYk2H7hZQFB0j8z4yq,Wale,67nwj3Y5sZQLl72VNUHEYE,On Chill (feat. Jeremih),6T6uGWwXe0mq15ndVGvU2n,78,https://p.scdn.co/mp3-preview/6a7b7e75ae5dd5710051f4ab6d6c954c0b7b4f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Fendi (feat. Nicki Minaj & Murda Beatz),7H1591r6SfmZZh6BUE7Gue,PnB Rock,21WS9wngs9AqFckK7yYJPM,Fendi (feat. Nicki Minaj & Murda Beatz),00M4ecLNv6pzPmr5lheMPr,74,https://p.scdn.co/mp3-preview/34fc6de54a6cba8e37ed9cccf6e2706205887159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,I Don't Think You're Ready,3cBDXeBa5jR7nCks8KQQrN,Tank,4mwXUEKaW4ftbncf9Hi58l,I Don't Think You're Ready,4254aK6cnGgGZGPSyVb3Pq,61,https://p.scdn.co/mp3-preview/408a4fe51386e533d9a8f149173f8c53ef6e74ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Shoot It Out (feat. Worl & Hott LockedN),0TZbar0k0XFt5KsrYQCESe,T.R.U.,7uwQPQsBYgrSd63xgeMyuM,Shoot It Out (feat. Worl & Hott LockedN),1rNiB73X56HmIrodDXDJIO,59,https://p.scdn.co/mp3-preview/b7a649b3d98feff2809106760d8e49aec56d45c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ghetto Angels (feat. Lil Durk & Jagged Edge) - Remix,0vYYWtUgDtFIDFixjFi39x,NoCap,4PNHuWkk4ee6R8WEhFVPf5,Ghetto Angels (feat. Lil Durk & Jagged Edge) [Remix],4xxz9LPm6f6diSX2B9xHJv,48,https://p.scdn.co/mp3-preview/31c67036110fab2120e096136079c901f4587c91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Superstar,4EYvuvqzUepdNaUlUZKVve,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,Superstar,45ScJwTLqnrTpmsjehHPHM,61,https://p.scdn.co/mp3-preview/bc9ac69e0dbf531a29d55286aa6e1ba08d0d2818?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,These Nights,2n0oy8RGDpy6WGcLImTteI,88rising,1AhjOkOLkbHUfcHDSErXQs,These Nights,2ZHGnhsomLmLezueESi9ou,68,https://p.scdn.co/mp3-preview/ba3665499461dbe4f22bedef1b7f2d4941777cb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,By My Lonely,25AEevSO1lu4EKMIP5Sy5p,Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,I'm Him,7JgDLtQ8g7RrfNdLf4Dk2I,73,https://p.scdn.co/mp3-preview/812b5f5a471965eddc5e340ba5c159848be58ef7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Got Your Money (feat. Kelis),4YAH0VsqkTacLE14OjhJKh,Ol' Dirty Bastard,50NoVNy9GU1lCrDV8iGpyu,Nigga Please (20th Anniversary Edition),6PK5k8o9WRXle3xq12NRRs,29,https://p.scdn.co/mp3-preview/0d2dc14402b6d3f71b3e429bab96c107d8ddb9af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Wings,0MdSezTbC54SIPQkXrvHrp,Shoreline Mafia,4tYSBptyGeVyZsk8JC4JHZ,Party Pack. Vol 2,6lolOKwewTA3hoBA6FDTI0,72,https://p.scdn.co/mp3-preview/e5397ea86c2d16d5bb3fb07f601a05f8b975c122?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,No Cap (feat. Rich The Kid),6BuM812WOnmiZ3sQdEwL4T,83 Babies,0IBDUrXqsJZAAnipcupIRc,No Cap (feat. Rich The Kid),5Mja06GjJuRDvAC7IttgTi,41,https://p.scdn.co/mp3-preview/21e3a8f03203f593b8ccc832a0b17b903653047a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,INTRO,05WepN8vrMLJG5r8XRdLeL,DaBaby,4r63FhuTkUYltbVAg5TQnk,INTRO,3HzUH9fh5DExUQXfIAt9wI,79,not available
19,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,223's (feat. 9lokknine),7cekEHNPgpKwVd9kJE9G8F,90,https://p.scdn.co/mp3-preview/66004e52c8bdda0d39a9aa99bbc549df1a4e15e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Brand New,1QxwcqdPXQKcHsDthDeE9i,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,Brand New,6PSc7caJrncUQe5aewfW6z,60,https://p.scdn.co/mp3-preview/4d369d1d29026d195742b95c3ced05732693f6b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Petty (feat. Lil Baby),7MaqxK7LOZD2ND3s3DF7TL,Young Scooter,4cmA2QDPdzh8W2ytpyUGes,Petty (feat. Lil Baby),6sxEkG6Mn8WHNt4Yr3yBDN,57,https://p.scdn.co/mp3-preview/f1edea5cbd870eb383fff64e97f0ec6a4457fb73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,No Guidance (feat. Drake),7FEwp8BavoEVE3AnxJDchc,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,No Guidance (feat. Drake),1ypdCwJwVaUHuFTnvvQbMX,85,https://p.scdn.co/mp3-preview/7c3bc7b4d1741a001463b570fe29f922d9c42bd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Baby Birkin,0BOmhToQ03yOdpzYKMEnAg,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Drip or Drown 2,1oUzjom2A9xtyRM1SdOAGj,81,https://p.scdn.co/mp3-preview/4ed68006ecd1fb0bb834b15fc289b2d55fcd43b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,My Type (feat. City Girls & Jhené Aiko) - Remix,5LTdRSQOg63EazLbKZbWn2,Saweetie,6cK3NBO6uP7hh0oyuVELFl,My Type (feat. City Girls & Jhené Aiko) [Remix],3zA4avOuepGbVtebFZzAz5,73,https://p.scdn.co/mp3-preview/21f03b43d1a6551691894cec2fd991fa53692a84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby),1Yu378yDTmy6EIDYNIEALh,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby),5iNklOSVkzDK96qBxbMmlR,72,https://p.scdn.co/mp3-preview/e6216adb6f375a0dff40cb65d73250c5fb1d53da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,What You Did (feat. Ella Mai),2B7UWqNqKgPVGQQ6FXn2PP,Mahalia,16rCzZOMQX7P8Kmn5YKexI,LOVE AND COMPROMISE,6tbaSZ6Q72kofaJtscUwFA,67,https://p.scdn.co/mp3-preview/66fd92a5d15e2ea822e7990639f4ada5ca9a0a25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,FTW (feat. Joey Bada$$ & Chuck Strangers),4SnJ5y9SUN7MFx2Ngb0FLL,Aaron Rose,1IY0Lt7LmEXwWOrD4vpkxe,FTW (feat. Joey Bada$$ & Chuck Strangers),0aKv2zjqQLdSvsWutkuuDS,54,https://p.scdn.co/mp3-preview/bea035e57649f4ec8eae2d041baad0fc012ffb82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,87,https://p.scdn.co/mp3-preview/909f15e56869916ec4a0b8bc846c6282fab32a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,24,3sufgB1pM6cLtCtFWgqQAH,IDK,6aiFCgyKNwF9Rv5TOxnE8E,24,10WDTlTWNTBzgkMikKcCRe,61,https://p.scdn.co/mp3-preview/4f361054dbc2989ceabd146c26aeb8935b67ba38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Mood Swings,2xE16muNCmhZwSOv3i1d1H,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Mood Swings,0ewO3paYhoJwMGX1Yjyebw,81,https://p.scdn.co/mp3-preview/6624c5f2bd5d29d8ed40b4b65ec97ffc178480f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Stop Calling (feat. Key Glock & Tay Money),570fgRkd58jDYC4uYAg74V,MadeinTYO,5SyGEPymt1G2uto47tVWvZ,Stop Calling (feat. Key Glock & Tay Money),24ZyrExx41cMhL6XwuHBqZ,63,https://p.scdn.co/mp3-preview/cb92f3ad64abbe2a3961dd22638b01dcbd15371b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,More Money More Ice,0MLi0xtqUGYzIDPHEc0SdT,Lil Skies,7d3WFRME3vBY2cgoP38RDo,More Money More Ice,4iFs8JSatV8IXiaAUfYprB,68,https://p.scdn.co/mp3-preview/cf24154a263232f343ef3c6faff292070a0674ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Truth Hurts (DaBaby Remix),01jBJGEa9Ex9W2IjkIzuY6,Lizzo,56oDRnqbIiwx4mymNEv7dS,Truth Hurts (DaBaby Remix),5Z1L2QX1aTvFy3a6lmmHlE,69,https://p.scdn.co/mp3-preview/5bfcb49c634c25e7cb4efbeca9f672ef8d0b84e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Diamonds (feat. French Montana),2HCPn9zy2dN1UbHhEk5VaH,AGNEZ MO,6pMR8Zgot664613rAiLC2Z,Diamonds (feat. French Montana),6CX6iuWvSN1FfG67pYgYfd,58,https://p.scdn.co/mp3-preview/888355a2973ab157f2e970585ee5c770d5c1c355?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Just in Case (feat. Yung Bleu),5Lf2ITlU2ENc699dORAwae,Ar'mon & Trey,06s0Xoir4hPLHbeBhJBPBa,Just in Case (feat. Yung Bleu),7sq6QFkqzpXkQ6dBdU5coX,51,https://p.scdn.co/mp3-preview/1cb390f7563e9f5a7bacf97996bba5ae28af2825?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Holy Ghost,3MsOBg104Lz2M9w2grNRsS,Fantasia,7xAcVHPiirnUqfdqo0USb1,Holy Ghost,1hl8ShfXIGeCgAsLQCTVPs,46,https://p.scdn.co/mp3-preview/01686399edfbc636cf422663ad3db04e80b0470e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,RNP (feat. Anderson .Paak),5lw8Mgb4LyhriPIC86gV6e,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,78,https://p.scdn.co/mp3-preview/a74bdd4a7eec8772c8f1c9538de440d9f3da84f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Satish,4hbcs8vaamKTPevPIJsY7N,Tee Grizzley,6AUl0ykLLpvTktob97x9hO,Satish,1Qs0qbWADzRVQ7MxD5MvZe,76,https://p.scdn.co/mp3-preview/8c1731e404bd42eb549309eb73ecb477c1f297fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,My Best Life,06X9eSG5QBL77VmdLIA9v9,PJ,4O36cq71Cq7NazopFLBMmb,My Best Life,74qFSJBgaxbfIValZlqaMg,44,https://p.scdn.co/mp3-preview/12e62e690719ee74ba89dd6bed9a0c39a2b6590c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Bubbly,2rGgIteiX209jWcsbS1MXq,Roy Woods,7mDU6nMUJnOSY2Hkjz5oqM,Bubbly,61EUToVfhT7of9Dnd6WP1O,66,https://p.scdn.co/mp3-preview/1c153d5f4759fd0ccdb8b1eb642f772094ed038c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Throw It Back,3qc67Hflqzvw3hShw2phgG,Missy Elliott,2wIVse2owClT7go1WT98tk,ICONOLOGY,6t1leWJ43SjwKoKRL9YWiX,71,https://p.scdn.co/mp3-preview/56d8a5503b82a24e86c2b673c9d359fcb7b12c0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,The London (feat. J. Cole & Travis Scott),3s4mrPrEFFPF0LmAfutW0n,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,83,https://p.scdn.co/mp3-preview/5e3e588bb03b860c16785f51b03089a5797ca80c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Light It Up (with Tyga & Chris Brown),4Q8aDd3H6LF8t4eY7So9O8,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Light It Up (with Tyga & Chris Brown),4jOMXJSDTGNMZMhUbwH7AZ,75,not available
44,Indigo,1sOr5OXjbukTzBDgmvd6Fa,88rising,1AhjOkOLkbHUfcHDSErXQs,Indigo,3Y3CwwjIi03RRyJohYzKXh,79,https://p.scdn.co/mp3-preview/92303f27f212f7cf4abaadd75a187576b5947869?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Can't Fucc Wit It (feat. G Perico & Buddy),1k2HhEswGqIFbiCn4kGKwT,Powers Pleasant,0fYw4bch7qTxBZLS3rSVMj,Can't Fucc Wit It (feat. G Perico & Buddy),0g9QlnEjmhDmFNJNuB7RyU,33,not available
46,Slidin',4e0orGSexjuBqztinAckgb,Darnell,4myE0zw6Jyrspdx6mLZF3c,Bail Money,1MZ1KPQETtafF5T60BLw6k,40,https://p.scdn.co/mp3-preview/136c7f2e8bfe41911a05d167c577a0f3c85ed7d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Hear Me Calling,13ZyrkCDmRz5xY3seuAWYk,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Death Race For Love,1GYVNOzwhx1nMcIJDogSNp,77,not available
48,Broke As Fuck,1faIb3PPSzEifCHUOJ691R,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,79,https://p.scdn.co/mp3-preview/26b166ec6ed2cdf881dbba5045945529b64baa12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Shea Butter,1ihqApqxH7mSji2j3t4knV,Pardison Fontaine,7Gkyjs2OYQpJdOvvmwIz2Z,Shea Butter,2x1cspzGZzVUNCHDsPzeV7,54,https://p.scdn.co/mp3-preview/f178e2a38e074f6ddd11821208601d1741b6ca3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Celebrate (feat. Travis Scott & Post Malone),0b6UoVjUzFyZNpHI0aAhKt,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,Father Of Asahd,1YgX8BWKleDlDeCOFklRfz,72,https://p.scdn.co/mp3-preview/d2ee36ebd893fb11b5ddd68910dbe4c792a12cca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
