Chill Hip-Hop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,Satish,4hbcs8vaamKTPevPIJsY7N,Tee Grizzley,6AUl0ykLLpvTktob97x9hO,Satish,1Qs0qbWADzRVQ7MxD5MvZe,76,https://p.scdn.co/mp3-preview/8c1731e404bd42eb549309eb73ecb477c1f297fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,HEAVY HITTER,7zJld1LpGmLsPt8IGOc0KL,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,Confetti,7xfcihbsBamUi6sezd0oOG,59,https://p.scdn.co/mp3-preview/cc7757b44119a13b84fc59481ab4a3697ea5e276?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Fendi (feat. Nicki Minaj & Murda Beatz),7H1591r6SfmZZh6BUE7Gue,PnB Rock,21WS9wngs9AqFckK7yYJPM,Fendi (feat. Nicki Minaj & Murda Beatz),00M4ecLNv6pzPmr5lheMPr,74,https://p.scdn.co/mp3-preview/34fc6de54a6cba8e37ed9cccf6e2706205887159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Brand New,1QxwcqdPXQKcHsDthDeE9i,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,Brand New,6PSc7caJrncUQe5aewfW6z,60,https://p.scdn.co/mp3-preview/4d369d1d29026d195742b95c3ced05732693f6b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,First Day In,4JRefBeND4am9trvjqFb9E,NoCap,4PNHuWkk4ee6R8WEhFVPf5,First Day In,5fNqJb2gVCaGHSDzHvcOou,46,https://p.scdn.co/mp3-preview/a971f4958b521f6335309fb60eac4bef35f89554?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,By My Lonely,25AEevSO1lu4EKMIP5Sy5p,Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,I'm Him,7JgDLtQ8g7RrfNdLf4Dk2I,73,https://p.scdn.co/mp3-preview/812b5f5a471965eddc5e340ba5c159848be58ef7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Petty (feat. Lil Baby),7MaqxK7LOZD2ND3s3DF7TL,Young Scooter,4cmA2QDPdzh8W2ytpyUGes,Petty (feat. Lil Baby),6sxEkG6Mn8WHNt4Yr3yBDN,57,https://p.scdn.co/mp3-preview/f1edea5cbd870eb383fff64e97f0ec6a4457fb73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),3950uQm4KQL3ckerKBeXYp,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),432608DLpP0hExluDkY3Yh,62,https://p.scdn.co/mp3-preview/e726b14668627c5fb930f081c9d799471b93ff0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Shoot It Out (feat. Worl & Hott LockedN),0TZbar0k0XFt5KsrYQCESe,T.R.U.,7uwQPQsBYgrSd63xgeMyuM,Shoot It Out (feat. Worl & Hott LockedN),1rNiB73X56HmIrodDXDJIO,59,https://p.scdn.co/mp3-preview/b7a649b3d98feff2809106760d8e49aec56d45c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Wings,0MdSezTbC54SIPQkXrvHrp,Shoreline Mafia,4tYSBptyGeVyZsk8JC4JHZ,Party Pack. Vol 2,6lolOKwewTA3hoBA6FDTI0,72,https://p.scdn.co/mp3-preview/e5397ea86c2d16d5bb3fb07f601a05f8b975c122?cid=fa83a2fec7c440b7a2795d600d6b2c7e
