Cena con Amigos,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Maria Cristina,6RkiGbfRM1Blo3iXVc98uS,Eliades Ochoa,0hXHTWhBUEpkyHJ0GnghEH,Companeros De Mi Vida,5syN6MvgMAkQDOpYy8mceC,40,https://p.scdn.co/mp3-preview/d1898e995e1e45d14e1d7adad995cee812892dad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,I Don't Care - Acoustic,1m84zLz4WizjR4mCDoXReg,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (Acoustic),34hxmcDX91rZtwckrSlq1X,76,https://p.scdn.co/mp3-preview/92be55693f9002286062f6fcf4e07cdd2b859c32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,New Light,3bH4HzoZZFq8UpZmI2AMgV,John Mayer,0hEurMDQu99nJRq8pTxO14,New Light,5fEgDYFPUcvQy21TYoLEZ0,82,https://p.scdn.co/mp3-preview/213ffa7ca413185c59a8811102048c07cd74494d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Habaneras de Cádiz,6Mhw12JZfaRullIwuiDrnW,Carlos Cano,3DmpE6oHcvPFhtMTSlLMFB,De Lo Perdido Y Otras Coplas,53XJCziWiXOOrBCmbVLXGC,44,https://p.scdn.co/mp3-preview/d93a95396a0d57702f95ab6a19f4f95120423432?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Fui a Buscar al Sol,72q51tZkGZeN92UAHca86o,Maria Rodés,2uCphK8yRHj9DHJmmE5Isf,Eclíptica,7HqkDcXBIrGdvoFXZKYDkX,42,https://p.scdn.co/mp3-preview/74f54c274f7f945b65f06ab8bd882b4ca8b957b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,L-O-V-E - Remastered,0PP5FvPTbe9ksjX5HbwQsi,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,"Ultra-Lounge: Wild, Cool & Swingin' Volume Five",6i6fAWD5fOYlmcDIX8aFmK,44,not available
27,Ganando el Tiempo,6vcggsPzVC9qWikamING0g,Feten Feten,2jA6wEXprTZysvomP2krp8,Cantables,269SuIWx9DZ7poGQzNVbUD,44,https://p.scdn.co/mp3-preview/70640b046286fb673a450d72233a665b707f25ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,6000 Miles,3UvcBuqivTJkZgRoLZ09JC,Sara Pi,0laMFy7P4AzMlSDFHf6CuE,6000 Miles,3RKr1pYPqHZaAsh6w8SCxk,32,https://p.scdn.co/mp3-preview/81d9106a69ebaa9ba0f7694287e04325fc3a74c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,María la Portuguesa,4UBD68Gl57igC6y1yndIjI,Las Migas,6wWp1JO8wL9qEeVV0TRHY3,Reinas del Matute,6UQCxm8zXegAPpW5FJhfCK,39,https://p.scdn.co/mp3-preview/852f9220343ec8b853b989d932c9783c9b7770eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Só Danço Samba,4Wzym5Rbnn8Ny8rFqEObm1,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz: The Bossa Nova Albums,4TcCL29jgD69v38woQX85i,6,not available
31,Somethin' Stupid,4feXcsElKIVsGwkbnTHAfV,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,The World We Knew,67Evm6gPc9wFSUf1aXOrKO,70,not available
32,Chocolat (Swing),42gaDDxNCrQMkri7sQcqGq,Feten Feten,2jA6wEXprTZysvomP2krp8,Bailables,2LXPajOlTfGvlm6jm1oFtW,41,https://p.scdn.co/mp3-preview/429c98ce6237913796eba502282a619c88dda2b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,How Do You Sleep? - Acoustic,2ZgUlizmH0VmOJzUwDchAf,Sam Smith,2wY79sveU1sp5g7SokKOiI,How Do You Sleep? (Acoustic),0RR2uPlGQKAYXJIXgYNJKE,69,not available
34,Semilla Negra,6G4JJs9bhVt6ndHQBcao6b,Marlango,1sssLDz8bNSqKkW1zndP0D,Selection,2LRLNUHFT5zF12MTSTZmX8,39,https://p.scdn.co/mp3-preview/27f15e6745198bd462d51459044ebd521baad3be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,"E più ti penso - From ""Once Upon A Time In America""",0xD4CViKIXLz07PDhP36GJ,Andrea Bocelli,3EA9hVIzKfFiQI0Kikz2wo,"E Piu ti penso (From ""Once Upon A Time In America"")",79Hfcb2LIczgK06mqWDbNU,2,not available
36,Havana - Bossa Nova,0Tl1pHPHtn8WHMakC5VrVM,Kaysha,2DBaDAcrh5sf17yR1qbnsy,Havana (Bossa Nova),3b3HGOoRb1eTmI6ilMRvWG,53,https://p.scdn.co/mp3-preview/f001f8ce9180cfcb535ffe888535dce88c242e4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,The Look You Gave,7zZL4B0OjORzgedZ5YHDXw,Williamsburg Quartet,6DA5wkpfxPI7JwNla5FNje,All About You,2nJszo5U1ARkuv9d9AVFAg,44,https://p.scdn.co/mp3-preview/b73579a70591eb86e08504a8520dc0455c5c450b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Boa Sorte / Good Luck,1xb4uv25MokAY9xos31WXL,Nelson Freitas,6yWyIM8jA96kl3jlCXpabB,Kizomba Brasil,2Fz12u46WRwemfugwB2S9j,44,https://p.scdn.co/mp3-preview/e41af50bc3726bb3c52b4a4f4bf6993f041fcea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Girls Just Wanna Have Fun - Acoustic,7rohDMzsbmSmol7sIZs0Px,The Mayries,38SWPOPO1YqxUPnT4AAoID,Girls Just Wanna Have Fun,1WJCyViZxB0GWgvZicSxKY,64,https://p.scdn.co/mp3-preview/a897c3c025a31a1adf8ce070adcbae785910c090?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Tears Dry On Their Own - Acoustic,6ftZrt4wcgSHokKl7ice5y,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Live Acoustic EP,7ahC3nVbClJ8pqASWOIhda,54,https://p.scdn.co/mp3-preview/00e8aeaa6248839f9c242e18ac85da8163a32c2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,One,3PKtemUKxiDBvBo7tpQ8bG,U2,51Blml2LZPmy7TTiAg47vQ,Achtung Baby,3hErePSImi79vYHrSmypGw,25,not available
42,The Scientist,75JFxkI2RXiU7L9VXzMkle,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,A Rush of Blood to the Head,0RHX9XECH8IVI3LNgWDpmQ,84,https://p.scdn.co/mp3-preview/95cb9df1b056d759920b5e85ad7f9aff0a390671?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,El amor contigo,058K19d3MSe088Cgf3QlN0,Yasmin Levy,1XDkuk3pjmco8Mkd93Qxbu,Sentir,4gxaBylPClHaSjbfuzJA9P,41,https://p.scdn.co/mp3-preview/4622983244c8214d7d59759ed94e1a8227c68167?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,(They Long To Be) Close To You,2kyVQg00pphEufGT59M2XH,Carpenters,1eEfMU2AhEo7XnKgL7c304,Close To You,5z8MFnoVUIfVo6MQW0uIul,64,not available
45,El Cuarto De Tula,0NkBKaWhqR1KN67bUPlvYp,Buena Vista Social Club,11kBu957KTYoAltZHDm8gW,Buena Vista Social Club,2Upqk0mMh9OMIVSj9F8Xzw,31,not available
46,En el ultimo trago - con la colaboracion de Chucho Valdes,57ufef2a7mO1RMJJSoP1lw,Buika,1gbXoccc8bjK8eUh92mILy,In my skin,2AlNyn5VlIGCeuWp1NpiXR,25,https://p.scdn.co/mp3-preview/2a2648b11561313d358401761562d9b88aa5112f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Trompeta y Trombón,7blCmw8CU98pSmvvSXYsUX,Ray Barretto,2h4ndKS2vRWeFLpq8ARu0D,Latino con Soul (West Side Original Remastered),6fzqmTd7d1DqOZhJSBcNJt,10,not available
48,Is This Love,3c0VB4zRHksX7aUSJ5IXyG,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,The Best of Bob Marley,2EiqmZ6MJK9MghMzqks1DX,4,not available
49,Poker Face,2BvUnyMmphVTlwDigM5oss,Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,Poker Face,1np99MsHr0mQzN7RfxAinV,1,not available
50,Bad,3xRcQ04b0l5RiU2w7lJhCD,James Bay,4EzkuveR9pLvDVFNx6foYD,Oh My Messy Mind,2aIsEIVLrAP75xdEhdVm1d,74,not available
