¡Dame Más Cumbia!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,968082,spotify_espa%C3%B1a
1,2 Pa' 2,1Vd3YqV8DYS1U3rsJads3H,Rombai,5KQX0Ui06LVm6PApyicRFK,2 Pa' 2,6Mp4YC9YfYpNzKSUgd7BQs,66,https://p.scdn.co/mp3-preview/0218a107a6df79ec3b213fdfaca4c788dbac07cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Cómo estás,6bLvfGI2XeU5DTl8feuNrk,Ke Personajes,06Q5VlSAku57lFzyME3HrM,Cómo estás,30wGCjJRi0wRjdKu12PQcd,65,https://p.scdn.co/mp3-preview/98b65d9b89d4e51ef0018208ec525dd64548011b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Lo Intentamos (feat. Grupo Play),3tkOtUYwVBLXtDej4HZrOr,Los Bonnitos,7d1kmnhwauydKmuAvjgQrH,Lo Intentamos (feat. Grupo Play),3JfEpmUsapYmTveLcrD96x,56,https://p.scdn.co/mp3-preview/99ad24fb2a0c1f4102bb0dfb7cf45606f1bd631c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sólo con un Beso,5ucrujpVC5pPdxNR42guhh,Los Totora,6Cv7YpJ01y71mdgm4szmU2,Sólo con un Beso,1wCoN5OCgwlVWfR8nzTJBJ,61,https://p.scdn.co/mp3-preview/7dfabbedb7cbfab15a3f693294bae054eb673489?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Culpable o No,0PNkST00gopYa35OLKfju2,Agapornis,27Yc5RzJf27tJfqezJnHY1,Culpable o No,7cpSPJeI3YMC56xp7lsz19,54,https://p.scdn.co/mp3-preview/0729be679400b06ac8047ea3eac0977d1d61c52d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Me Voy,22sESxzbY1O1E19xjOTaYf,Rombai,5KQX0Ui06LVm6PApyicRFK,Me Voy,4ZsEahCVUrqLbheIJR91bN,69,https://p.scdn.co/mp3-preview/1565ac792f4ea2435e5131f5faa995ae8375bd32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Donde Estas,58QDB1sKe1wHZEvngevtGE,Hernan y La Champion's Liga,04XdCDDrPnnqidaVBTOQjt,Donde Estas,6HliYi1SE9uMcnJHFVC0oT,57,https://p.scdn.co/mp3-preview/9d78f0c327eefbafa2d347e97c380b1d82e6606b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Deja De Llorar,3tddzXTgneWrkV2cYNUBZe,El Polaco,3ucYybVr1mTuB04HtoBDCc,Sigo Por El Objetivo,2mDUQf0t9BfK4niWwr3Mdx,63,https://p.scdn.co/mp3-preview/9a5e88129adbc26ed6ff151fd3288e235690ff4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Dime si eres feliz,2FsKAVOxpmnxhxmEsqrZOD,La Champions Liga,4osqF39bEPXPsJfVUXeCh3,La Champions Liga,62CXOSLSYEgIUONJ8Mu9gm,63,https://p.scdn.co/mp3-preview/15a4a1a7dbce294ad510b8b78947204bb7c3dcdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,El Color de Tus Ojos,7nmV1InGzooNuPx6iSPwHz,Agapornis,27Yc5RzJf27tJfqezJnHY1,El Color de Tus Ojos,4nL0XYZSkhZZaFQvNvxbMO,54,https://p.scdn.co/mp3-preview/714add7dc63dbf56a4fb0ccb08f8147fff05a664?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Fallé,4Sfp7pzY0gAUiuWpykPIUT,Nestor En Bloque,2to8xMgnoxHCXPF7eWJPvg,Fallé,64TR2v83gV0lH1juUoq9nq,53,https://p.scdn.co/mp3-preview/45854f84496cd1ba29ee983da8184fdb70a37782?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Si Me Llamas,3UxHUMMCUX9Stf7WuKwtK2,La Kuppe,7krUxybhp1bUwFBxpOtmZb,Si Me Llamas,25fWCLsrLsPJxLtI3zjbVl,52,https://p.scdn.co/mp3-preview/15a8aca798cae2880728082a0a9de47d2ea66ef5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Maravillosa Esta Noche,1gonyTKH24V4eDFEbnvewJ,Los del Fuego,5L6GbwWUM3Oi5GPnkmmp24,Maravillosa Esta Noche,5fgZ0novezag3oHcyGWVQb,50,https://p.scdn.co/mp3-preview/b6c170c5e4e646c5d8c9a962ad65c0c9a8345fe0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Típico (Tu Histeriqueo),4UwDVzYbGMTBLUGIB6B48T,Mano Arriba,4YBAOrBF9vBB9inOLtpRzp,Típico (Tu Histeriqueo),67X3TLwyIELvJZqqBDRxHl,43,https://p.scdn.co/mp3-preview/1e22e4c93f45184faafbbf878e9e859ace3e7a40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Nada,7BltBqVFgT2EcuFecG0lzp,Mala Tuya,0CLDI7ZZQOL43R0C2yfL6V,El Día y la Noche,4sXpJL2Iy5GZa07iKdFbbn,47,https://p.scdn.co/mp3-preview/abb9389fee2d7ddffed3fa79e9efb7a15acb3eb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,No Te Contaron Mal,3kTbCMCftDxUscAi7VO4nA,Roman El Original,72kCHSLbK0D94Bgpo7G4sJ,No Te Contaron Mal,1SA0I1FbYvDLQ4KJ3KORMl,45,https://p.scdn.co/mp3-preview/4b6ccb8a06e86b89eb78dbba12e4021072fc6753?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Vuelvo Contigo (Alex Dover Remix),13HpPm50x0EaZJSqFnHPkq,Chule Von Wernich,09QoQi6E7GP5AePICzRcZe,Vuelvo Contigo (Alex Dover Remix),70XN8OmucQDJBJIa7nTLVD,49,https://p.scdn.co/mp3-preview/6f69aac9e751a1f21e2f68f14c1d773be25654bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Juego de Seduccion / Persiana Americana / Corazon Delator / Cuando Pase el Temblor / Tratame Suavemente / De Musica Ligera,4LVAaT0AupDe4EKttxYazr,Los del Fuego,5L6GbwWUM3Oi5GPnkmmp24,A 30 Años de una Pasión Inexplicable... Solo He Nacido para Amarte,2oAr9qO4Lfm8PgSBHgox8l,53,https://p.scdn.co/mp3-preview/0929b0961098497f8af7607a0b9a21da6348cb93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Casadas,2ESTB7UxMMlSsOilH4XFxK,El Polaco,3ucYybVr1mTuB04HtoBDCc,Casadas,7GyDc35lgVavaPjfhyUC5J,49,https://p.scdn.co/mp3-preview/8146b28b2cce3838d761fa9ef948ce99b1f398fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,El Telefono,1fAwaxPzUBxeX7rbdlm2Zr,CantoParaBailar,288dJOiQmxw6pTZ6fqpbiQ,El Teléfono,7zlhllBlDW5aQEbBACgRtu,52,https://p.scdn.co/mp3-preview/f3295160027119d10c5e42d1ff4a22446e68317d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
