Vibras,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,692860,spotify_espa%C3%B1a
1,No Te Debí Besar,1KdwnsWOvhM53vezy5ROuf,C. Tangana,5TYxZTjIPqKM8K8NuP9woO,No Te Debí Besar,1VIVJSQidZ6nddSJoEEYt7,84,https://p.scdn.co/mp3-preview/4b86f6bd7a234d31407838ac05d2f5d7a9fa5b1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Vuelve,4KM3EegQxVIvcihTEjPdRf,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,Vuelve,3tHGFcXeL55wqNQl2vh2GX,64,https://p.scdn.co/mp3-preview/f2c6f192c3e1dc3adb1ac677a9bb702fbea9c931?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Good Vibes,4TwIbmabI2R5XUhqptk6Ev,Fuego,7wU2WGCJ8HxkekHHE2QLul,Good Vibes,7iSkcdgLqXakbw8EazkZK7,64,not available
4,Nada más que hablar,205YMaOKeRMN66gQvqw2Cx,Chita,7ejyCwT1b7MIwHVCVO8HjX,Nada más que hablar,73upfZux7rOBO0nmO1eiRC,48,https://p.scdn.co/mp3-preview/894a47ab86026c9bc6092321dc37b4eecfeda3cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Te Busco,7AyXdBQAgRLJBK72gqq0Hz,Sech,77ziqFxp5gaInVrF2lj4ht,The Sensation,7sxSaAYrq3kXLmTuGkIBFU,64,https://p.scdn.co/mp3-preview/79ef833eea2fa30f396ce7f1ad701d273ebdbf91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,6ylFfzx32ICw4L1A7YWNLN,94,not available
7,No Guidance (feat. Drake),7FEwp8BavoEVE3AnxJDchc,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,No Guidance (feat. Drake),1ypdCwJwVaUHuFTnvvQbMX,85,https://p.scdn.co/mp3-preview/7c3bc7b4d1741a001463b570fe29f922d9c42bd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Better,6zeeWid2sgw4lap2jV61PZ,Khalid,6LuN9FCkKOj5PcnpouEgny,Suncity,2Qxc2NJ7yPKVFRWi3llRr2,83,https://p.scdn.co/mp3-preview/59f5d00716f1746194f556bd3fa05b1439533598?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Lo Siento,0ClcrnR80RkIgelrzr3w7V,AQUIHAYAQUIHAY,3zMBw1jxFritUP7Mpce68i,Lo Siento,0QdSYbLH1DjIse2qkQDlz2,44,https://p.scdn.co/mp3-preview/90637fd106252843a51aac3567229d03fa103b30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Velitas,7q3NthaBqFI6s0WnAlnIvq,Darell,1TtXnWcUs0FCkaZDPGYHdf,Velitas,12jwb6dkXYHWYg2YXvNCuA,83,https://p.scdn.co/mp3-preview/c0af36ceb14f6e189d3d5410f5b8892ee7bc2558?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,DULCE,0WuibCj8uDcWgQ9oYWXUXS,GAWVI,0oPd8f0W82Tgrazx2PYNab,PANORAMA,7wD8rF1uNrehwaVoPgQn33,51,https://p.scdn.co/mp3-preview/2f5d49842deb8de37d62742ca78f8c08bb24857f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Más,1neLBmoSo8PP8yiCe4n8sN,Fer Casillas,1zl3p4VBfqqHGikw3Ad46R,Imágenes de Olga,1TZeaHikj2S5KfKEoWdcDA,41,https://p.scdn.co/mp3-preview/82de82da7866e4a9af37716beca97ab468f89701?cid=fa83a2fec7c440b7a2795d600d6b2c7e
