Punk Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,La Vida Sigue Igual,4jyuKmz9LEpVe1gF7nbFNB,Tijuana in blue,35LHJRKlkpHkACfkoyqqT4,A Bocajarro + Sopla Sopla,2QoZ36rmjP1gyQIQ2aAB9r,32,https://p.scdn.co/mp3-preview/d65a68df1a6446d016695ea255e0deb985bcc1a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,El Mesías,6XhGmdyd3lJUJyUGaAuCqD,Arpaviejas,3p4ATdrRNiaczZdnPeZlqA,Ladrón de Almas,7EVAAxBNm2ZnPBtQWd8eCy,32,https://p.scdn.co/mp3-preview/6758b912b3a24c5ae4d397abfb05818eea727d78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Jimmy Jazz,5JU3KxDurO5jxRS6oXDKFN,Kortatu,2bSQxEqvD23Y4W6ztHaann,Aizkolari,13sAtrIn7lO0xiO4G3dyR6,36,https://p.scdn.co/mp3-preview/60dc0940e388a25848a6f262768aa9311d9a47d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Salve,3A5g4sFwzahqS2B3NeqNV2,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Salve,1XCAxFWUmdLpI0WEtfBYmU,0,not available
23,A Ras del Suelo,7MofeVnACbDDBOrp0n1O2M,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Kontratiempos,4czEvvHdq60prvX7rBwCh3,38,https://p.scdn.co/mp3-preview/bb1615aecfaab3340295ed27a69cbdaaa2d68159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Así Es la Vida,12obLt5jLRqJTWwbV7HywQ,Los De Marras,0E1P5uNgbD11POIDxFROHh,Vulnerable,7hL5n61zepkS2WQ1MCTpCI,46,https://p.scdn.co/mp3-preview/8404fbde27874024cd1b36dfb091e1d8b4e5ae31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Mil Historias,7mElnVvJoNpmTDSPvOJMUB,Kaos Etíliko,5y9aHzw345UfAGA1Db5BPy,Porsupuestón,4fhyGd8qDAkvZXmDvLYixi,39,https://p.scdn.co/mp3-preview/71a46bb14872d3b448708395b3ae3fcbe3e39968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,"Mucha Policía, Poca Diversión",7yu3tzlkrr17M2EL0ELF71,Eskorbuto,3AXQ8iTveAp1uA5NlbK8qb,Eskizofrenia,5I1ldD90ymu5m41CjABLUX,28,https://p.scdn.co/mp3-preview/0e8799e6d5f2551e7c0333316561713d8e5ddeb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Desde mi pecera,4EngJo3IphMqzDWZig5ZHx,Strawberry Hardcore,1paudE705UbfZ2ArQsX7uJ,Todos vamos a morir,00llhCPk3aIHtqS3m8nRvY,26,https://p.scdn.co/mp3-preview/ed97e6aae06a9822c7a45ed51df10b90ee8055cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Gernika,2U24O0XkSyQ36T8yMnaeDp,M.C.D.,2sKHlDMJUO4uCZLsEmcun3,Jódete,1AQXxv2pGU4QSh6v34FufL,32,https://p.scdn.co/mp3-preview/ad5b69e005898e087ff04ff68e9381daf521120c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Esclavos del Siglo XXI,0tk6HwFFBSkbrn8sGKaZgq,Gatillazo,3XrunnoiCGkRTanrnsPRam,Siglo XXI,2fwFXVTTeMyJj7IbIoFQZy,47,https://p.scdn.co/mp3-preview/c2d26ca36a084d0817194993cf3d2e1fa1bc2a51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
