Clásicos del Verano,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,304815,spotify_espa%C3%B1a
1,Madre Tierra (Oye),2wlptOJ1g5fvLdu6ruKCKU,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,En Todo Estaré (Deluxe Edition),0P0d0y1LQ5VGrp58TQ0oM2,67,https://p.scdn.co/mp3-preview/a3f9fdb1ef24293cd91e298b7f088627a5dc670e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Purpurina,5HFvuMLMgS75OaY3UKzqqs,Alberto gambino,2KaaIknCVW5SstugreNkha,Purpurina,72qI1N3VpmiHjDdBRuZz9B,58,https://p.scdn.co/mp3-preview/1f7b1bef7efec8cb1723d53469afa98a147823b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,TELÉFONO,5h8VHxOBK1VWWj46T8fSly,Aitana,7eLcDZDYHXZCebtQmVFL25,TELÉFONO,3hgpPBjZ7yR1yHyrVEngZL,65,not available
4,Déjala Que Baile,2KK9N6iBAisA0booTu3bGd,Melendi,1EXjXQpDx2pROygh8zvHs4,Ahora,2cx8aUPxZ0GvVJkJdNXeOM,69,https://p.scdn.co/mp3-preview/330975ffaa921235ab1a9fca0f57f1b2b87db2ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Ibiza,1h9P5WJwyvK8OB7O2YiXgp,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Aura,0SukGZiXMtmsZoxstkBtNR,77,https://p.scdn.co/mp3-preview/bf3706f0957c6b468c8b6a0e028c1afbd464664a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Traicionera,5J1c3M4EldCfNxXwrwt8mT,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Traicionera,1TnP5HDR6fxVZBIGZq6DgO,9,not available
7,Ya No Quiero Ná,2A2Q4CYBcVvBF2OqgJ3OWX,Lola Indigo,3bvfu2KAve4lPHrhEFDZna,Ya No Quiero Ná,0qvWm5gyv7jLuRwj4Ioaob,65,not available
8,Ni La Hora,1he4G9w0zh5GokInpOSINW,Ana Guerra,3MRynBsyLGzv3IQ9Fip6hO,Ni La Hora,4ICMTx81FzdZHeNdLmHud3,61,not available
9,La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,1GT0Q2ZTeKtIBueYKr4vhr,Juan Luis Guerra 4.40,3nlpTZci9O5W8RsNoNH559,Asondeguerra Tour (En Vivo Estadio Olímpico De República Dominicana/2012),43lcnoRo7YBAYHEztiDRrG,66,not available
10,Vaina Loca,1s2B5cndbqK8rPJEIcKJRQ,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Vaina Loca,3EpCMNzLUiLxHlXq3dKApm,19,not available
11,Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Ya No Tiene Novio,7yFrNYBdjgAeUKflMGtU8l,79,not available
12,Calypso - Remix,3B1q4Cv9PcYdiOpzqKSEIV,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Calypso (Remix),0Ru1vApAYHKIpCeyc7gGJn,55,not available
13,Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,4obzFoKoKRHIphyHzJ35G3,Sin Pijama,6hAxqfWO3xDGzjs8yad1pB,81,https://p.scdn.co/mp3-preview/7097639119e58485fcb5ce246725fa2b7ac71904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
