Bossa Nova Baby,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,34368,spotify_espa%C3%B1a
1,The Girl From Ipanema [The Frank Sinatra Collection],2WAnKM5yJG26llll2xXKl1,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Francis Albert Sinatra & Antonio Carlos Jobim,4xapHy6wzVWQq1xh6pkDtW,0,not available
2,Waters of March,292Koxzl8ugcgGPl3NOv4P,Basia,4mITrNyXdPhy8phBHPgAHk,Clear Horizon - The Best Of Basia,4bd6ybp8gp8lKAIxCwexGz,40,https://p.scdn.co/mp3-preview/14b677d0cd5484e3e4891e64092f606b0a0a323e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Passo a Passo,1i1f7BZn1vIfK7kWEKG1Jy,Bianca Rossini,21U625AUwj23OxpWcugsun,Meu Amor,4OVGVvLDFMBIFahCXcg5Ee,32,https://p.scdn.co/mp3-preview/b322ab2edfabba557b10f079b460fde91c3b3606?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,"Don't Think Twice, It's Alright",2k9INO4dSLTfEDRz7aorQC,Emilie-Claire Barlow,4doI7TR51c6DTaveTwpIkg,The Beat Goes On,5ybWzNgRuOpY4vFoIGdsDk,12,not available
5,Wave,6uThTeCPBZRRWZgwspOhcA,Lisa Nilsson,68QvqbdqwqqjW39YpUJHdG,Sambou Sambou,5dasiBFCNXXzRE7RpeutMM,1,not available
6,"Waiter, Oh Waiter",2nNI76fEAEXKpjrWLpqPf9,Stacey Kent,03EYBMnqSchCMp5D9qmFXi,The Changing Lights,1Jk9EnbfUZCyIgtkvw2JYq,25,https://p.scdn.co/mp3-preview/99a895d45acc54ac78e93f4f9181ce1bec58765d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Easy To Love,5tu4L93jf26r7Nak71lcVs,Patricia Barber,16R5esBHEkxTw1QO9dnWM5,The Cole Porter Mix,1NGLLk5vTXlmHbIGGPWG1I,38,not available
8,Amapola,4ov1vWVTE3gs8OLWXRDszR,Gabriela Anders,3z1lMiC42WnFHHmwrACV66,Bossa Beleza,1YPB3unFkBCXzCyxMkR9yx,0,not available
9,Isto Aqui O Que É (Silver Sandal),1bNi8WeHJM2qk4PolPHTVV,Eliane Elias,4qKIiUdFND09cgGOc5kfoR,Light My Fire,2x0rWBfqrEcmNhVKfAKMXG,39,not available
10,You Do Something To Me,2pjQSocxwZvGFVKoZEqwPW,Laura Fygi,5ETqbIZYRoPMQbly4iVfuB,Songs From Movies And Musicals,1WwZczahfVT8K3OR5xjiBw,13,not available
11,Night And Day,34gedGefD9nxriWN31PRTl,Karrin Allyson,118jMO6hdUQeoDOv0XiLIs,By Request: The Best of Karrin Allyson,0z6z7Ot3NT6GzttIgWL4Jo,0,not available
12,Sing,1Wpi2b2K6mg0ewiSrCo5HB,Jane Monheit,7rwI5cbw9cUKFVul2rZMiZ,The Heart Of The Matter,5QupXSIXqRFRezb7bcQiUF,0,not available
13,Your Smiling Face,5OUeiGuxlCPKksGmCQlU20,John Pizzarelli,5Yc3oYPNlABAj17eZiNJqf,Bossa Nova,7es4ndDdOP79VCEd88nqwr,26,https://p.scdn.co/mp3-preview/0ce614ff5e7393f0c6262048869696d2f135554f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Till There Was You,0SAOda92hEoiXU6yC0KeJ3,Sitti,0t7vWPRBcVv4xBEHPZHSWA,Bossa Covers,3fsgQPCmCIYpIi21FciJkh,38,https://p.scdn.co/mp3-preview/63b3abe321885a2c0c80fcece846a69f7483c0de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Fly Me To The Moon (In Other Words),6vremkl1MSn78wqkLw4vGE,Julie London,3qUMmh5biaB5hqpF4LqS3m,The Liberty Years,2sH9FC8gzWUaO5TV6gu1A6,23,not available
16,Soul Bossa Nova,30Mzjj0qhwvobi0BTyefCz,Quincy Jones,3rxIQc9kWT6Ueg4BhnOwRK,Jazz Classics - The Quintessence - Big Band Bossa Nova,5RUvDUx3chZakpBa0uijcm,1,not available
17,Agua De Beber,4SSADZr3VsQeoqNbjLXw8W,Astrud Gilberto,5rX2c1zow6hCph8PnnU3kF,The Astrud Gilberto Album,0GcP2Ly5pnuNFdk5lLgDGB,15,not available
18,Para Machuchar Meu Coracao,0jsezJ6ZF2MjxTGIqSQfWC,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz: The Bossa Nova Albums,4TcCL29jgD69v38woQX85i,12,not available
19,Meu Esquema,1aXPRjYQzAOnSLRgTVXGgu,Mundo Livre S/A,7dLXGClVfy10Ug57dZE0iC,As 10 + do Manguebeat,4VYpmHovkGUVBvqeVlpG6d,1,not available
20,Tim-Tim-Por-Tim-Tim,4KDhYE59IceF0kklPXyVQI,Os Cariocas,1FbL4RGqW5gvZ2kZNGdfpA,Pure Bossa Nova,5AsuWDxKPYXmLOIm5KeOqX,48,not available
21,The Boy From Ipanema,0Ug9LJTND5pegxb70A0rb0,Diana Krall,5z1VAFwT35EVvCp1XlZZuL,Quiet Nights,1zTw5dv57Nd7qQNYO1qcmd,46,not available
22,Slightly Out Of Tune (Desafinado),04c0qM2oSmfGYEufFBytj1,Julie London,3qUMmh5biaB5hqpF4LqS3m,The Very Best Of Julie London,2KpxHciuO5Zwd31c4cpKqk,0,not available
23,Samba da Bênção,2moGHNaU8a4j1iowyOiYnF,Maria Bethânia,3f5VCwd57gZsqMad28jyLV,Que Falta Você Me Faz,32OEAAkXqmtVjP1ZjCopWs,59,https://p.scdn.co/mp3-preview/6ec58a54f18437297b4aebc66850be98122830bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Chega De Saudade,73UE3tGwdKdU0bEnyuJJ2l,Antônio Carlos Jobim,3pO5VjZ4wOHCMBXOvbMISG,Vinicius de Moraes Songbook Vol. 1,0Ntbl2C9lkRx0IVqR2e3sn,0,not available
25,Lá Vem a Baiana,2OcfnaS3z0la3C05B2f1GL,Jussara Silveira,59RULa3Jap6Q7Pj1o9tb7T,Canções de Caymmi,7Bb308nsxWjgOyY18ghys7,3,not available
26,Águas De Março,4P9HLmNcE6dUUvsPUvl3gs,Antônio Carlos Jobim,3pO5VjZ4wOHCMBXOvbMISG,Antonio Carlos Jobim - Brasileiro,76LXqyk5qDEXyeT2uzagX7,3,not available
27,Samba E Amor,3uAGrrYTsBRu4ZvqnwJaXK,Bebel Gilberto,6gk4ierjjSVPoZep27VfZz,Tanto Tempo,5atdzbc0d7OcHTrU2WBJRN,1,not available
28,One Note Samba (Samba De Una Nota So) - Remastered,52dX9SHXBcdIZUmptm9qFQ,Nancy Wilson,2JfVCMa3FlvQRlLT5uH9zb,Blue Note Plays Bossa Nova,6dsdyyYjxktA7E79DNBowM,21,not available
29,Triste,0w4ufcWQwpRuLjOS1dpxu7,Antônio Carlos Jobim,3pO5VjZ4wOHCMBXOvbMISG,Elis & Tom,1xusjxfHer7CzdlQwjuZWx,10,not available
