Iconos del Rock Argentino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,847159,spotify_espa%C3%B1a
1,Seguir Viviendo Sin Tu Amor,2qBirMakpTdz9ymxrZEyzg,Luis Alberto Spinetta,1MuQ2m2tg7naeRGAOxYZer,Peluson Of Milk,0sEqp7Del2dp8HmXE8Geqv,68,not available
2,Trátame Suavemente - Remasterizado 2007,65DBZofI0b79kfHTcWWDuU,Soda Stereo,7An4yvF7hDYDolN4m5zKBp,Soda Stereo (Remastered),3i4nU0OIi7gMmXDEhG9ZRt,71,https://p.scdn.co/mp3-preview/1c06992f0a8612343a683730f1c09fdd40172f4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Tan Solo,6vNaGz1KH44XJ9zRyCE81I,Los Piojos,0SnyKkoyBaB2fG8IJH4xmU,Chac Tu Chac,40WRsRybH7Qnm4WAC3wmBJ,65,https://p.scdn.co/mp3-preview/a530c9276ea1aa4ffb1ee28e0297ea556632f479?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Spaghetti del Rock,6rg1MBZqggsQ5olFGTw0rr,Divididos,6ZIgPKHzpcswB8zh7sRIhx,"Narigón del Siglo, Yo Te Dejo Perfumado en la Esquina para Siempre",4GkZExYLfegidZaO1BgpvU,66,https://p.scdn.co/mp3-preview/67e2c6e93a4402cdb11a88df45c1bc59c8a95eb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Loco (Tu Forma De Ser),3ydweVPwq9PCEVJ8WwqT6u,Los Auténticos Decadentes,3HrbmsYpKjWH1lzhad7alj,El Milagro Argentino,2pqscM7JlS6XR6fk7Y8tVZ,70,https://p.scdn.co/mp3-preview/367a77d33470fffe30c71bb72b1a38e833a2830d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Un Ángel para Tu Soledad,7fbuABzGfagLWkI54bxL6c,Patricio Rey y sus Redonditos de Ricota,6byQKddO1b34lXC2ZEjehQ,Lobo Suelto,6JrFFJuOdqxp1lOMTuOrlF,63,https://p.scdn.co/mp3-preview/8c4097b867eb0a69580fc4469beedb35557ea4cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,11 Y 6,2PkTjm1QAJCZbJ9MqC4RqA,Fito Paez,1bZNv4q3OxYq7mmnLha7Tu,Giros,2bUpIi2WqqXxrLjwxqmURm,67,not available
8,Será,60IzIxSuVAtU71yCmHjxHH,Las Pelotas,1Qv4E1VgZOGnOYd99Kp5Bs,Esperando el Milagro,7nXlmH0p6PfgKTsxy3DzCT,61,https://p.scdn.co/mp3-preview/02ea544929e1c994122026b9fc5b09622a0ae7d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Bicho de Ciudad,1L9ybuuZdLY3biLEgfN4zB,Los Piojos,0SnyKkoyBaB2fG8IJH4xmU,Civilización,2UWwSvdLSntNblYm32f6aN,58,https://p.scdn.co/mp3-preview/e26f0c81f66cc1f77999e31f994e810e0c729106?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Mil Horas,7uKe068f3goRFEhH6MCbun,Los Abuelos De La Nada,5R3NywPPOyhLfdvutgg0me,Vasos Y Besos,5O8onsit6TM3W7qqxshwqN,8,not available
11,Seminare,5bXhx2vO2N4ZwUi0QFn4HU,Serú Girán,6CrQKZeuSKNYgrE7PeYqJ1,Serú Girán,576AZwSw776mNOkg1UZtpc,62,https://p.scdn.co/mp3-preview/551e474c0391b560615874b33181f2581ef0e457?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,¿Qué Ves?,0aad6vDkOmu9d1aFNvOwYC,Divididos,6ZIgPKHzpcswB8zh7sRIhx,La Era De La Boludez,4D1aIzUYKG6jytRjgT0QIx,62,not available
13,Personalmente,7q7XFO9av9VpNJSXKJwJxD,Las Pelotas,1Qv4E1VgZOGnOYd99Kp5Bs,Despierta,0289kJfdXVBPSDJfQ1fPJz,65,https://p.scdn.co/mp3-preview/c239fa955ea8edd05e406fdd099d763d6c513c95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Juntos a la Par,1Ig4pCPanhzXl7C86MmBUc,Pappo,1db5TWniHR7iqwXer7AiQ2,Buscando un Amor,4AMgSDaOROvCGSNSz3rfYw,66,https://p.scdn.co/mp3-preview/9028911486e2f049edbb98c48a3fff04206212c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Me Gustas Mucho,2kB1rqoTaZ3j6ChtIWGurm,Viejas Locas,7wTu5u7W3kc9Id5JAvSAFV,Especial,6jnYqzP7SLpLabodU9Ie0E,62,not available
16,Amanece En La Ruta,5pKVGrmItsCubKWTrYpxSZ,Fabiana Cantilo,5R6YR0pasdxlynyq0Abq7x,Inconsciente Colectivo,3AzpHdFjpWrGE4cCwyXAoE,63,https://p.scdn.co/mp3-preview/2460f6b5730e335aa71554c80e2e26fcbda2e1c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Toco Y Me Voy,01nTBDbeOYE4ieFnPBeZ9x,Bersuit Vergarabat,6MxyNXnnmwQwdW2PD0gXYO,Hijos Del Culo,6cMJTETgNo2NahG0t4Ghxo,1,not available
18,Crimen,3oqWr0jDWNXxWufNogGREp,Gustavo Cerati,1QOmebWGB6FdFtW7Bo3F0W,Ahí Vamos,7KHNK7l8peO0t95I1v7BmP,72,https://p.scdn.co/mp3-preview/22a093c6d9b1a6f45cba757813be034221084350?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Lunes Por La Madrugada,6VPIaZNNJFOY9U17geQz1o,Los Abuelos De La Nada,5R3NywPPOyhLfdvutgg0me,Himno De Mi Corazon,2oo9stWQLNM4eb5JCSoXGC,60,not available
20,La parte de adelante,3sbK4VHl4hxElpeO5Op2lX,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,Honestidad Brutal,2gwzhCxkiLzZC0aPigMz5Y,15,not available
21,Mi Enfermedad,46bGEqzd7anKKovVOZ9bTF,Fabiana Cantilo,5R6YR0pasdxlynyq0Abq7x,Algo mejor,2KaHfFLmbhkHQtMAEixycQ,62,https://p.scdn.co/mp3-preview/ee2b3598d901c8e465fd6450d2bdf28c50de5880?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Mariposa tecknicolor,2RognU2ViRdA6HxnpAITJl,Fito Paez,1bZNv4q3OxYq7mmnLha7Tu,Circo Beat,3pFykTd3Xwi8jtTrNFJEwa,68,https://p.scdn.co/mp3-preview/9ce311dae0dffa5b700c8698f34e9630631dfb51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Adiós,1rh4kDY9T4fHVDum8Foi5k,Gustavo Cerati,1QOmebWGB6FdFtW7Bo3F0W,Ahí Vamos,7KHNK7l8peO0t95I1v7BmP,69,https://p.scdn.co/mp3-preview/6a88c6c7e00fb84f12f4887816a82ea32451ef75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Prófugos - Remasterizado 2007,1Tja3miBbbENpqIOAqGWXa,Soda Stereo,7An4yvF7hDYDolN4m5zKBp,Signos (Remastered),7s2lDvm4FwnWE5RXEoY8Gi,58,https://p.scdn.co/mp3-preview/d7c6cf57dadcfe62149a3894926a5a48ff3d3807?cid=fa83a2fec7c440b7a2795d600d6b2c7e
