IMPERIAL TEEN and SONGS WE LIKE,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,26,mergerecordsofficial
1,Prologue,2P0CU8UZEUjNEAWyT2VUii,Alexandre Desplat,71jzN72g8qWMCMkWC5p1Z0,Birth - Original Score,04PgSDrAqtjlCp1nXq8mL7,0,not available
2,...And Then Judy Walked In,2nqzpgwdq3yQXzI8e4MeBs,Ty Segall,58XGUNsRNu3cVOIOYk5chx,Singles 2007-2010,7qpOwPnuo4CS85QmW5tJcN,14,https://p.scdn.co/mp3-preview/5a6452a7b6bf1be731a61afe46ea4f8087f3bb9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Folk Song,41u0Ide0A2VSqAfLHplLqU,Bongwater,6JooToEGjbAab8XNmXqkF8,The Power of Pussy,0QSRIEVnpM69NIaOtdMpdQ,0,not available
4,Mountain Battles,6F6k3LnNn84QBvJgiOLukL,The Breeders,1xgFexIwrf2QjbU0buCNnp,Mountain Battles,0261NJLj1ZKy0fq2T3slpa,11,https://p.scdn.co/mp3-preview/086b8c7891e57cb72f98a6486c45f9c97ca860d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Contraption/Soul Desert,0QmB82sogw3EjZEeXLJL52,Thee Oh Sees,3qYfqdVwX0fil71onLpLkh,Carrion Crawler / The Dream,7JC1vAUtlOwe8AJ3hLmr91,38,https://p.scdn.co/mp3-preview/72a2bc64467dc1eededde20200627466d58773a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Eu Amo Você,2PIdvhDVYXiEIc7bZ0eolc,Tim Maia,0jOs0wnXCu1bGGP7kh5uIu,A Arte De Tim Maia,0Fk9oW2lHiEypqtegSu5sg,0,not available
7,Son of a Preacher Man,7odHgoLFi3GQ90E9PeraI3,Dusty Springfield,5zaXYwewAXedKNCff45U5l,Dusty In Memphis [Deluxe Edition],6SNMenG3NjZyqgI5p4Hcmg,63,https://p.scdn.co/mp3-preview/50c7d07d328bef41779c0ba409a185ea178c6d6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Cherry Pink And Apple Blossm White,2QOEOcGrg6WAf9hbKMyrKN,Pérez Prado,1ZKhPkCXXgtiGgALn4OYtT,Let's Mambo & Rhythms,2Rkl0fWp20ia7X6Lh4bxIP,0,not available
9,Bye Bye Blues,20dULLycQQi1Wo8pXRMAv3,Les Paul,2hkZGvBotqZ7uBBUnBwmLC,Greates Hits of Les Paul & Mary Ford,1mVJecK5WymeIbdpKnLfkC,0,not available
10,"Whatcha Gonna Do? - 7"" Single 1979",3KuoKzudDwhc8KuTDx1nDw,D.O.A.,3g92p1YpivbOqVLiYVd4Yk,Punk Rock Singles 1978-1999,0FEhM1NI21E0cx7NEA9spW,0,not available
11,Our Time,7KqQ8m2e06Z5SUYms5GPNn,Imperial Teen,17VzpmwXT0Rd7EKaJB841P,On,0tqN4tm9Pv8EzMSWfQ7bXm,7,https://p.scdn.co/mp3-preview/fad49eb22f022ece5991e84d6ed303a58be3e732?cid=fa83a2fec7c440b7a2795d600d6b2c7e
