A Very Indie Holiday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,332,mergerecordsofficial
1,It's Beginning To Look Like Christmas,2rXMUjIjJvOmsZqxZEtGm6,Fruit Bats,6Qm9stX6XO1a4c7BXQDDgc,Christmas Rules,7a9xlXxD82eQGXaExYrChG,0,not available
2,Presents for Christmas,1SZWj74tFGlDI8L34Y9a56,Solomon Burke,4nts0oxMT67lVUoi5Kjxrb,Soul Christmas,56Fl7uCKwUbcRA1V172BbK,15,https://p.scdn.co/mp3-preview/9e4b1ec3dd826a36471205f836dbac447318ca5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Last Christmas,1jjuOT18tPbqXhaxvsBani,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Last Christmas,2UOO3MgYXf829xN014WdNX,43,not available
4,Merry Christmas Baby,4STCTQ1h0VuWfvDyhGOxkv,Otis Redding,60df5JBRRPcnSpsIMxxwQm,Merry Christmas Baby / White Christmas,004EYz2DQttcGvyTQGDmLp,27,https://p.scdn.co/mp3-preview/30fbbb47eef510d1560fe1976929b2bc0630f973?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Bonfires on the Heath,1RAvTmB0V7Et2fhYZTYr4B,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Bonfires on the Heath,4U3lzRwkzx4wB2ay2PLp3N,34,https://p.scdn.co/mp3-preview/dfccad7104b7901d140f75557a023a9d7d809f37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Holidays R' Hell,3Ry9TpEIG1umzuxdZmXnhP,Tuscadero,7pBOKiMJYOrsgHcNXuVruw,Step into My Wiggle Room,2JCbSvTDKomUynMFileEzv,2,https://p.scdn.co/mp3-preview/bd312efa7efb9915ad449bfaa35709ac3411627b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Winter,4V3VshJLUTCIWa77YiAkvM,Khalid,6LuN9FCkKOj5PcnpouEgny,American Teen,6kf46HbnYCZzP6rjvQHYzg,67,https://p.scdn.co/mp3-preview/b10af98d04aa11d0edfddd997eecb6bcfacaee0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Maybe This Christmas,4xuqb2plsvQxHoXmIYlkGJ,Tracey Thorn,7xFnmid57ZE6iWEXdEXO3b,Tinsel and Lights,1hunMLGoFPKzkxLlk0gsdu,2,https://p.scdn.co/mp3-preview/2927cb0a8d6fe30a4df61f5900d7c0f35b451f68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Winter Vacation,5lgmQioyvnspFziLZ1ER4F,Atlas Sound,3kGhAL9j1WyNjNkWTRQd8T,Let the Blind Lead Those Who Can See But Cannot Feel,6Vm5aiFcLIOZVD20H6bloK,16,https://p.scdn.co/mp3-preview/cc6bac0bf7b2fd70455d9f5b1e603c1842bf9b46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Frosty the Snowman,75Qx3e0bJYhl42kMoQk06b,Fiona Apple,3g2kUQ6tHLLbmkV7T4GPtL,Christmas Calling,3dxUAJGxReRRdWdDGze7EL,16,https://p.scdn.co/mp3-preview/95039db79bc87fdc409f2c58eb27ffcf2bdf2a2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,This Christmas,38xhBO2AKrJnjdjVnhJES6,Donny Hathaway,0HU0U9kdXEHZVxUNbuQe8S,A Donny Hathaway Collection,2D2sMtTf1Db5bkSRGvWGKB,48,https://p.scdn.co/mp3-preview/7e4fa0722d759b1df100377452d39c4802a475a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Every Christmas,5dUzLBNr5cQcRy79v97dwx,Destroyer,22ojy4H4ZVpowC4lRRC8In,Thief,6wX2b6YHAN5ojKZDWfEnBe,9,https://p.scdn.co/mp3-preview/ce90568fa114ed0c06c33fa6e66707888c364bb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,You Must Build a Fire,3ZloCrfCfAiIRfrJqGVSde,Crooked Fingers,6j9elOE3U0Fklu0ATR9nQ0,Dignity and Shame,300X9iphkJZZ8ZZwIDGFSK,12,https://p.scdn.co/mp3-preview/fde32858ae5420acf9dd628ffffd72de023bd864?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Happy New Year (Prince Can't Die Again),2oaI956jzkjfkrvMJgZFao,Mac McCaughan,3pLUCmcxLXGeLoYI5rw3O4,Happy New Year (Prince Can't Die Again),31rVUwGMIHAxfQ5rgUVnDc,9,https://p.scdn.co/mp3-preview/cb3fe330d04d4969373f55eb1f52fb7984c9db11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Every Day Will Be Like a Holiday,5RdWJYZCwWtAJ1CtifBCac,William Bell,0mFoqJiNDtYntypvy6roGR,Soul Christmas,56Fl7uCKwUbcRA1V172BbK,22,https://p.scdn.co/mp3-preview/12ba300d5f50d4d4c82eb55ff64ea4be41d86d73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Wintertime,2aIypBrTUf0uETgMpeVkJF,Norah Jones,2Kx7MNY7cI1ENniW7vT30N,Wintertime,1sY2OPcn7SxvSP2mdhUAPs,17,not available
17,Silver Bells,5yltN9z9qOBkKSjQ0IhGxg,She & Him,3CIRif6ZAedT7kZSPvj2A4,A Very She & Him Christmas,3FSiWiPJxoz7L6tLmrwYYy,23,https://p.scdn.co/mp3-preview/a3128c7fb09f2ec4337f9d9bb51ace0c69ee0227?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,White as Snow,4msax574HMoTwiU91S6mTy,Twerps,4vkIW79PRnJM8PNylIMTQB,Range Anxiety,7HvsEhwXQhIGSa07bpyBmp,9,https://p.scdn.co/mp3-preview/a091130af8ef16a9ca301ae8e27c7c0df5692f80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
