Merge 2004,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5,mergerecordsofficial
1,Suspended From Class,2YDmCSVs46QrhD2sqYGGqx,Camera Obscura,5gInJ5P5gQnOKPM3SUEVFt,Underachievers Please Try Harder,5d9FNx7UMLgfiGQGXU19jh,32,https://p.scdn.co/mp3-preview/e3525106fc04a4b44bd5f78da8f55f79c191e05e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Keep It Clean,0hPHOFbf3uKhBL2VaZ9YGn,Camera Obscura,5gInJ5P5gQnOKPM3SUEVFt,Underachievers Please Try Harder,5d9FNx7UMLgfiGQGXU19jh,30,https://p.scdn.co/mp3-preview/1b7924d4ad8f8c583fb13287a1195299b6af4d8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Teenager,6FD6w3nSf0qQ4mzCeIAHHC,Camera Obscura,5gInJ5P5gQnOKPM3SUEVFt,Underachievers Please Try Harder,5d9FNx7UMLgfiGQGXU19jh,28,https://p.scdn.co/mp3-preview/37b14bd68ee1f8fc96429829fbc3844ba47c4c70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Something's Going On,3ew5mt34OgVZzpryLcwkih,Lambchop,2Lhs0asnFQiLuntn3s8p78,Aw C'mon,7qoK76frXrpP2BQlH2oox4,8,https://p.scdn.co/mp3-preview/ec576fbd7e28cef0b1aa1558b64f1dae585ae5e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Each Time I Bring It Up It Seems to Bring You Down,2j1h4rY7wRkQgVL6gJMpCF,Lambchop,2Lhs0asnFQiLuntn3s8p78,Aw C'mon,7qoK76frXrpP2BQlH2oox4,4,https://p.scdn.co/mp3-preview/73ad93abf4798c25ab4e18f9859b8d7bda321b30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Steve McQueen,73qieTmcCKKD6qgjhw3BKV,Lambchop,2Lhs0asnFQiLuntn3s8p78,Aw C'mon,7qoK76frXrpP2BQlH2oox4,11,https://p.scdn.co/mp3-preview/447e160f318d42a64502f87ce4967cbea735ec45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Sunrise,6hC95neAnGL0mpeZCuArm7,Lambchop,2Lhs0asnFQiLuntn3s8p78,"No, You C'mon",6ogKSV67PY7niyhZGvEhsz,4,https://p.scdn.co/mp3-preview/392b013518b4757c2b8904645e2038b9ecd1785b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Low Ambition,1q48uLLIdO6tL9C2zQMKOe,Lambchop,2Lhs0asnFQiLuntn3s8p78,"No, You C'mon",6ogKSV67PY7niyhZGvEhsz,4,https://p.scdn.co/mp3-preview/92c3907f62339fb9a922a58aed8678f55fa14809?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,The Gusher,4Cvwbl03ZUv6XnsVqpFEaa,Lambchop,2Lhs0asnFQiLuntn3s8p78,"No, You C'mon",6ogKSV67PY7niyhZGvEhsz,2,https://p.scdn.co/mp3-preview/51c43aebd186935f7ee862e613443d351eae45f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
