From Megadome to Megadome: The Interstices of a Holiday With Radiohead (Caribou Artist Playlist),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,15,mergerecordsofficial
1,Anishilabi,0lBeXEyia69eKuZ0hHiWkQ,Batsumi,5Tody6xQBQiLnjLzg40yRZ,Batsumi,3F2MM4I62nfHZgcUdcqXcJ,0,not available
2,"Warning Talk, Part Three",6Ha5aPL4Ceg7k9U5lAoRjo,David Axelrod,4hCKF3RZSkFSMntkfCxO74,The Edge: David Axelrod At Capitol Records 1966-1970,5wK9u9A4mDMLy8oaZOTI9K,9,not available
3,Aht uh mi hed,14fRL0y7EmmnPwZJSl3vzl,Shuggie Otis,4YHtIE7FI8ITfekzzN5Jpl,Twenty First Century Twenty First Year,2m8xqBck8zwqI5rP3NokD4,6,https://p.scdn.co/mp3-preview/28a3bf41b66327bc5e84c67ac2736f531c2d1051?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Excerpts from Autumn,3SoyP4qNtGpMxAyxoi7nxN,Jeff Phelps,1dNldYZB7NQbMCqd44jqr2,Personal Space,0926LRpELOf5nqYyjujQwJ,13,https://p.scdn.co/mp3-preview/6fcc8be1873b1ee70855c8b8c867ef9662f38076?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Space Intro - 2003 Digital Remaster,1Rynze6yTUxoh3wr0KO9Rt,Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Fly Like An Eagle - 30th Anniversary,5dcw2UPBRNg8bSIRoD3CTt,0,not available
6,Fly Like An Eagle,0BTYL86ryKRHvAndNeoiuP,Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Fly Like An Eagle,3iqReiy2IaPI2N9sdLywER,3,not available
7,Do It Baby,7F9DshoiosL4rnja78DVKk,Susan Cadogan,02CDSrcHflWRx5Wj7RMoB3,Furry Selection,6sQQPerx0K0clOTMKei1lr,0,not available
8,Om Supreme,7vrOjXJ3Oht6fFYxwoEV5J,Alice Coltrane,0oKYiTD5CdNbrofRvM1dIr,Eternity,4mv5aLE0vrWGPzLYfEsUxw,35,https://p.scdn.co/mp3-preview/b0fb3ad615c20b340e8fe650a1fafc01f363bc93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Computer Incantations for World Peace,13UMkdShZzPjVmqxrrlUmi,Jean-Luc Ponty,3SInttLnvf5G4Aa95aAYPr,Individual Choice,6StDkQBlquj2yodD4QqPZI,33,https://p.scdn.co/mp3-preview/92e2da63cf5a66d81d15a5955d4b52b9d0e28e2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
