Born Under a Good Sign: 30 Years of Merge Records,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,489,mergerecordsofficial
1,Cat’s Eye Blue,6acC0VpbBk7zFpZal9nub4,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Cat’s Eye Blue,3Hh00YBiJePYrAgERytvpN,39,https://p.scdn.co/mp3-preview/fcbbb4749c5ce1573d45e1015f6d682f21f97474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Party Underground,4RpL2SNzYexeLXE7gTDfYL,Redd Kross,1USc9u5yL4tUaQKhGWNuvj,The Party Underground,6BeC2tublSw3vwmVOQAT8V,15,https://p.scdn.co/mp3-preview/7c10e95a9366e60b075f0707e3cdd471558f3b40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Boom Hazard,1ohJ320nOTaGBtHCYI7Phr,Gauche,6GVrQ3dvXPc2VcEslMAgk4,A People's History of Gauche,6iFUgVpsYPKALrEWZX86KI,17,https://p.scdn.co/mp3-preview/cd348ea8545366d5f7426d625ab74cb3a9dd8d95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sparxxx,6q8X1ZLnX8BCbrFJboHBk6,The Love Language,44OridJEgBZRRGJXQfOScR,The Love Language,0VvFr7Sl8Z8CNuzj0nEV32,7,https://p.scdn.co/mp3-preview/12826c871e25c8de7e1c2f74b13fbb7ae013ccc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Dogs,7nJiWtLTc8HQCHAgsbdaKw,Joyero,7kPZ9z8VeA3Xej4P9BtHdn,Dogs,2QdUrKqMyU6YuwNYAeykTW,18,https://p.scdn.co/mp3-preview/ccc834fd65d5f79f37f4f60f35ea378b4f3ac017?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Ocean,1lGASRI2JcaJ166eez49PS,Fruit Bats,6Qm9stX6XO1a4c7BXQDDgc,Ocean,72aOfPivY1vqKo2iIuRw8y,36,https://p.scdn.co/mp3-preview/1c337fa924252b1ac807d424b84fb86c5f251b81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Almost It,5UtyyI3WhHwjBIxWl4zUYz,SACRED PAWS,0loUVauivVQPRdqkbd250b,Run Around the Sun,0vB3PQiZvy7qpcF8qPfs8B,24,https://p.scdn.co/mp3-preview/8e7a8c3aa186dcc4f74a757d08cfd838adce214f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Sara Now,0syisLQOmx9zV2C7lal9f6,Apex Manor,6L4oVbtzJenj0JyZiUEjz6,Heartbreak City,3XtLSQsTcNjH9PihdZYFjc,8,https://p.scdn.co/mp3-preview/9ed2aa2914493bb562483693620e61f30c84e13e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Tumult Around the World,7fJDGViuE9HfvP7qDqCxy7,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,Tumult Around the World,1jJqSm61s1zWaAF1clXz8W,31,https://p.scdn.co/mp3-preview/92d51b4eeafb3d9d82d35de7a69df0e583fcc69e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
