WHAT'S POPPIN',Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,10,warnerbros.records
1,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,74,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Compromise (feat. Sabrina Claudio),4knQ536ymVE6WJTlmTlISw,Gallant,7wFDo161xYdeaiLz3KIHoM,Compromise (feat. Sabrina Claudio),5sTglsazSFT2Wkvc7cbKdA,59,https://p.scdn.co/mp3-preview/8afaf618ec61d83c08ca62334693d9730aa34c92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Not 20 Anymore,7vWbERTWGCiu6fil02e9kj,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Not 20 Anymore,50fjXOO6vhakOGaz3ATZlM,73,https://p.scdn.co/mp3-preview/57f696cb0d03f7069c6916ba3bba15253d809b11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sleep On It,5S5Cf673GkmYWBJNcGAVuP,Gallant,7wFDo161xYdeaiLz3KIHoM,Sleep On It,6PBKOpCw2Hs1kWsNW9PsW9,58,https://p.scdn.co/mp3-preview/cd1887c33e14fd8b0150eee97f2e7c9cfe2fd73c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Conversation (feat. Kojo Funds),59E7kJadiZbcYhek0tEU9s,Sabina Ddumba,2Mp409M6EpFr3kGdQ1mwjS,Conversation (feat. Kojo Funds),3mTlZY6YabgcidFPTdwCqj,57,https://p.scdn.co/mp3-preview/f37cb1e0a5ed123aefa14d2440139640fab9a4f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Crimes,03zerAGQzn5PLfYMfr03q2,Gallant,7wFDo161xYdeaiLz3KIHoM,Crimes,0aEP2IjyXVOQIqkEr7QQDI,52,https://p.scdn.co/mp3-preview/60070da77ca6248d8e37ac02f0cdb4ba3f745c30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Close (feat. RIMON),5Z66IlQUM3OXZX7UGfdr0M,J Rick,3b0OO3bmtd9oXo3EOW8KHZ,Close (feat. RIMON),7JBjKPo5Qi6AhvuI5J9JmK,36,https://p.scdn.co/mp3-preview/c2a01391ab430fc568ae47b53943fce5c4cccaa6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Want Me To,7ryopbMwVoHJ3F4sFCTTxl,Carlos Vara,42hROq8g0GtFMMYaHHQmrq,Want Me To,4ImuYxDjRZmRKyXjBwphCz,32,https://p.scdn.co/mp3-preview/31de5c20a1c2d6a7b7f9259e1d60965cf6b0623e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Fake Pods,3jfomnmufV2Px34YndRvhj,99 Neighbors,5uhqkMm8dyQvX83kl4Znq0,Fake Pods,37dKNYRGC6VC4RY8XPnkAc,54,https://p.scdn.co/mp3-preview/831d039956e1d1496a836dd04f50771cd74d4253?cid=fa83a2fec7c440b7a2795d600d6b2c7e
