🇵🇷 PUERTO RICAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Borderline,3sxInOnvYDQc7TeO6rQlj6,AJ Dávila y Terror Amor,3PaGQMamUvw2xxB7xopyT2,Beibi,750e1Bw3KnuYMrJsnvuWcs,2,not available
2,Beautiful,0OU7KToTCAMWyXdevlYqqh,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,El Futuro,3BM70BJ1HJNP7NPNMqrK5N,16,https://p.scdn.co/mp3-preview/8c3ad7aee8a7adfe45b08fc5cf346453e9803a2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Basura,4gV2xtfv7S0KYShz9Askme,Davila 666,0PQK6BLKbviconz1bx1rlH,Davila 666,2SadmcWtefsXenmvK8tfua,20,https://p.scdn.co/mp3-preview/572eea6944f131679caccac23c46f5bb031c630e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Carroll St.,01IC3ncZcOwi3SVzJAnmJu,Lola Pistola,4MnDeg5EW8NHD0KCWjDkJI,Curfew,6cgAajpcDkV8hZdVNlGwVK,9,https://p.scdn.co/mp3-preview/fbcbef1723f8fc7244f542571b781b7da57afd5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Vamonos Lejos,7snTQ7mkprwMS5fdwQAcl1,AJ Dávila y Terror Amor,3PaGQMamUvw2xxB7xopyT2,Beibi,3LEjW453h5pK2KcOLMYXXe,1,https://p.scdn.co/mp3-preview/01f5979d92b53499e38c843ece2607ed5cb720f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Borderline,64ld1CkTKsZ3fIj4xkUZfl,AJ Dávila y Terror Amor,3PaGQMamUvw2xxB7xopyT2,Beibi,3LEjW453h5pK2KcOLMYXXe,7,https://p.scdn.co/mp3-preview/d9df43e58df4142bdc313a5b838df68b0fc395e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Oh Mama (Solo Quiero Pecar),4FbPIGY3TOOtIwz5T0ghPp,AJ Dávila y Terror Amor,3PaGQMamUvw2xxB7xopyT2,Beibi,3LEjW453h5pK2KcOLMYXXe,2,https://p.scdn.co/mp3-preview/05988cd8b0006dbbf23ec874615298b107d9f41b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Todo Lo Que Quiero,2pRDBGSDLUTP6C86xAm8i3,AJ Dávila y Terror Amor,3PaGQMamUvw2xxB7xopyT2,Beibi,3LEjW453h5pK2KcOLMYXXe,1,https://p.scdn.co/mp3-preview/30c4f93714911f71e3d7e43550c2fa3abbfbbb45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Qué Bien,6ncQjY6tLLCqtE7Lycw8ng,AJ Dávila y Terror Amor,3PaGQMamUvw2xxB7xopyT2,Beibi,3LEjW453h5pK2KcOLMYXXe,0,https://p.scdn.co/mp3-preview/efbca62d48cc85c1f86ee98f8453633fca29f14a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Rubyouwrongtime,4axqRTbVPUSSZbAH48Cgkc,AJ Dávila y Terror Amor,3PaGQMamUvw2xxB7xopyT2,Beibi,3LEjW453h5pK2KcOLMYXXe,1,https://p.scdn.co/mp3-preview/f0d2780b7cfe2f5beec982eba87e5f86ad92800f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,"Puma, Party, Cero Prisa",01rxjlWJ5WWfHUXIpnZgKH,AJ Dávila y Terror Amor,3PaGQMamUvw2xxB7xopyT2,Beibi,3LEjW453h5pK2KcOLMYXXe,1,https://p.scdn.co/mp3-preview/0b9ed110622028549870f3f1af5a91b375d33df4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Media Naranja,0Fxox0WJ9XzwhkZJmj9Gfj,AJ Dávila y Terror Amor,3PaGQMamUvw2xxB7xopyT2,Beibi,3LEjW453h5pK2KcOLMYXXe,1,https://p.scdn.co/mp3-preview/06ee37ede697be824c33d9bf3cc42f92c818079d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Tu Quieres,0uzZAxRGCouaejkH2Jw5rm,AJ Dávila y Terror Amor,3PaGQMamUvw2xxB7xopyT2,Beibi,3LEjW453h5pK2KcOLMYXXe,0,https://p.scdn.co/mp3-preview/2ee80af37bed6ec2f6717082b8d01dd97d87768d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Quiero Infierno,1RpEddSwKvarpDIwboLtBc,AJ Dávila y Terror Amor,3PaGQMamUvw2xxB7xopyT2,Beibi,3LEjW453h5pK2KcOLMYXXe,0,https://p.scdn.co/mp3-preview/98686f016bf8099d5e054a752c14ed26cb4583da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Se Dé Ti,3WTN9FbPwWwwHpL31SdyR1,AJ Dávila y Terror Amor,3PaGQMamUvw2xxB7xopyT2,Beibi,3LEjW453h5pK2KcOLMYXXe,0,https://p.scdn.co/mp3-preview/cc7da41ec1417eddb64f9ba20f3fc4d7b8664221?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,17,2ySNoNz8grZbZb7to85MBl,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,El Futuro,3BM70BJ1HJNP7NPNMqrK5N,9,https://p.scdn.co/mp3-preview/b9666d8f851497c20bded7f9b762b0f26b48ba4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Mi Vida,0oDufMekvmUOCyGR73T4lV,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,El Futuro,3BM70BJ1HJNP7NPNMqrK5N,5,https://p.scdn.co/mp3-preview/af7afe452a9100321065b1c6899aa3571ebf2c71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Hoes Seeking The Ghost,0JH8TkwWZ03PfP1zahClmg,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,El Futuro,3BM70BJ1HJNP7NPNMqrK5N,3,https://p.scdn.co/mp3-preview/601583747cb6a115b01beb1211b912fcbd5cdfb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Hienas,5kf5UWLjPjBBnEFOibIp1d,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,El Futuro,3BM70BJ1HJNP7NPNMqrK5N,4,https://p.scdn.co/mp3-preview/d8d8983a67c55234e4dd58d106ea1592516b081b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Dolores,0567Rfz3hLd3QNSyPPocqe,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,El Futuro,3BM70BJ1HJNP7NPNMqrK5N,2,https://p.scdn.co/mp3-preview/35e11afd78fcb2cf39cd59e75f9cd652479fff88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Post Tenebras Lux,0pGd1hlqSSIrW74HZR4KDW,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,El Futuro,3BM70BJ1HJNP7NPNMqrK5N,4,https://p.scdn.co/mp3-preview/5241705be656358cbc0c03110eaef005f2f45ba0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,SS Youth,38bTc6yI9Eb7gHF26XwWET,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,El Futuro,3BM70BJ1HJNP7NPNMqrK5N,4,https://p.scdn.co/mp3-preview/7c97f1d48c98a3e28a8018a6c835a01a0ec40cef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,El Futuro,6AwxgbBnmC1H5pwQsroOqh,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,El Futuro,3BM70BJ1HJNP7NPNMqrK5N,10,https://p.scdn.co/mp3-preview/384f9cf8af14ac7a39e8be44f36b81fc85deb790?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Animal,5THRZRVv1P9gr4HxplL0Jx,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,6,https://p.scdn.co/mp3-preview/7635873401e29f57c806e2bb1b91d467e5f0c450?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Salvajes,6o6ThY7WH8P1K28OtRsqSm,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,10,https://p.scdn.co/mp3-preview/fb0e71be63a87dbe8b75604c56c10f9c3fea9014?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Dura Como Piedra,05Sqq63bCRa8aiWiuLtc0Z,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,8,https://p.scdn.co/mp3-preview/d043120da7e2c5e0d0dfb57af7fbb724fb3609ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Lo Que No Será,4Mc3RkSpIlbcAdBAhzS1vO,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,8,https://p.scdn.co/mp3-preview/09109a24c13b06a63d6da8ebf64fbb3cac98ff4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,2333,1mkN5oeynjjE3UI2CcDU9x,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,11,https://p.scdn.co/mp3-preview/ddc195ab461b429d1c34d83d1c5bc0a9a9592344?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Ohhh (No Te Encantes),4ZLL9QYu5qbVXiVPTR7BPe,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,5,https://p.scdn.co/mp3-preview/f00729969c850ed8abce23abc8226b8e145636bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Nena Botella,02URoMbW0eZdNrT9rwvAtq,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,4,https://p.scdn.co/mp3-preview/3231e5d7b51cd038a3947bfcc3facc7d0bf772b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Es Verano Ya,6GpAcQZTJbkJmNU2KJ2NKa,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,13,https://p.scdn.co/mp3-preview/036e3ccb2043dba4c0b1d73a6045312641ce388c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Noches Negras,31dSaFtNqJCvnPugNkxcNI,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,3,https://p.scdn.co/mp3-preview/66709e039bc1e4e33273bd9b2984422821b123ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Ya Sé,39nuen7KA36Bk76h0UKAPC,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,10,https://p.scdn.co/mp3-preview/298e9f83cdfb176df8f3495baf3a7f0e8d53236a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Michelle,5gmxbmT9pHfK3ZWeawYsBw,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,3,https://p.scdn.co/mp3-preview/5cd6d00a02704c662627398f6ae43ae6359638ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Hey,5rV4PglNB2EFFUHmSUa38U,AJ Davila,4Kyd8cFh3zkTvVCyClVoHX,Terror Amor,5VZTxfurh70597Vn5PqMR4,3,https://p.scdn.co/mp3-preview/8e5d8d0514f3050c9d7cf54e36185cb1eed57f69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
