OCTOBER 2019 BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Exotic Adrian,16HuGDDa5erAOIGU3rdiOx,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,3,https://p.scdn.co/mp3-preview/534e00873370fee94fcb570ccfbb7f9ab4ea6707?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Bonsai,2Js2COGl7htc00CjZ2L2CO,Winter,4Eun8YBC7P0psGdIf0GRtl,Infinite Summer,2UgS0gIHCafJEhhKVEDH4p,33,https://p.scdn.co/mp3-preview/c27204132dcfb9c957ea9ed43370c056fdb717ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Case,3jTiqDFVJWuyyneCfOorsO,Bleeding Knees Club,3EMKuFv3kcl9wyKHepeWoF,Fade the Hammer,3D593XM1Fbh3oCG9C3OCFK,18,https://p.scdn.co/mp3-preview/d7e22c962197cafc768202aad7cfdedc360a065b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Feeling,7qA0HuJNYmS1Qwx37PmmCl,Rollingchild,7xpvKbm9VYNF1DFXNtidKz,Feeling,1CpriilcWgdQ9GstFjFZHy,9,https://p.scdn.co/mp3-preview/d252621b9942e76641d64962889c0442a80d7b4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Eyes Of Sorrow,3qBxE8HA3rXTHhDa6oHOMs,HOO,1Or3dA1foWICYa5vC3gySn,Centipede Wisdom,16PYtnxfHrTq7k9zmkxevd,3,https://p.scdn.co/mp3-preview/b0b740bb4827363464849f952734b9c49f9b3296?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Do Anything You Want to Me,1HdeOlPlGQN7Nd47eyoClL,Jail Weddings,51MLnU8cL1UJQ4MYk4ovRR,Wilted Eden,2fmNzabyJsl88MDcTIUA5T,8,https://p.scdn.co/mp3-preview/5cf9ec47086726728c9768167ebe68262de59d54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Old LP,4MSiwkOkGLLC79mhmqCu1P,That Dog,0tXdvAMrxsEOVmnMJIHolv,Old LP,4QH1kja8r9JxTpXWmD3HCl,26,not available
8,Attitudes,5cAtNOkQX2tZwLMthedwET,The Brat,3VEpuBJqSgbYq8WwmX6tCS,Straight Outta East L.A.,6bHLHjo0gOBCcC4cL4YVQu,10,https://p.scdn.co/mp3-preview/17039705e7497469beb788eaa95f56b4d5f93408?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Cause a Scene,3l3nFmRCMePVDJ1hV4SiWl,Baby Shakes,36wYj8BdHar1ngOIrk4GWo,Cause a Scene,6CzuSENuePJMCzYkIdh7BE,21,https://p.scdn.co/mp3-preview/1ca56f86462f44e60778980b40ca2d28424b15c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,I'm so Tired (Of Living in the City),7xkNLe6OV12bLZPlLesh8W,The Mystery Lights,6AQxkjJQfz7CNjwZ5CTqJX,Too Much Tension!,5tnzUmWVdDC3WWdOT2NkfF,33,https://p.scdn.co/mp3-preview/74cf82a029a249230252616a3a55da345d0b0f96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Daddy Issues,0lJo5KGQXOEDrZCPEZnuwZ,Pip Blom,6zWJfH1TTmIqEi7EV35HGr,Boat,4wFv5bgaDQX7qABoTMTEsN,40,https://p.scdn.co/mp3-preview/169e6912faf3eeb2acf83f5ef36239d22d877207?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Buyin' It,5f0ChayeaQW5y4GPlo0BBn,Thelma and the Sleaze,03VfdeLg04zHr8nmQ2rQ57,"Fuck, Marry, Kill",7f81vcqMiOQYo2p1L2qEQT,19,https://p.scdn.co/mp3-preview/cfe0a4634206b7ddfa58ccc230a4502cf9bf334e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
