New Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,56288,topsify
1,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,86,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Pick Up Your Phone,4hIppgm5PYoVIoGtCCSJnh,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Pick Up Your Phone,0R4xeAX58W4xrgIQ9OIJ6q,56,https://p.scdn.co/mp3-preview/a612ea34285bc778bcc78d53df16fce7f38c1feb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,58,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Didn't Break It Enough,7zAPuRyZGRLPSGNnaj1H7X,Griff,5RJFJWYgtgWktosLrUDzff,Didn't Break It Enough,2Zd8vhZtRzFkNWe2GQrc1v,52,https://p.scdn.co/mp3-preview/1878b12a3b57fad627d4248e67e562c956516eec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,These Nights,2n0oy8RGDpy6WGcLImTteI,88rising,1AhjOkOLkbHUfcHDSErXQs,These Nights,2ZHGnhsomLmLezueESi9ou,68,https://p.scdn.co/mp3-preview/ba3665499461dbe4f22bedef1b7f2d4941777cb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Talk Nice,4wJi04IonyUubHmlkVOvk6,No Rome,6auWB5YAlcKaHyrbTH66nd,Talk Nice,3lbMMefPhr8C4HwThixNyo,33,not available
7,Rumors (feat. ZAYN),6XjNLIoUiU2XKdbNp7PvHl,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,65,https://p.scdn.co/mp3-preview/c75161034667556dfb6c4868a6f312ec812578fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,70,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Early,6AcFiVsHvDtat3rmHNK2Nf,Joy Crookes,5XMyhVhi5ZN2pi0Qwi1zXS,Early,5Q7XISk90DAYHFghAvKYI9,50,https://p.scdn.co/mp3-preview/912d9f1fd69b80465bebceffd3fa01b421d64696?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Lie,0mP5HOkHoaW9Q7qf7cJ7Gk,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,0KvCgEVqoBc6hynHl4cfwp,69,not available
11,Waste Your Time,5YwxSa50wbOB8bw5jIllgk,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Waste Your Time,0rKVn3UEXnBe4tEDlNvI8K,59,https://p.scdn.co/mp3-preview/8ec2b3b713daec0a1191db214ac23467ca1b21bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Caffeine,3MpYarzpssEwV6k6lDuLiU,Lolo Zouaï,2qDIR2WlcW3llkGqJWg9VJ,High Highs to Low Lows,7BIWzE3cE84suTh7nPQXcE,45,https://p.scdn.co/mp3-preview/544de2e3c03a219315f0f2f5be1154a927fcf387?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,White Mercedes,7fOFeVSyL18q7RiU6cnhiM,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Charli,386IqvSuljaZsMjwDGGdLj,72,https://p.scdn.co/mp3-preview/e8c53850910eb95a6ca279c2a8a5468e0bc67c5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,2 Years,25JQrvOiR8btXdob00Ks01,Thomston,0VQKssIfRKfSd7IfW3JIP1,2 Years,3lW3bTcprkv4xtzTvieGco,45,https://p.scdn.co/mp3-preview/ecec9eda77d5d94f1138236e5c9f372a6947e76f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Cheating on You,1cZNFKrwWK0PGqQFUspj3L,73,https://p.scdn.co/mp3-preview/d5a55ea557c5a06e1bf10abf93d4ec2a16b9f385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Mixed Emotions,60rpM4mSzjQcJr68a5dzOr,Emily Weisband,1am9EW2QubqpkCbg29vu5n,Mixed Emotions,3gX2LmrgyQStCMQdQ80U6n,49,https://p.scdn.co/mp3-preview/4f2630b77de25f464d1f50909e7b1077786deed6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,The Kids Are Coming,76bvw5EDyhm1b3dfsOToYG,Tones and I,2NjfBq1NflQcKSeiDooVjY,The Kids Are Coming,2pJXQvY0YeDvVJ9gMU9G7j,70,https://p.scdn.co/mp3-preview/18475287dc3f2725732ea4058d312efdbce30c2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Killing Butterflies,3R8PKPTPgHApBhCt3NUJ0q,Lewis Blissett,5SrdmCdwa3qLV6EObwuEW7,Killing Butterflies,6avxfpUklBv0idzCXnGtt6,53,https://p.scdn.co/mp3-preview/d6b1749f2310c75d14c032e94bc402fc90f51be2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Torn,2GdxQw8NwoeH8tKySg6nym,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Torn,6a6Dy4LaFvh43Ed5lomDEd,79,https://p.scdn.co/mp3-preview/1ff3cfa3fc477d266958ba7a0dbbdd0e287f9b93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Too Late,0jJh7G9WoDs08pVwyJOQpP,Conor Matthews,5iWU68xnsNiacwbt1fYEcq,Too Late,6RWh5ZExJBlcsyOM3iz5Md,51,https://p.scdn.co/mp3-preview/cdeeece1ef735a12dde8ab52732cd304978eb794?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,74,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,This Is On You,2oeYjGXqPooFVy64aoqrJP,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,This Is On You,1BTAYKbh1kQaNRJ2TSC8I6,61,https://p.scdn.co/mp3-preview/d3c4aafc723b949c4e32409b2346ee7dbe144d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Taken,1DCf4TQUJdWWXLM8LOIWA7,MUNA,6xdRb2GypJ7DqnWAI2mHGn,Saves The World,5ZpSRd3GwvEGrD7kWn0fHz,56,https://p.scdn.co/mp3-preview/00f81ce7670c6dff68b42c90afa29397453d14fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
