Fast & Furious: Hobbs & Shaw ,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,25196,topsify
1,Time In A Bottle,0rTzy1aslK8iwDWuB7Nuf6,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,Fast & Furious Presents: Hobbs & Shaw (Original Motion Picture Soundtrack),4o8MtDhAxgnTNeVlQ3Cy1S,59,https://p.scdn.co/mp3-preview/b4b5dd061190669f44cdf59ab545065d784ac364?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Better as One,6s3Sz0gcW74Q0MPm1FVfKr,The Heavy,0bZCak2tcRMY1dzEIuwF42,Sons,7cIZqD2nH2CXlAGG1jrNP6,49,https://p.scdn.co/mp3-preview/5067c98d5ace2322adc9c47af22fe71dbe2fe6d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,100 Miles and Running (ft. Wale & John Lindahl),4CstQ0SUkl0YkoeZkIZlIx,Logic,4xRYI6VqpkE3UwrDrAZL8L,YSIV,1lyjkFTJ6yxUyNYysWVBo9,62,not available
4,Won't Get Fooled Again - Original Album Version,0cJPLFrlV7TTCyPLupHzcH,The Who,67ea9eGLXYMsO2eYQRui3w,Who's Next,5MqyhhHbT13zsloD3uHhlQ,65,not available
5,Next Level,6FvqPu7bb27XSFBJizgpTU,A$ton Wyld,4MqATzsmSOuGh7de1Q4AzX,Fast & Furious Presents: Hobbs & Shaw (Original Motion Picture Soundtrack),4o8MtDhAxgnTNeVlQ3Cy1S,64,https://p.scdn.co/mp3-preview/72636502d75611f1fcfc3eb5b555cc1346f8f050?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Keep You Alive,592YwB2YcrFTFneNzfJqge,Brothers Voodoo,7bFqmQUDW0F15QBXwCbsfo,Fast & Furious Presents: Hobbs & Shaw (Original Motion Picture Soundtrack),4o8MtDhAxgnTNeVlQ3Cy1S,50,https://p.scdn.co/mp3-preview/a6b896f318758b90e1c778cdb94041caf646ee60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,F.W.T.B. - grandson Remix,7GENPjwC2JICc2oCe2N2Xm,YONAKA,3Wcyta3gkOdQ4TfY0WyZpu,F.W.T.B. (grandson Remix),2wiHGNlqeEZYiJjRSznPO8,53,https://p.scdn.co/mp3-preview/c38e54aa8273208117165e78a5cec5227c4e1609?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Taku uo pele,4kC4sMTlbZVlBsQgaSuFNh,Te Vaka,5sClZWCp2BelTSEB9cU51M,Havili,0xpAFGXrRnK8R7t8ccFYkS,31,https://p.scdn.co/mp3-preview/1e1072729da62a58143878fab51235b9f20c5b0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,I'm Comin' Home,7084fVYM1aLuxkRX2HLPaI,Aloe Blacc,0id62QV2SZZfvBn9xpmuCl,Fast & Furious Presents: Hobbs & Shaw (Original Motion Picture Soundtrack),4o8MtDhAxgnTNeVlQ3Cy1S,54,https://p.scdn.co/mp3-preview/ba8b70518854fd1a5effa310151e3c0f0ddb0938?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Masta,1KssjjLh43gQW2dhTkW4cn,Tha Movement,0QEqoVY21DG3SJBO24JpvR,Fast & Furious Presents: Hobbs & Shaw (Original Motion Picture Soundtrack),4o8MtDhAxgnTNeVlQ3Cy1S,47,https://p.scdn.co/mp3-preview/729db96f78d0f728012af9d90634daa686232e71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,All Roads Lead Home (Hobbs & Shaw Remix),56UEfBprrQH74GucjupUtl,Ohana Bam,2i8526w9fGlJcGVmepDyM4,Fast & Furious Presents: Hobbs & Shaw (Original Motion Picture Soundtrack),4o8MtDhAxgnTNeVlQ3Cy1S,65,https://p.scdn.co/mp3-preview/bad2beb7f39e45c90dc0d71e47ce4d0c5080ae44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,No One Defeats Us - The Adrenaline Remix By Grandmaster Flash,0WnM7hGGAsXO5Gk9RF001W,DREAMS,0jDpmJ1LfnLzEni52cgvuq,No One Defeats Us (The Adrenaline Remix By Grandmaster Flash),40r7T4rpa4eYBu4YopuJbN,33,not available
13,Getting Started (Hobbs & Shaw),7jJq5NPTRHD6eB8cL8krBg,Aloe Blacc,0id62QV2SZZfvBn9xpmuCl,Fast & Furious Presents: Hobbs & Shaw (Original Motion Picture Soundtrack),4o8MtDhAxgnTNeVlQ3Cy1S,54,https://p.scdn.co/mp3-preview/9e1efb67c1c4cb41eaf817c6d8c935b8d1d90f8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
