New This Week,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,7663,topsify
1,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,86,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),3950uQm4KQL3ckerKBeXYp,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),432608DLpP0hExluDkY3Yh,62,https://p.scdn.co/mp3-preview/e726b14668627c5fb930f081c9d799471b93ff0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Rumors (feat. ZAYN),6XjNLIoUiU2XKdbNp7PvHl,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,65,https://p.scdn.co/mp3-preview/c75161034667556dfb6c4868a6f312ec812578fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,70,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Cheating on You,1cZNFKrwWK0PGqQFUspj3L,73,https://p.scdn.co/mp3-preview/d5a55ea557c5a06e1bf10abf93d4ec2a16b9f385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Big Booty (feat. Megan Thee Stallion),3g8sG483Es7NcJyXgkF1nT,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Big Booty (feat. Megan Thee Stallion),109HkQfABlciphATRx9VnF,70,https://p.scdn.co/mp3-preview/b40c40518744a1ae9a5c18a48ba85fc45025d6a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,These Nights,2n0oy8RGDpy6WGcLImTteI,88rising,1AhjOkOLkbHUfcHDSErXQs,These Nights,2ZHGnhsomLmLezueESi9ou,68,https://p.scdn.co/mp3-preview/ba3665499461dbe4f22bedef1b7f2d4941777cb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,91,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Cry for Me,40nPimvmG05WYS7983bawZ,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Cry for Me,2dq4ae5hiyxlFPG1s8rlq5,79,https://p.scdn.co/mp3-preview/be6616aac8c7cc3aeaf0c58a96857259c0bdfd55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Sims,7sJwGtoWgkVRwzujlyT3cp,Lauv,5JZ7CnR6gTvEMKX4g70Amv,~how i'm feeling~,2ASTOinfP52bAbWPzXmjYz,73,https://p.scdn.co/mp3-preview/6c4103a1d4ee6272c1f29f991a90d02c6bfe5275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Come Thru (with Usher),3TTMUI5dFcbeNSDTTDY9M8,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Over It,1qgJNWnPIeK9rx7hF8JCPK,75,not available
12,It's Never Been A Fair Fight,1TLbCl4FzRDoJZWcEBNT7Z,Craig Finn,78DZaDfOK3i88eRVPkzZu2,It's Never Been A Fair Fight,3PD0j8dYQQpLq2hcSKteFV,29,https://p.scdn.co/mp3-preview/995063501493cc052a9478cffddb12940fa38b54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Someone You Loved,5tuTbti933whvN0gyaxmyF,Straight No Chaser,1yQ8S4xdGOGbUcpaPR6hCM,Someone You Loved,34fkClMwxXRaAliKK9NTMb,37,https://p.scdn.co/mp3-preview/8858fec35fc071ce64f55e734f33dd6ab1e2be82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Do It To Myself,5JhEV3RFNThUJ8lD5e0iLT,Nova Miller,69iZuswGpLplhnKBE0MxcA,Do It To Myself,7yWVKZehFljtdSWwT0s0gk,39,https://p.scdn.co/mp3-preview/f47055f4628a0980ae07b5425736d87f4605821f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Rivers,7MWlxS6vpJlfPNaerI0lg3,King Calaway,1IdbSuYtF7RSaFarmctwoE,Rivers,0jbizUOHY9uVKoWyjlmyg2,28,https://p.scdn.co/mp3-preview/146114f82a707200e3b7204c0c021a394d183104?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Nothing Else (When I Think Of You),3hHcL95Pqlj93e8YCAkkys,Joe Stone,4kwEd1P9j15ZqUVP5zK7Pv,Nothing Else (When I Think Of You),28RD2BPGDTlPvnz8kR6i1e,51,https://p.scdn.co/mp3-preview/6e82f9a5b550234601d8a1fb548cf104451c1249?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,You Got The Love,03m9WRVBzoxyTeKblvLvpR,Keanu Silva,1zLMhO4zzzxt5PMV4wMS3y,You Got The Love,14B4NCJRvKpfyQBAGBCJT4,43,https://p.scdn.co/mp3-preview/3cc84385d256a0d7bb26435f3b2424ac0554ed33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Wait For You,4yliBaTgjyxPfXunWOhgUK,Ship Wrek,1ic0FHNGIjXZAWH6O6Reif,Wait For You,1SlN6kwrQTOvBE7FMIPJYC,37,https://p.scdn.co/mp3-preview/3379f021813cfb62d650ee4d530ed97e7c9647f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,What Feelin' Good Feels Like,2s8v5s2gACbha43QaBHcR5,Trea Landon,0uzF7KK6coJpJvOW6Vrv1H,What Feelin' Good Feels Like,6JQVWHeAuts00rKWT2FSpP,42,https://p.scdn.co/mp3-preview/b7454ad3afe9db0b1650f53d11b6f0e41e3cbaa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Looking For Love,3u7WPMzK3sSLlbt3F19vPB,Carlos Vara,42hROq8g0GtFMMYaHHQmrq,Have You Ever Seen a Boy Break Down?,6h8TTXMZFnJADFw5Ilf44o,19,https://p.scdn.co/mp3-preview/73b7d6b343b51fd353dfce817f2ea1a051cd433d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Sticky Situation,6vKKmb5vHgRX76sksS2j0w,Chiara Castelli,6wi2d3tk31DPhUagWLgR33,Sticky Situation,6MOIl1xFO4xKee3WN76fuV,51,https://p.scdn.co/mp3-preview/7865d64fb62bb56ec5fc552138048c05bb59be8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,"Givenchy Bag (feat. Future, Nafe Smallz & Chip)",26BkXpWAaajgL2Eh9TA95B,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,"Givenchy Bag (feat. Future, Nafe Smallz & Chip)",3kMflVVnVzgLP7EjQbidFU,64,https://p.scdn.co/mp3-preview/d01dfa82d8607294ddeb3b901df46142bb6bc545?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,I Never Liked Your Friends - Acoustic,576JG18qrZLR6umK0uU8V7,The Federal Empire,4PjHNisXpQqSDXOJBFRK8p,I Never Liked Your Friends,6UHnrutbXsSuSiQJf8jBdI,28,https://p.scdn.co/mp3-preview/9b41d79aaa59be9cfb4c1f3c79558e0740db7ccc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Drink About It,50Sz2jgUS3ds6IXCzI9AjC,Issues,3zRstk92RGCVDyslSySNsm,Drink About It,20rHTIgeijyJkx6zq4Wqi3,60,https://p.scdn.co/mp3-preview/4214cd33f9c3a0cd3cf3937e82fc063aee5c1e2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,When The Fires Come,5dC2iwkAdIQir40oJ1Ck82,Kero Kero Bonito,6OqhFYFJDnBBHas02HopPT,Civilisation I,4NPyYcu2uggCCGwAq23Lej,39,https://p.scdn.co/mp3-preview/453da9c931b8332c21600bea2c537ed103a57995?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Young Rulers,2x99nWLDbKFZb6n2wICqXU,ARLO,0p5H44Hufi4BrG8PyaH7rK,Everybody's Worried About The Boy,41UYL6DM6awWVtLN7O7ywH,29,https://p.scdn.co/mp3-preview/8d2a382f51875785881980a4a9592b29971b3610?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,Nice To Meet Ya,3KrYBAbfxlssMirZLs6HzZ,75,not available
28,All My Friends,70pP6E6VvznsfrSsznnQnk,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Without Fear,7jGNAMzrW5HMXdxl9XyBMG,68,not available
29,clementine,7ozvM98YyrdyOBh1lItVHc,Halsey,26VFTg2z8YR0cCuwLzESi2,clementine,4Hw4CuL2FH67FfY5mBJl8D,73,not available
30,Bottom Bitch,1gbN2eRl4SfFe0zF47bSpq,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Bottom Bitch,5iPxMv6wrpGSM3xIoUwyS3,65,https://p.scdn.co/mp3-preview/f49a9b67fd564649e1159d2c3cb69e859d2b0d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Overtime,1flJa1SvgmYzlLSa0AXgJ9,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Indigo (Extended),2rICHwivbZlmMnzEDmGNXX,67,https://p.scdn.co/mp3-preview/836d4b8526deefee6686146b889f4bbe3bc790bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Jopping,5WrEilrRI5cIW0DxMvQYPZ,SuperM,5BHFSMEjfLVx1JwRWjAOsE,SuperM - The 1st Mini Album,1C1qYeSC9RdgbrKXpZCTSJ,75,not available
33,Ride (feat. Kehlani),6FmnsSVdJJojBYzecDlpPO,YK Osiris,7meyrw7Or5DwteYxDJrkCM,Ride,7MWDbgk0WUzO5pg0g3H2cX,64,not available
34,OLD DAYS,5ngIhUXMkUoihh5TaACT1p,Russ,1z7b1Pr1rSlvWRzsW3HOrS,OLD DAYS,5iAGf8tX95VgX37ROwsLMd,63,https://p.scdn.co/mp3-preview/3b8feae0b5eb130c8b1aa4f2fd03b02a1f9d9493?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Good Day,7iTwzSe2fg5xYwCgXXFkEe,Surfaces,4ETSs924pXMzjIeD6E9b4u,Good Day,1HPmeTZ2Mgx0NvynTKpWOj,60,not available
36,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Bandit (with YoungBoy Never Broke Again),3t6Z2qoBVCS4NHNI25XECH,82,not available
37,Don't Get Me Started,7MFL1GD1NtffPkogskoilF,Pia Mia,1BhWF9W2PngtPSyobKg0rP,Don't Get Me Started,69lLTPKbTnVIyOnA21r4Xb,61,https://p.scdn.co/mp3-preview/b279f82d2d1ba7483452d3987f49edd597bb26ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
