The Pit,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Taste of Regret,2qteWVf7459okiPxGwgyez,Of Mice & Men,4tususHNaR68xdgLstlGBA,Taste of Regret,0rRovslVT0e3rekVYsOMfo,60,https://p.scdn.co/mp3-preview/2200dd453cb2eb248fe832b6fc7b8cdf158cd28a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Gasoline,6Q1m1GyNxyOwZ2ud3p7XoS,I Prevail,3Uobr6LgQpBbk6k4QGAb3V,TRAUMA,2QRU8jGOJHDMrCTPKIHVik,67,not available
34,Fool For Your Loving (Vai Voltage Mix) - 2019 Remaster,5iVGtzO2pRI42CSBSPV8jf,Whitesnake,3UbyYnvNIT5DFXU4WgiGpP,Fool For Your Loving (Vai Voltage Mix) / Sweet Lady Luck [Single B-Side] [2019 Remaster],0KUH66RD7TDs4jL7SEnpc8,33,https://p.scdn.co/mp3-preview/7cc16a82cacf2f8371b149a0663fee24d6bef06c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Judgement (& Punishment),0YCBs6OUgIpdghPs79cMKh,Jinjer,7o6cOczXTB8ioTAAJTbESf,Judgement (& Punishment),09eoQ3Hf68T550vwsteLqq,51,https://p.scdn.co/mp3-preview/b7300402fcc7ff3bb7e8631eb087dd2c7ad79bdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Let Me In (The Fiend),1xmo5diBZ2RMcs9PhrLjxk,WWE,0spHbv2fw49lDMkbOAdaqX,Let Me In (The Fiend),1a4o7IivhtvSQXA53r4IWG,58,https://p.scdn.co/mp3-preview/dcaeb225031b285bd3b1c4b353e743d6f4fab463?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Eye of God,2x0BR7Ct3NIDlTGUZcF4ia,Erra,2UoOdQyBGyzrEfxcY77ce0,Eye of God,587iAN5Zuhc44cPrVmiOZ1,56,https://p.scdn.co/mp3-preview/c9e8ba171914d7288a0314cca3c249bb26361f84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,BURN IT,2j02RtZz6v53FRw4oWliZf,FEVER 333,1B0155rdv175D1tQ8VH7Oy,STRENGTH IN NUMB333RS,5PvosHtqCuqLK8A131lGZf,60,https://p.scdn.co/mp3-preview/0ad6b01bde1485d1866478667bc3a96b8c38bb40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Chemical Warlords,0L9hoOpd6QqCHWSjLQOti1,Toxic Holocaust,0WVXlaglIOtQueNbucPjZ0,Chemical Warlords,6yAG8Heoauu80fvdTGOKaO,41,https://p.scdn.co/mp3-preview/bd55d417a387c88e9b02270a4263ec1e24fc7954?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,"Blood Red Summer - Live Soundboard Bootleg, Tabernacle, Atlanta, GA 03/14/16",76RkV0BV7MJU6QNbEd8iJg,Coheed and Cambria,3utxjLheHaVEd9bPjQRsy8,The Color Before The Sun (Deconstructed Deluxe),7kd8DGo0csYfgWUH8PRFM6,20,https://p.scdn.co/mp3-preview/d776d367d1f8faa146b32f38718a8b4675c532c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Perfect,7w1MrjeuciJ1cV9cowRSum,HELLYEAH,4hxDvVq5t8ebPYPdBl1F9f,Perfect,7blkysSNX8xNia9WoECqWk,48,https://p.scdn.co/mp3-preview/4bfc0ce95ae8da3fcd3070024b31955883ea392a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Rock and Roll Deserves to Die,5GqAcVa8QPw7JHQU84Kbje,The Darkness,5r1bdqzhgRoHC3YcCV6N5a,Rock and Roll Deserves to Die,2FVE8BDQOhpuvLdK0S0jm0,44,https://p.scdn.co/mp3-preview/0a1fe78ea8feecca373affdf500a70c1ab7ec211?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Speed of Light,1smvmwmbrQiBwgJZMxVtup,Iron Maiden,6mdiAmATAx73kdxrNrnlao,The Book of Souls,4vSfHrq6XxVyMcJ6PguFR2,53,https://p.scdn.co/mp3-preview/895308d39197c0623d96850027de8e4167ad104d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Lateralus,7tvuLLroI0n6uYBWuFig5d,TOOL,2yEwvVSSSUkcLeSTNyHKh8,Lateralus,5l5m1hnH4punS1GQXgEi3T,68,https://p.scdn.co/mp3-preview/4ad4447026761e5c467d92f46ae2f98e0b283699?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,New Comedown,6QmOtFyz9Va5G5uRQArz0H,Plague Vendor,680qtSVCs3xqNWqZd4khh5,By Night,1Mi05hIA3squK9p3ESFEbs,36,https://p.scdn.co/mp3-preview/821b665af3c84f4465e73f2a5d16aea08e2d5cc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Broken and Bruised,1cNX3cY6i8hMuMkCtBFNEy,Deadland Ritual,62aaTF04Hgbm6crne2ThvW,Broken and Bruised,0h0yQfmQF4M8mCMQri8cwv,41,https://p.scdn.co/mp3-preview/3419f856498fbe1ec9061b90ee5162a1756ec045?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Pelvis On Fire,2x0ZWnybbcmOOSitJIPEk4,Volbeat,0L5fC7Ogm2YwgqVCRcF1bT,Pelvis On Fire,6pCAdzb1771EHqGG7xqSCA,48,not available
48,Prison,3I7AdGX3qwgZ1brKzu1vVr,Wage War,6bu7CtcOMWcS0BMq7snHW6,Pressure (The Singles),3GLTYq4t39eOi2dSGxwHQQ,46,not available
49,Earth & Sky,5ZvbwDbhiFMbaywLJo6SmN,Of Mice & Men,4tususHNaR68xdgLstlGBA,Earth & Sky,6NxMsVkNmPY0bUfyQFhCDm,59,https://p.scdn.co/mp3-preview/85c9b8603fe2644d89f10ac63d3c9bfe88704636?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Layers of Time,29EAXbPh9fZdJEfl57TuqG,Lacuna Coil,4OAddazJM576euUnFSvXSL,Layers of Time,0AdzpqRGrWAkP8XcphMTW5,56,https://p.scdn.co/mp3-preview/bc636a4864ed01445681aee8957b055ad657e1bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
