Classic Jukebox Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Werewolves of London - 2007 Remaster,6kotXaSQaGYxE62hVpdHWu,Warren Zevon,3mY9Ii0cL5SQxpOTAm8SHx,Excitable Boy,03WJAI8NnJHvCNqnlLw8kg,62,https://p.scdn.co/mp3-preview/e1ca4f12c24ebc36e120fd54ad79467e4af5719c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Break on Through (To the Other Side),6ToM0uwxtPKo9CMpbPGYvM,The Doors,22WZ7M8sxp5THdruNY3gXt,The Doors,1jWmEhn3ggaL6isoyLfwBn,72,https://p.scdn.co/mp3-preview/d8f685ff9b50f2f6f7672fc86642df000b195481?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,The Chain - 2004 Remaster,7Dm3dV3WPNdTgxoNY7YFnc,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours,1bt6q2SruMsBtcerNVtpZB,65,https://p.scdn.co/mp3-preview/c75b9790ccb975d77c34f16fad5c20d2c0e97295?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Californication,48UPSzbZjgc449aqz8bxox,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Californication (Deluxe Edition),2Y9IRtehByVkegoD7TcLfi,82,https://p.scdn.co/mp3-preview/175ce440229d2fb5361756f3e68c9647b86a8eee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Basket Case,6L89mwZXSOwYl76YXfX13s,Green Day,7oPftvlwr6VrsViSDV7fJY,Dookie,4uG8q3GPuWHQlRbswMIRS6,80,https://p.scdn.co/mp3-preview/a66864fcfd8923c6084fc2000e3086e4e1e0a657?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,She Drives Me Crazy,0Zt9fqRK58Y0onY1VwaKp7,Fine Young Cannibals,20p5D2KrE8CGuOjHtxsyTp,The Platinum Collection,5XMbe4Ie2mlpsKsrIx1x5r,21,not available
28,That's the Way (I Like It),0RQTbMBgSq7xgdZSHFZg4R,KC & The Sunshine Band,3mQBpAOMWYqAZyxtyeo4Lo,KC & The Sunshine Band... And More,6ufis2iWp3hrox9QJfg5Jq,37,https://p.scdn.co/mp3-preview/1509be64c6fb261f1e71349bb2958cc678ba0e76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Le Freak,28NBmftocOzTPEb6OYA9fW,CHIC,0Xf8oDAJYd2D0k3NLI19OV,C'est Chic,2KSmpFuIe2nOYYVgA7oa9o,21,not available
30,I Want to Know What Love Is - 2008 Remaster,5DeXQ3qADuDmqsosnZAK3o,Foreigner,6IRouO5mvvfcyxtPDKMYFN,No End in Sight: The Very Best of Foreigner,4VRXqPaa2ZTwC2AG364RWO,64,https://p.scdn.co/mp3-preview/b2634bf34d0dc4e3c31eb25780e156313e656a11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Heart of Gold - 2009 Remaster,1Q1b8eVkUPGlpSArl8JAVw,Neil Young,6v8FB84lnmJs434UJf2Mrm,Harvest (2009 Remaster),2l3QxNo4QubBNmVKxLeum0,72,https://p.scdn.co/mp3-preview/d3eb6df3de68ff4bea4d048f304e8e14f1fcd642?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,1999,2H7PHVdQ3mXqEHXcvclTB0,Prince,5a2EaR3hamoenG9rDuVn8j,1999,3U1ht9EdWEI9nMvaqdQI67,69,https://p.scdn.co/mp3-preview/a9e29b17391150efb9a933faf491db7ea17f8274?cid=fa83a2fec7c440b7a2795d600d6b2c7e
