Yesterday's Sub Pop Hits Today,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,171,subpoprecords
1,i'm not where you are,6xFSEhUT9TzoD9xgxMUyWx,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,i'm not where you are,6JBb5k0nhor0xWbuRwqBbz,28,https://p.scdn.co/mp3-preview/630ec43016326b83955746267512e5b31fa68a0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Joke of Life,6dla1XsP1aBRum8bEDIiQ1,Tacocat,3h0MN1neFknEvlYKxFmSQW,The Joke of Life,2uLFRngmB2vTuu0CXCS8UJ,15,https://p.scdn.co/mp3-preview/30818bc948d371e051959d0bca9068346c12fe1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Delicacy,18k1HdpOVnrLr7Rif5mnro,Omni,4wBhllC5Nto10UefzXVMt9,Delicacy,3NImgvK9gxjq8tombSB0g2,34,https://p.scdn.co/mp3-preview/3444996ca8bf3a93075683d51a7a196c73674e19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Better Days,2sfGs2aXCtWagxWGeR8lIE,OCnotes,6RY4qClirCjUqyzaXYA50U,Better Days,7rjNnAwyD2ArOUgYMOkeFL,13,https://p.scdn.co/mp3-preview/c9dba9957a40f444908f9e0a1a38e80e483e415a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Twin Cities,5KY8wMCEraixc92x02EqQM,The Gotobeds,35pSDVTz3ZgYynZwMOFEQ1,Twin Cities,1WIyLjfRPIRYqROfmuBzzx,7,https://p.scdn.co/mp3-preview/6e4ab3f247a31d130bc64f43b157ffc155972bfb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Don't Do Me Like That,05nxO5WygnvmIF16S2xaYI,J Mascis,1PokjXeIq2zVosXbTEaNlx,Don't Do Me Like That,5WF3nmBFHaPTAmHRanQvos,35,https://p.scdn.co/mp3-preview/3a2e6fba934efc66e33d1d5ce02fac12c3292a31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Movies,31LKL7XfxR1PTm6Or9KTKv,Weyes Blood,3Uqu1mEdkUJxPe7s31n1M9,Titanic Rising,53VKICyqCf91sVkTdFrzKX,56,https://p.scdn.co/mp3-preview/870ba6cb9019fe9d7421535ec83ae3482dce5cb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Museum District,7jEC9OYlUuSqyqOncbujR1,Minor Poet,4FRMMswMXEkpMZNMacFjEW,Museum District,0BDfAxERIbYPKgK8T9saNY,10,https://p.scdn.co/mp3-preview/9eea5a35240cc7c1e8cc5b8634da79fea0e1319e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Rings on a Tree,6AuQ8h5hEAJfKxNIEXJWkO,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Haunted Items #4,0SsDD5XPqc2TY6kUVl8uOz,31,https://p.scdn.co/mp3-preview/b08bd487d01b998c67f7901c510424545e68fe33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Allowed,2UG94JOYbgL17cqAICHinA,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Haunted Items #4,0SsDD5XPqc2TY6kUVl8uOz,23,https://p.scdn.co/mp3-preview/c0c1c1e3042f5f9b0e7f024c88a3889501867b6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Today's Special,7EAsvbHmFNeUBOiN2esf53,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Haunted Items #4,0SsDD5XPqc2TY6kUVl8uOz,24,https://p.scdn.co/mp3-preview/66d38d0235cd2e647e24775f62f95c2e5322d8ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Half Silences,2n19iB5ScbjNtIbXIomdQP,Loma,4oCcCzMjKNCjQTzxtVlOJT,Half Silences,5rKBWra7D0RPjwVSfUsj0l,30,https://p.scdn.co/mp3-preview/60c621dc5bbb376432c93896145335afdcba1ada?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,String,6o4QofarrM89dUiFVnfmxm,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Haunted Items #3,0QGXMmQkRJwfzLyG64VMz1,22,https://p.scdn.co/mp3-preview/8f95e7acf342abf1288d6f5094491d8f8ecbe154?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Eternal,03CARdGAZshDyEMGjRxv44,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Haunted Items #3,0QGXMmQkRJwfzLyG64VMz1,30,https://p.scdn.co/mp3-preview/e06fed9db5afb92801f3900f422e9179ef0890db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Hologram,6TgG3lObKC6PCLMvKKca7P,Tacocat,3h0MN1neFknEvlYKxFmSQW,Hologram,7lcORxtu561d0lSbCEbQE8,18,https://p.scdn.co/mp3-preview/a21ce3e02676a36e63a265f0a1d7c317c9b1bda3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Buffalo Run,0nTkBe5xc3Yq2ne5lyaNnG,Orville Peck,46auOkH1pk28rWrSoUNhLo,Pony,7Jn1h8E5aT96pdyrPxrLWi,48,https://p.scdn.co/mp3-preview/57d8276931809dc1937c55787fe085380edb4129?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Naked as We Came - Demo,0A3AZDnteBnJ9Q4rqsXVrS,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Our Endless Numbered Days (Deluxe Edition),0r2vfjfeQAfmgHbrh9Q0Rv,29,https://p.scdn.co/mp3-preview/db9be39bf0c1cb3879c0d64f27b362d9439c2454?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Father Mountain,1whixU26CVa4jqzES8hDst,Calexico,1OmdWpAh1pucAuZPzJaxIJ,Father Mountain,4UpFlmmv7tnZ9qXhWpS82s,35,https://p.scdn.co/mp3-preview/34ea484d360bbc8dadf03813486a31ac8c51ce69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,February,42NPioeciWRT5xTwUkwQDu,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Haunted Items #2,1at73zhtXf3Hp8yLtyJEYv,28,https://p.scdn.co/mp3-preview/621a78e59e3047dd4c6f468993c26b0714868939?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,In the World,0Jp5Cv1n7PdPbDkw6egs0Q,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Haunted Items #2,1at73zhtXf3Hp8yLtyJEYv,24,https://p.scdn.co/mp3-preview/750da903407230ebb6c1714d0b5e3a2eac1eec6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
