Chillhop Music discography [lo-fi hiphop / jazzy beats],Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,60574,chillhopmusic
1,Ocean Drive,3lpJnTcQ88VKeFskvuGYcN,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,0,https://p.scdn.co/mp3-preview/fa4eac1930ea72436f41c103f7952d1072a99a18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Know About It,6ERATF7nIRg18tqGvSAORn,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,0,https://p.scdn.co/mp3-preview/cde7b11047b78d51382ec68ddbd171d9e6dfba7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Let's Forget Things We Said,1kY8bUi60zZxbVwNK3aFFH,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,0,https://p.scdn.co/mp3-preview/7cf927ec78ee656ffa634e7f8764b7aabe4a33fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Feelin' Alright,1eeRUCZTbNqfBzyw9onEvE,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,0,https://p.scdn.co/mp3-preview/6cfdfbdf308f6268918e26a6d580fa4a891f6d2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Missing You,0AwirBt6pSC9z4WSH7aWG3,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,0,https://p.scdn.co/mp3-preview/e8d77e5894701b741bfd75018c846a6588793897?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,I Can't Be There,1gbHTkdUBXqnXsCnzWxmjp,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,0,https://p.scdn.co/mp3-preview/13b0d50d6bd6deae37b1cee80dda7f70ac387184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Blue Sky,7KNfcAQLy7ALy9PEWbu4da,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,0,https://p.scdn.co/mp3-preview/60ad31054108cd9578b14741ccd577c944dbec7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,La Plage,5Qf87pWpBPhHLCODMEB49f,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,0,https://p.scdn.co/mp3-preview/39ecf6dcac7350af871f255155103f693e8037f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Dream About U,5QlifRqyKJPvSLjzZ5RdoI,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,0,https://p.scdn.co/mp3-preview/8ddb717fe2aa943d0912b1c5004381aa0dac4c2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Astro Love,0iifYU68jMUJOXZBDOy1RN,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,0,https://p.scdn.co/mp3-preview/20da0203be21c0b22ae1584f3c2b7e12bea5290f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ocean 5,4NwLkzhStOb8J9V5h4htgz,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,0,https://p.scdn.co/mp3-preview/fa58b4b936e938b720bd84f73dc4c1758bf8b417?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Davita,6mCDqttlC1WT60sS1sgiV6,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Bloom,3eHjB8285XvjcTXG5yGYoJ,39,https://p.scdn.co/mp3-preview/4116b8586d315b68fa4c5e77c1f921cfb13fd2cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Onteora Lake,6u75w721lUNNuXcV9ywpD1,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Bloom,3eHjB8285XvjcTXG5yGYoJ,50,https://p.scdn.co/mp3-preview/2cdd195df9aa9e9e569507018f6fe17825dc0745?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Tumble's Lullaby,1gOdqsAxMgkhIOM8LkuHXj,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Bloom,3eHjB8285XvjcTXG5yGYoJ,49,https://p.scdn.co/mp3-preview/b326fbbb10f99ec181a1a682e37140c625d57c46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Bloom,0YUlUyJ0wNr0dOuhWq5sPH,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Bloom,3eHjB8285XvjcTXG5yGYoJ,39,https://p.scdn.co/mp3-preview/f68a877bcefe6a5b847810d3462354387cf28eaa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Homecoming,6tdYNXT46vIsU3qkAWCZUj,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Bloom,3eHjB8285XvjcTXG5yGYoJ,38,https://p.scdn.co/mp3-preview/329e607f72453babe6e7604cea9510bd96d05786?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Cypress,3oQPMwQ6eoAdfYmLSV54DW,Middle School,6AjXxPL8C44rc1yJdi6RZB,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,58,https://p.scdn.co/mp3-preview/32e233969fb01219843915a8295f03c01f0d0f24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Woodnot,1D6H7ijYv3UR7qMOBbYlvd,Shopan,2XHa2Sy9IYid9hnQ2YmtGl,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,47,https://p.scdn.co/mp3-preview/4618818553ee04ec03c591c8f99accb12dbb6e4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Memories.,4bXePAIKpIsJn76EMNIoW0,chromonicci,746nA9NSKsqBDRk343UtkE,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,45,https://p.scdn.co/mp3-preview/b2648708d39f8c16b06ad0b55fc160019ab283f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Move Together,4Aok41Zz86CM9073eLfOpF,Yasper,1axdL80XjVHdInGsJbURyt,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,45,https://p.scdn.co/mp3-preview/b216e8fb818a9d1ed9778fb97a9d57728d36423f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
