Coliseum Classic 1964-1994,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,149,kexp_official
1,Back In the Saddle,0ZGLuduCPjgWY1n85ykgMe,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,Rocks,5Uv5LmSKTT9okGkr3l9MjR,61,https://p.scdn.co/mp3-preview/3a0083586ad47ffc740d37200bd01cc0c3168415?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Good Times Roll,7hVhRCDV100Jq26NGR7adw,The Cars,6DCIj8jNaNpBz8e5oKFPtp,The Cars,4tJPWT4r4FSKwy784Qs1Fq,64,https://p.scdn.co/mp3-preview/9c7fd93a74a6c47a6c8def7719f580d63b2f31e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Surrender,2ccUQnjjNWT0rsNnsBpsCA,Cheap Trick,1LB8qB5BPb3MHQrfkvifXU,Heaven Tonight,5w20U3G3GyWiPvvDeVzkhN,71,https://p.scdn.co/mp3-preview/763bd0392b02d813ce988fa60bd68cf2ac69ba9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Come As You Are,0MKGH8UMfCnq5w7nG06oM5,Nirvana,6olE6TJLqED3rqDCT0FyPh,Nevermind (Deluxe Edition),2uEf3r9i2bnxwJQsxQ0xQ7,78,not available
5,(I Can't Get No) Satisfaction - Mono Version,2PzU4IB8Dr6mxV3lHuaG34,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Out Of Our Heads,2Q5MwpTmtjscaS34mJFXQQ,77,not available
6,(I'm Not Your) Steppin' Stone - 2006 Remaster,7dvtNWoHd3ioEBmIl0s3In,The Monkees,320EPCSEezHt1rtbfwH6Ck,More Of The Monkees (Deluxe Edition),50zHjIiTOZM232gnWvOydX,45,https://p.scdn.co/mp3-preview/43d579d5bcc7d92a53c7b4b9146a5d2c645f9d30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Goodbye Yellow Brick Road - Remastered 2014,4IRHwIZHzlHT1FQpRa5RdE,Elton John,3PhoLpVuITZKcymswpck5b,Goodbye Yellow Brick Road (Remastered),5WupqgR68HfuHt3BMJtgun,66,not available
8,I Want To Break Free - Single Remix,2AkmdLbVKS1steeZdy8H1l,Queen,1dfeR4HaWDbWqFHLkxsg1d,The Works (Deluxe Edition 2011 Remaster),61foK8xa76FEOk36uOxoc9,76,not available
9,Longview,3LRJbFT9rKoKv4aW7PuBJC,Green Day,7oPftvlwr6VrsViSDV7fJY,Dookie,4uG8q3GPuWHQlRbswMIRS6,67,https://p.scdn.co/mp3-preview/3e0df002c12cc9f72b54d1b2e522e48e7939a3b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ziggy Stardust - 2012 Remaster,5IyL3XOaRPpTgxVjRIAxXU,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars (2012 Remastered Version),48D1hRORqJq52qsnUYZX56,64,https://p.scdn.co/mp3-preview/7d9f79af0556952cd2cc2bc9077c51771e6f3a8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,All Along the Watchtower,2aoo2jlRnM3A0NyLQqMN2f,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,Electric Ladyland,5z090LQztiqh13wYspQvKQ,77,https://p.scdn.co/mp3-preview/5eec2933740ab3984340d5f004813f8275e1bb97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Paranoid,1jzDzZWeSDBg5fhNc3tczV,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,Paranoid (2009 Remastered Version),132qAo1cDiEJdA3fv4xyNK,76,https://p.scdn.co/mp3-preview/c3c74a5d2214f66307037df432d0ba2480e708fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,You Can't Do That - Remastered 2009,5b9G4dtK3Tdguuy9BO3Nwo,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,A Hard Day's Night (Remastered),6wCttLq0ADzkPgtRnUihLV,49,not available
14,Policy of Truth,0Mb20VmqR2lvtgbEermW2v,Depeche Mode,762310PdDnwsDxAQxzQkfX,Violator (Deluxe),0Tg76MY2wNK4j37iCb6qyH,59,https://p.scdn.co/mp3-preview/36109b8f9de4aee376dde2009bc57863ff1cd174?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Sloop John B - Remastered,2ULL3VZf4WwBKO4vjwT7Bg,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Pet Sounds (Original Mono & Stereo Mix Versions),6GphKx2QAPRoVGWE9D7ou8,61,not available
