Alt.Latino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5948,npr_music
1,Veinte Años - 2019 - Remaster,45rIJrUV7vMU9FbT62tacW,Omara Portuondo,1h4iSQAKdvAAm07l6FX6dy,Omara Portuondo (Buena Vista Social Club Presents) [2019 - Remaster],1pFWTeOcd051QQkv3aup31,14,https://p.scdn.co/mp3-preview/2702f6396c2402dd651642eb7e2437c40e7868cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,AUSENCIAS,2wqhIgzeRXbG4Jz1BHoJ1w,NOIA,7ME5Ue2P7g1BP11FRWr7LA,CRISÀLIDA,1PwqGpSwysxRzofpfhORea,10,https://p.scdn.co/mp3-preview/534d4d91a5b85efaa4dca98ca54ceb19c5dee18c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Blue Train,5sNIblybXZ8EsxUP7IEjxU,Poncho Sanchez,7wIvJyLDNfkgdKFVxJl5tL,Trane's Delight,6sMYDCMbXwodgyR2vejSEb,24,not available
4,Si Te Vas,6Y4PDQv4XjYjHLeLmvyOt0,Sech,77ziqFxp5gaInVrF2lj4ht,Si Te Vas,2S6p0g6YzG3609Ty45i5Cq,86,https://p.scdn.co/mp3-preview/5cb4ad4d3ffe549979c79007dd7437211affb89b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Truth Is (Spanish Version),4DkmvgEtrLZ9vzmDAHFzVZ,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,56,https://p.scdn.co/mp3-preview/dcff0ba74470d6c55c7501e097aeb8a0ad33c6b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Nena,0raf3YvklpSoMfXZ9vOH2v,Melii,4udfTw7V8jI4AHi7PEfJfj,Nena,04uB1TEToENNZe9PSOmjmx,58,not available
7,Let Me Down,0Cy35FshEgh67oZVvTSDxG,Fea,3nKEqmxHdIu4WbtE2kKvya,Let Me Down,2GkCCQL9lK0EXvNjpo92Wa,18,https://p.scdn.co/mp3-preview/5d5cff3283180ac38acccca5d79e04a3a7020222?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Mar de Llanto,4I4ibKhFtQlNA3Bv9iRIA3,Ambar Lucid,4nzV0hThyodYzrwksnS86G,Mar de Llanto,4y31FAOIcWmlHYZqLFFbj9,48,https://p.scdn.co/mp3-preview/bbf488cc9554e4de400f964478b79bb687b82dad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Up,3qDsbgciz3ZuySF2NpFHmY,Estereomance,0sPz0BuaI7sSF0mzku6fZd,Up,018BadndkLXJQ0r7Jzeuwx,21,https://p.scdn.co/mp3-preview/3c40d4a2ed00ae2f9465d04216a7e6153d81f3f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Shame,4IR4kwRtaZkqxD57v7Kxkr,Luis Muñoz,6SCQcaPK3LRUQ40ijpMY2s,The Infinite Dream (feat. Lois Mahalia),3nQEkLmhuz3VfqTpGmcIai,11,https://p.scdn.co/mp3-preview/18ee4474c84e11301a3aca7b80a49b8f7cefb439?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ruleta,01SivrmcspQmQnuN5gYgmi,Girl Ultra,7i1CyQ1fogh4bkj3EPj3ls,Ruleta,3UxTamh9MuBL8ZFrh88LIG,45,https://p.scdn.co/mp3-preview/01032c2495e5625aa6317f013d7b5e5eaf9fcfc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,YES,49npsHkkRrF42IxwU10Egt,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,YES,0E74lJz7EpijEP2YDHGDYh,75,https://p.scdn.co/mp3-preview/b2bbf9072aed9b255c6176f96b1ed7ed7625303f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Bailando Con las Farolas,6L50NoOHzsy4nqgqMjTU09,Jenny And The Mexicats,2faVKByk0IA651ICKyYYOa,Bailando Con las Farolas,7JdYoEGug2CawZ409DG1U0,46,https://p.scdn.co/mp3-preview/23878e8a384462efa6200badbce495008eab3d3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,No Hard Feelings,4dHLTRnNrrs3pDXeQxj1g5,Melii,4udfTw7V8jI4AHi7PEfJfj,No Hard Feelings,3JO4jf0x5q2Wa5XlhyPqys,57,not available
15,Desafio do Guaxe,3O4x6MscJnDB1346MEmBoz,Guaxe,2pLyAhuWdMbhe6lG4xAidI,Guaxe,6tJEppndaCo0amCIIkUXn3,23,https://p.scdn.co/mp3-preview/cf8029a55f3edffef722aa129a2754dee049c0d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Oshún,6H2NU5IEH4sRPX2NcILfGT,Daymé Arocena,6LcWO77VeIUPqNY22N3fI0,Sonocardiogram,2kkfU1v3U53ZDhXC3ZQdaQ,19,https://p.scdn.co/mp3-preview/e1f89ff428a002063a9517c837e38f3f84ffaf7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Abre Las Manos,5CjjeBLv3Ag5YqlpIM7HkK,Devendra Banhart,1YZEoYFXx4AxVv13OiOPvZ,Taking a Page,0RRkqjUcHquTecV4vh1PJm,32,not available
18,Hoy Como Ayer,2f1q9NPLts5gFxzjxQryRW,Alex Cuba,7gZRUp2WL6r11PXTv309P1,Hoy Como Ayer,0VoJQbEFnbUZbwhkTxC4q4,50,https://p.scdn.co/mp3-preview/d1220988df08473c8cb759b4e36f20c58235fef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Jícama - Edit,6aPbEmShoFLfKLbxRCrlJa,Angelica Garcia,2rjGbM0H8EUQzTVx6BgUlG,Jícama (Edit),1WQ1Cd08LvH6l5oZuuolGr,25,not available
20,rio - piano version,3wODPAqChq9dfP2uIhrN3E,Vanessa Zamora,3IZxs4ZukiitIk8vkAPAxC,tornaluna pocket,5oHkRaoG09bX5tsuEWcb9K,20,https://p.scdn.co/mp3-preview/346d4a856ab4ecd729fd45c9272093cd7a20c1cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Tinkalamina,3hGxqlvIfjPSCRgYFqVGvf,Just Play Peru,5TZDObEKwaHtZe359xFkU8,The Warrior Women of Afro-Peruvian Music,71JAiQLlDvFdCxmevuMYdz,13,https://p.scdn.co/mp3-preview/b21b0ae04385759b3f9cc259169873e647cb3e30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",684EjRHwNsZQ9hCQxL4NYL,Dimelo Flow,3fZk3Gm5dN5v5yfYMQ04Bx,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",28561uZztshyZSVG6ElL62,88,https://p.scdn.co/mp3-preview/5f0536002dc215c10d649a4da83acbd9f1c53d50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Tristeza,6SWCItCvbNhSH7rvtoQJ90,Reyna Tropical,7i6bx5ASeX99tjQYqahDXL,Sol Y Lluvia,3nxxTapmbeRp3rFCtOzK44,40,https://p.scdn.co/mp3-preview/fdab988af7c6a614c67fb5ec869ce58cd57ce1bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Héroe,2QE7T9kEPBpxWQYvObY8cl,Francisca Valenzuela,2piHiUbXwUNNIvYyIOIUKt,Héroe,62mmyw6M27nnQvG9ZWztO7,56,https://p.scdn.co/mp3-preview/cdff1085772a104a59c5c7bc6a5a932dedb9f303?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,"Solo Tú, Dueles",29P3SAhC0jpoaFXsDBmSC4,Diamante Eléctrico,4VAZ6unMJx5upeWn0aFYuo,"Solo Tú, Dueles",1fdtkiFIxaLPmtDP9ABZp9,48,https://p.scdn.co/mp3-preview/f7bfb305d68b13c984c60737c09b7eb1e288c77a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Cobarde,4rbFRFbocQDMubY2l2qM1K,Ximena Sariñana,7plUpXSFcSJUZSiZAoXqr1,¿Dónde Bailarán Las Niñas?,6BvR8xqcnvm7Gpmmnr7JKa,63,https://p.scdn.co/mp3-preview/973e2836a89895c4795b288fe2f4b671e969f75b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"Yo x Ti, Tu x Mi",3844bY26oeSkqd06th4EYp,93,https://p.scdn.co/mp3-preview/f8d270e551ebd663edbb22a6f2fb58a3f5d73edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Pa' Poder Vivir,47Rhk1G2uB0HMLnoKPK7M3,Ani Cordero,0CRwWa8WxuhnF5eTf45lI1,Pa' Poder Vivir,1TEBQRqjsHqWgeAwkWf8II,15,https://p.scdn.co/mp3-preview/477627c074fc463fdb3d110977d44fd0c11bd27d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Angel Baby,1kuqeXlPdl2M3ul16gHVdt,Las Cafeteras,2AeRVFWlYSW9zMUGULjPpz,Angel Baby,4G4oOA78i0gyVAYq74W7j7,24,https://p.scdn.co/mp3-preview/546e77f03268009bc7a8a3fc16ad7875db93dcae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Acid,2KU4x1QJDp7QoDk1p4SHff,Ray Barretto,2h4ndKS2vRWeFLpq8ARu0D,Fania Goes Psychedelic,2MsgUVGQftmx5oaHYLLurB,13,not available
31,Como Suena el Piano,0Q9BFqL8rcgChwDqQZvfRC,Arthur Hanlon,2tYwhzzfvvDr29BbBFcHhB,Como Suena el Piano,5krK1GsyeZwnksTiqHguan,54,https://p.scdn.co/mp3-preview/78e4e8960a9e72b5f0325b8abca05ff6abcacf63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Canción De Mierda,0YGXxFDEGNSlW1djyBtU0V,Mon Laferte,4boI7bJtmB1L3b1cuL75Zr,Canción De Mierda,14zeNme8vvHVjkkZ4dIzDp,62,not available
33,Me Toca a Mi,1rka6RxusFReYTW8hJsEsm,Nino Augustine,56bt9xaV44RJf7KqqgMxsU,Me Toca a Mi,6jD5ialfYvjpqgkrJm1JvW,13,https://p.scdn.co/mp3-preview/f7214401c11daca1c30a725ef0b12bb29866d7f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Tu Rumba,4iY6Xv5g3SbauDZmCf2kr4,iLe,1CztIa6fCQ0WmVPidXuwSs,Almadura,5ggXegN9GWgNOSS83gZHGT,49,https://p.scdn.co/mp3-preview/bcc9e99a9d951dd049aa9e013db621f858d167e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,La Prisión De Folsom (Folsom Prison Blues) - Live At Folsom Prison,5W66wy1UZbjZ6ORUkJLszk,Los Tigres Del Norte,3hYtANQYrE6pd2PbtEyTIy,La Prisión De Folsom (Folsom Prison Blues) [Live At Folsom Prison],3hS4KJi6wZ5VzOVErjkYhp,49,not available
36,La Pared,4VKWOUfJz0qJqxjaxvKcPW,KC Porter,0BGV2ppb0w2szkPSdRXw8V,La Pared,7lSw0MMaeLn26uY4R01yR5,18,https://p.scdn.co/mp3-preview/adec254e1b5eaadc089eaefa35c62bfdd9cdfcef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Cierro los Ojos,4GkP9iQaRI1IOS4miET0HQ,Cable Head,1aAzUBTmIhfgMXZiI8Evvz,Cierro Los Ojos,6AdsKvSSmlCWE2XO97TLOW,16,https://p.scdn.co/mp3-preview/aafb1e11e10e90914a021ed7a15c4b7b5738ef72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,The Dreamer,72m16GZIFXMEWMbOT4ZgM8,Che Apalache,0PBuk92QWrRVrlNifUQSLX,The Dreamer,6julQEZfdXe8SQqWXIPKh9,15,https://p.scdn.co/mp3-preview/2dc8fc1280eecf6012e476a7b5efa33edda4db1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Cuerpo Mortal,1JcyNfxnQv4Lyq1Lb5BghF,The Mariachi Ghost,7oGlqeCBGH7I7nAi0uMrr6,Cuerpo Mortal,2kSIOFt9IAuAlfkUBuTRed,9,https://p.scdn.co/mp3-preview/9a5b94a4c1c738525c4bb171e7249a297978166d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Keeping Tabs (feat. Suscat0),1KypMTzxfo8NNIZ30lanZa,Cuco,2Tglaf8nvDzwSQnpSrjLHP,Para Mi,6e8eJS3DUWZ9SAjHE5AD5m,68,not available
41,Bellacoso,1kMUGCt7XLDc5Q64Vl0H8S,Residente,5GcWBUX00IPuWVGMIRK1sS,Bellacoso,0un8ZRojNl6fYFRHYzQ9GG,85,https://p.scdn.co/mp3-preview/b8b21e99fc33ccd5e727883f14b5690dce2f791f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,De Nada Sirve,2CFDPiNUxcSOqfQtUHYNxF,No Te Va Gustar,4ZDoy7AWNgQVmX7T0u0B1j,Otras Canciones,72SqrtijWJKq6ukitktd1D,62,https://p.scdn.co/mp3-preview/0dd727e1b45caf8bdca79cb930d254d6bceb2406?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Across the Borderline (feat. Jackson Browne),7uoZGCraBQCRMmu4qCJ11q,Gaby Moreno,0K9pSmFx0kWESA9jqx8aCW,Across the Borderline (feat. Jackson Browne) / The Immigrants,6Erarjf7qhyPsGUk6W3YNj,26,https://p.scdn.co/mp3-preview/060e952a33fbe0da5d08d5340a75d219c29d5fe3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,La Vida Es Un Carnaval - Bomba Estereo Remix,1gp1yn0h8hQWgrJq4Kgiu5,Angelique Kidjo,51qUDJb5AtQX6jIL4VJx6M,La Vida Es Un Carnaval (Bomba Estereo Remix),49yvEMly7OnIUsE0L41qIf,26,not available
45,Winning,4FDj8eXcugAS3bUQ0C4sLD,La Santa Cecilia,2FZrEn80eCoWrrkGXPLF0v,Winning,4TrvaN5jrVKMvKLcXPHBCl,27,not available
46,Pan Pan (Sin Mantequilla) [feat. Émina],7gGs9kTiqcyG2dvj2IJsuc,Ani Cordero,0CRwWa8WxuhnF5eTf45lI1,Pan Pan (Sin Mantequilla) [feat. Émina],4UoOV0LMoHocykhYxIyQK0,25,https://p.scdn.co/mp3-preview/d808a5e57f00f5505530c23868aeaca81761559a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,El Pasajero (The Passerby),6EhhHDpnQPX9NtGd1R5M6k,Mariachi Los Camperos,7vPYT79nMovLYmO2M3nTe5,El Pasajero (The Passerby),1PsnVeJMoiZor0x2q8xDo0,19,https://p.scdn.co/mp3-preview/a6fa05283e9d8f34886bc05b840678d6e2e1c1ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Tenamoras,3R9rvUUz29qGQbAoXir2t3,DELLAFUENTE,4bJh7sMPcVRiqe5jlnsWQV,Tenamoras,05A17Pa88MpMKMj9aDEguy,63,https://p.scdn.co/mp3-preview/95f25081ecbd978c5d4fb573bbfbc1a40958e568?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Ponte Pa' Lo Tuyo (Remix),1IotnnZYKQLXL6Se7DUFih,Cimafunk,28wtFivtmdKxFRfu57AhBe,Ponte Pa' Lo Tuyo (Remix),0IV4qJ5zo9FCw3HOzMcU1Z,28,https://p.scdn.co/mp3-preview/ab48e3356d62164383c0f826ddd0b69addc84859?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Muito Calor,5uVgsAzjO6eJR06VPrqUga,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Muito Calor,0f3bt9OrN9BzSMRcpCg9y0,80,https://p.scdn.co/mp3-preview/09cc3389d1375547e1c40b27a48c7c8fe171ce92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Chilango Blues,15GJ5u94ls3eciXNh6YDER,Mon Laferte,4boI7bJtmB1L3b1cuL75Zr,Chilango Blues,1XqryMmgsJxFIfUHu8E2VQ,60,not available
52,Abre Las Manos,1OHY5bqTvvX94i7WqmSFQs,Devendra Banhart,1YZEoYFXx4AxVv13OiOPvZ,Abre Las Manos,1a3Ii3B2v8hcn4Nmhf02px,36,not available
53,A Las Rocas,1E1gFFePiJlnUdlTqB7acB,Raquel Sofía,0J9JLJmiTXJFvvyHS3Qzn4,A Las Rocas,7r8xflQTomfjRhyXBTmXTY,52,https://p.scdn.co/mp3-preview/a31f63797b3e489d3dbe32876b25e8be11be3699?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,The Yellow Nimbus – Pt. 2,7fNFU2Dsd8HKdY7SS8BI9d,Chick Corea,5olDKSsFhhmwh8UCWwKtpq,Antidote,2fM4QCvifFnt0h9aYsNETv,32,not available
55,In 7&2,3Jbf0nwhtyth2PKy1rFore,Marcos Silva,2cKjyZLxfNEY6x7Dd09okb,Brasil: From Head to Toe,3YCrBrMFGeabZC6UL519Rn,8,https://p.scdn.co/mp3-preview/2d0484aa97599448674c478c3849438ed486fd05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,This is Not America,0I1oBM4szIyQJpvKIA1cQ6,Camila Meza,3Wkf3Zv5wMaIsz2MwkVOKF,Ambar,4CIuzD5WD4LB1DKjj3Umcp,16,https://p.scdn.co/mp3-preview/ae79ec27cecdfc1a539918caff252e2ae0f1b70b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Dos Gardenias,2MUL4s2caLuJTLVwwxR3sX,Cristina Morrison,6fIfrqZxz77W4JieTe32yk,"Impredecible, Voces de Mujer",1ApybrfNJ7bfXtqoDCXtSx,18,https://p.scdn.co/mp3-preview/6bf00800682feb69ba378342b2f4844a1601c7b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Me Llaman Nella,6hfTErJdGCmUTsh6FmG1NF,Nella,6hgiVWraSMs9mbUrhPq8Oh,Voy,4vZQKr2rnJRoh8rkmfaflt,34,https://p.scdn.co/mp3-preview/d35dfc57262f3f479531291b09769911cd4ebe2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Aguante,6yAVpD4Xat92lPlv5VMc7S,Mala Rodríguez,3Ces1OJeGOVGcUB0wPaPXJ,Aguante,1SSE8t4Y0RwZAu2s7JCmr9,53,not available
60,Calma Morena,4VxqKNVRSzrcnK4iMJTQ2N,Rua das Pretas,6FO2vyH5GHk0koe5TM7wjj,Rua das Pretas (Lisboa Edition),3OHZHf6EGJRPF2aQocdnw2,13,https://p.scdn.co/mp3-preview/b99d1b472c73c37b14d8b7e06532dc453a125a3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
