The Austin 100,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
90,Satellite,7qbbdJRc0i1kuvXc2YgLwo,Charlotte OC,7ySHyUSqpKzGnDqOxLiCFH,Satellite,376ytJMTlEvHxusfyewuk1,15,not available
91,Father's Son,5fxkWOrOSjAHJa6P51YpGT,Celeste,49HlOY4gkHqsYG9GCuhkcc,Father's Son,3Ja0NN57K1IM7YiksvI5fX,7,not available
92,Astronaut (Something About Your Love),5HyeB6rcojOPioaV4osfeL,Mansionair,4qOzMSukiZoiSjPQw8Zs7s,Astronaut (Something About Your Love),2GfYEtbqytpBiX9ZpQDZp5,33,https://p.scdn.co/mp3-preview/c1aeb2976894b25b6c42c24de7b6d9e1bf809a56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Foundation,4Ls4M6L8PygJ1OwGhwRSgr,Public Practice,5iIR0tru2tKI6NPIYUJjkf,Foundation,1bf3bE3erD3opvml3bla1z,30,https://p.scdn.co/mp3-preview/9268ea5ddb50713c5a3bfdfc6b61acf78694461e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Dirge (For Those to Come),2BjdvnV3gyYV2gWFVk3fMU,The Munsens,2PWsegNXQI8EvVRvd2g4pY,Unhanded,7dA3wB8zDC5T0oGManZAXF,8,https://p.scdn.co/mp3-preview/8bee0746de4c39e7d07f3577dada79e22e46083d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,6,67W5gicbqNA5vxVEv3MJou,Wohl,5Xwb1MTZsVYG8hXaIUMP8D,En Vida,1btkyJPE0sDZbCtzNKgxMs,13,https://p.scdn.co/mp3-preview/2c6c393a3e941bba972e93405e4ffd58bd8b5501?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,TAO,4iMO1q9dqtVZBX24xriz6u,yahyel,1PSuZ74d4aJt9LR4fIoBNo,TAO,5hrne5CO1eFj3wGbQfKjo5,28,https://p.scdn.co/mp3-preview/385eb9ea387cf424dc93e16546ec523e0e95a675?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Children,092AnNW2GPI6OhID3LlnfA,Chastity,1Pb13vLDNqpaXI88U9t6JG,Death Lust,57j0H5oZv58jTE1kR4kjIg,27,https://p.scdn.co/mp3-preview/e53aa26a307d015896e80f4a231a7f0f37204342?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Mirror Image,6P2JyRduefYjj6NesIPfK2,3He,4ivMxJ4fP9aS61jgkPR4uj,Mirror Image,01Uw25DjJvqNCNMEMpkqqM,0,not available
99,Top Skanka,0LpABxAIZyGAHys3zcauJ9,Stonebwoy,2ayt5jDUuTCpoTG7sHSvuq,Top Skanka,2HSaqwxJtUNW9Psy685RNv,29,https://p.scdn.co/mp3-preview/27b8a4e698d5c614d915aec063f3ee0ad4b63262?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Hoarfrost II,0NEXJhAf1pCkxTtxA3nvxK,Stefan Wesołowski,5Xszxxr68k70m0XpnQpNo6,Rite of the End,02wptdYCkjUifeRCECuFrM,8,https://p.scdn.co/mp3-preview/7c2e4ad07d356b3384d9d83786e77c64138f69e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
