The Austin 100,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,"Sequels, Remakes, & Adaptations",58KoyuGbsl27Ss4dqmmBFR,Spanish Love Songs,5DaZV3qmFT3aS57df8KPkV,Schmaltz,4lLBXMKgq5R8Ky8SMgYW1A,31,https://p.scdn.co/mp3-preview/16963d0336cf29c818189882fc86f2405857bfc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Flirting With Her,3MkCd2sE682YLsUaEBPtTl,Sir Babygirl,3Z9b1MnVKbJw8LpgQclsls,Crush on Me,5zR1UmNJjxW8YE0nwf0jcb,21,not available
25,The Spot,5Y7DSov75Ic5viePFoD0WX,Your Smith,2kTZfKGZEj8R76z3ooKOF1,The Spot,1O24l7mxJn2iKfgEiepZP4,49,https://p.scdn.co/mp3-preview/4c7d75d6c0019735cac3b5aad348609f7a414813?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,One Of These Days,0iqGS8KCYzkXTeVjUDNhaA,Bedouine,6IiZemRMna678qNhiRkYI5,Bedouine (Deluxe),78JRVney9Ma3xEVGSG5xYy,51,not available
27,Mo Light,34JSzTbF55aQYGT15bsP7I,47 Soul,5nxFmhSekt9Acn4tWZxGge,Balfron Promise,1sADD8M1rNC3clJBTZ4naY,34,https://p.scdn.co/mp3-preview/69a6e3ec0b43af94d3235bf40942fc928aec63ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Summon The Fire,4IrjjDIaV9QQYwb6FYhthM,The Comet Is Coming,0Z5FMozvx15nUSUA6a9kkU,Summon The Fire,3YU4OKj5DQ58ckciTkOMym,28,not available
29,Flamingo,3GI6bFNHKbXjYBMCYXIHU1,Daniel Brandt,4OJgcDY2LiSjD0rKNygzH7,Channels,26eJ7snFCJdQDvPWTVwlva,0,not available
30,The Drain,28SJBsqMM23aQbjjXLKtCL,Ellis,7EQmY1hAAeuJLa0GUNpKNN,The Fuzz,1f3Zh1IS7yMNLFU2G0lPOG,22,https://p.scdn.co/mp3-preview/01aebc33b1fc62f0341af0ebfcfd7017d926f31c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Gods Among Men,6viN8JPOMqL9py5Auj39hn,Jojo Abot,7yR9zhQxEi9sc3vJxS2YG5,Ngiwunkulunkulu,0Top4TMRkEzrgR7CGORC8J,15,https://p.scdn.co/mp3-preview/399f5bb424c8576ca22c6dc9b862a958698ad512?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,EYヨ,4IgK4gZcOJujNTj0uLkaEZ,I Mean Us,6FGSUph2Uv0yi2oM1hDV78,OST,7wzPzvHZIMSDic98hVagD0,31,https://p.scdn.co/mp3-preview/394166a247b84c919d44f0e8e448812bf79d8fc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Big,5UFDyBRSizZ2AwhAh3paqt,FONTAINES D.C.,3SXwqSqAoBz9WCI9PDQzY6,Big,0By2MchWxAk9Va8iiKEh9e,9,not available
34,Where the Sidewalk Ends,4Swny18O6OSmj521UYbZa8,Sidney Gish,2orBKFyc84jo9AZH5jarhI,No Dogs Allowed,3jgktTCGathax8HKW4aGfg,35,https://p.scdn.co/mp3-preview/b47087a97f2c58cdeff2ecd3e19cdcbd19c43db6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sorry,7Hs4BDVWvKvKzfr5A0pI9K,Hala,1dTBAtLZBUB8Ir4PmJYw9t,Sorry // Single,34ywWzeLG8WVOwgyV6vLUY,52,https://p.scdn.co/mp3-preview/f172888b32347ff668b4fb21837729be1e5804b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,(You're Better) Than Ever,4oZbuLXzaXBHKLrMJQq3Ie,illuminati hotties,3ztRX1UoIOsFqpD7dB6R8O,Kiss Yr Frenemies,7MBEDhV5OFYhCq6fkmQNUT,4,not available
37,I’m Over It,43HnBH2Q4pzcDHGobR3vMT,Blushh,6gwYYlD3bgZOHGYGrTGFz5,I’m Over It,4EaJNRCUhkSu9HqtUjfNEJ,28,https://p.scdn.co/mp3-preview/318713d8c21af6e5c8a12e5b860836ee0df759e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,666 Kill,69AxaOmuSun3IhcTMcoCo1,Willie J Healey,4T4JE09FOmRgv2Wzb6JaOR,666 Kill,5Iu7aQkk55yfzSxHR0Bwxd,30,https://p.scdn.co/mp3-preview/c3ab2fa16dfc67e67fc2e0544fb2f4846604ce83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Electric Sunset,1Fnk8AhigK6Ju7aGXw4Qoz,Twanguero,1qupsn74dUofcXCZCBEwMS,Electric Sunset,424vDJAprPQClfrHzL0zwx,16,https://p.scdn.co/mp3-preview/48b947c60b5e9b3f1fc49ae1e3cb5d7692c22491?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Afrujo,71NZa4GAzaQk6fGOinag15,Sonámbulo,5rPFiqFQMP6Wxa8Klj3OtW,Domitila y Su Jardín,6vc0UWbntp1RW8rTdtB1WC,21,https://p.scdn.co/mp3-preview/792bdf8c3406ad8e536023ffb96f44feb27c9f53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Bist du down?,5Nzrol1S9iKYwXt11CjM2n,Ace Tee,3sqdh5sW8Cc1j1jdbmRJRm,Bist du down?,2rRLjxNlMODYT1S20i4mBf,35,https://p.scdn.co/mp3-preview/614e4ef98c802d886705bd58792854ee7c666304?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Sweet Tooth,55jPhDgexkMIZbTCB7CNIY,Isa Reyes,4TByvCGrRIFKUl3rMQKQa1,Sweet Tooth,14UZk6waseBlCG2vjN1Esy,31,https://p.scdn.co/mp3-preview/2ef67959afd9c1123d8e75a765750e3cb012983d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Bad Mind,6kfBX7kpUa4eLzm2sML7SU,Erin Rae,167VlZ0C0ewQbgKexRFcs6,Bad Mind,1Tvbz7CdCaJCBy48jBeZZ5,18,https://p.scdn.co/mp3-preview/167e94b7213b0a6d3b5e918c2096af3f34df23e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Quebra Cabeça,3zOFT522DeosOSsAsKVqmS,Bixiga 70,6rUeHFntOV8tgpoUJvEthU,Quebra Cabeça,53utzgpfyXQ2FzST6xQUA6,22,https://p.scdn.co/mp3-preview/8db33efb61c053b3ce155b7d229def083c8d7abd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Fashionista,7wNlkOMCphVRzU6v9F8JRi,CHAI,0NZsNnETGPWLKJj2Y0vpBx,Fashionista,1NmS2ZpM76KrXArAVkLGHF,14,https://p.scdn.co/mp3-preview/e61b6f5c82aa3a687decf23b49f77ee473063546?cid=fa83a2fec7c440b7a2795d600d6b2c7e
