"NPR Director's Cuts: All Things Considered, Morning Edition",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,White,2gEmgpnxseKEVRTwkSGopN,Odd Future,5xpkLC1MxiPRiIJUDEzuVm,The OF Tape Vol. 2,7ibEo7IK9E9mi2sU5rJNDC,56,https://p.scdn.co/mp3-preview/18ff4dd0d434b708612a21579424ec14e3dffe72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Lego,1KQ3ENgy32bNrwLHEvLQGy,Tesk,7ntBtETW7gkufH8Hw38gb4,Spotless Minds,46Y7VMmPFLPTAJ044whjsf,28,https://p.scdn.co/mp3-preview/20b655e5278cf398b704e5295a8c1375237b4b22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,We Work Nights,5C6BbrGRGOzcadaqXwLhm5,Gold Panda,6xS3zemJD9h94iueQvGqVk,Half Of Where You Live,3QmT8WQ85Sc0bqkM0VAONw,23,https://p.scdn.co/mp3-preview/53f591c2a434acec2d756e93af4688505c0cae4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Promised Land,3ky9eHBVBXPs0nkNHOGVIu,Stan Forebee,2cg9jlWp1QRc0Sk6kTp9Ez,Retrospection,5U8CanupsLBoruY05Ua279,9,https://p.scdn.co/mp3-preview/fa914b648ee20d78451eb86db8f77a0542e45489?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Kylo Ren Arrives at the Battle,4iMmW8NcVFU5ytJkHa6IbA,John Williams,3dRfiJ2650SZu6GbydcHNb,Star Wars: The Force Awakens (Original Motion Picture Soundtrack),3fUKGTsiYL1kSroBWBLmmR,42,not available
36,Wake,6pe4gmDZ101bhXFbspKpGN,Canyons Of Static,7Hmo7RuYGZE5EbRodePKUe,Farewell Shadows,4cZCFY7HpDPsvoHoipaWvb,3,https://p.scdn.co/mp3-preview/e0e45273a948235aff89133f7f00005971c881b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Buffalo Run,0nTkBe5xc3Yq2ne5lyaNnG,Orville Peck,46auOkH1pk28rWrSoUNhLo,Pony,7Jn1h8E5aT96pdyrPxrLWi,49,https://p.scdn.co/mp3-preview/57d8276931809dc1937c55787fe085380edb4129?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,This River Is Nearly Dry,66gr3y5F8Lfumfb8M1EPmZ,Moose,5juac7bFYyLKmV0VGSyaKM,. . . XYZ,5xxnHsOdealeAwAjfJfWH6,9,not available
39,Rekindling,1PAnCtt3Jx9gvHwBQlCoMt,L'Indécis,5p1ichthTka1KT0iUvrlIu,Playtime,2wC7FLjW3cgrFw6DLg6Fzv,40,https://p.scdn.co/mp3-preview/d9323dbcd0605619d15b309ad42d07c7f4905c3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Cuyahoga,62BwRNlV4Xpel5ssYVLs56,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Life's Rich Pageant,5utjCgJfaqaOqfHGMzD9cB,33,not available
41,Nightswimming,1zADxwaqq7GADR18vpvini,Vitamin String Quartet,6MERXsiRbur2oJZFgYRDKz,VSQ Performs R.E.M.,1M8BvuChyGAwLwB33JRAW6,7,https://p.scdn.co/mp3-preview/0fddc6acd4b78484473874097e59dc82dab266b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Future,6D8aqfdFcO41Tg356jojBo,The Best Pessimist,6W4aup6f745SyZe2vShUnZ,Part.II FUTURE,6XMjEoBRZQybU3iIAlecvL,16,https://p.scdn.co/mp3-preview/5ddb922a0497a10e40e2d0d0996faccac1d8e2e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Infinite Mirror,6Ud16saJTj7RYZolKEENE3,LITE,0TF6B1cp2QZXLE0NjhTMT9,Phantasia,61kijqkLmurIjlNOv65WYJ,39,https://p.scdn.co/mp3-preview/7d5a4494ee21dab3b80a890fd4fc8d592bfb067b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Teen Age Riot (Album Version),0WIbzDVEpmOyBnqqdtqIL9,Sonic Youth,5UqTO8smerMvxHYA5xsXb6,Daydream Nation (Deluxe Edition),23O4F21GDWiGd33tFN3ZgI,64,https://p.scdn.co/mp3-preview/d17bed3223dc278d8d9142329d7793ab0e8fe248?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Sugar & Whitebread,3DZHJdYgExET4rdXjMRRXc,Glass Candy,7atGlyFY5574ph1tGMs6gD,IKO,2AxtyY1JfjagIwLZ0YxICu,14,https://p.scdn.co/mp3-preview/fedace6164d45bf67bd401f94b1b1e8b1469f544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Light Lock,4yQFJFP6EUUwzTzcGoQBv5,Instupendo,3ctnkEZGtVBTxS7IMin8nC,Light Lock,4GbSn6osePrelxpfKSjXEn,38,https://p.scdn.co/mp3-preview/a096fb86d4797c7849f085e3392dfb5d8086b4a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,It Means I Love You,0qCoUxF5gYy1BJShQFVDwP,Jessy Lanza,4b99uGDv75xD1n2QHuPRDN,Oh No,2s2Er5s8074i57yrBwUfOd,30,https://p.scdn.co/mp3-preview/17fbde4bb92d372dafe6762059780d3055bd3a61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Fa-Fa-Fa,7qw9gcqDHEcoGPPPKQtaUz,Datarock,4foARo5aSfuIuDLupoxK4k,Datarock Datarock,1PUwJaJqO30PLi4alH6q0k,47,https://p.scdn.co/mp3-preview/27f5f93db7154c05e7a5331b75486d9f0f026392?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Maktene,1KrOmevUWjEvMgfnAS6mhM,Felbm,2kjrM4RpZVRBHy3hjgJCr7,Tape 2,2yHly9bDwftjvZtTqwNUyP,12,https://p.scdn.co/mp3-preview/edff804097b2962766fa0a2813fb7e930bd110a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Un long sommeil,54v5B45nBkmw4fWpZwbYqM,College,11TlWPqyDFLHGccTFQhcc6,Heritage,4tr2VX5i1VIh7QvPAVgVRb,18,https://p.scdn.co/mp3-preview/13bd8c3b0cb6da3c6b1fd81139b3fad8a1d18393?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Transitions - Original Mix,5xAR7ZuXzlIc4igXxA0vyY,Sebo K,0C12lVN0om5RjpgjboPnf3,Patience,5a4Q2ydLqwiFrAcK6Z6N4O,6,https://p.scdn.co/mp3-preview/11638e95fd37ba824880acc0f51c2adbfbcbbb6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Proton Candy,42CdFwmcfP3Sb7hxT58rDb,Metro Area,3KTzs16kNylBR78QZSkiyx,Metro Area 5 & 6,6AB8l8wWw4VtEYhpmdtmjw,26,https://p.scdn.co/mp3-preview/2f89ba308667aad05721636171e7a707b08a3703?cid=fa83a2fec7c440b7a2795d600d6b2c7e
