The Scene,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,328635,spotify
1,Indigo,2XC6w5cln0ywxxih9yP2dG,Past Comfort,6WnyCV36FDtDoYyHyv5CfB,Indigo,4ZJBxCLZXp3eyS08YLatBD,26,https://p.scdn.co/mp3-preview/d7c47ca2a86eece2691ffed1956ae8c78a262839?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Skinny Dipping,7s7xOgct7HWsNjGO3YOtqt,Stand Atlantic,1W2Fv4YUnjC8hx2qQd6fGh,Skinny Dipping,4xtHySb6XaNo8SLRgfpUSu,52,https://p.scdn.co/mp3-preview/fcbc0dbedff8e8b912ca6893fb25d6c0d3cfcdeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,WITCH HVNT,1mkDFLxzMR5FiEisymYLpq,"Chin Up, Kid",2gzDWd9J6ea1uq0ZfbtNjj,WITCH HVNT,4oDfyYVfvM1RX349xgaWBJ,28,https://p.scdn.co/mp3-preview/9d97f4c93423b97fa0c8cde918421d36f1a4048d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Moving Boxes,7lSqt09mk5hlzVWLzYIuWI,With Confidence,2PWXHVDEtObSmUrNhfPRav,Love and Loathing,07aGx2IErugtk4d7clL03j,58,https://p.scdn.co/mp3-preview/fbc4398a2a283516abdf7bfdad5cf753945280c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,"Heaven, We're Already Here",48Kt0Zugeset3zlvhLPJmz,The Maine,4o0pNHbyj36LPvukNqEug0,You Are OK,0DRUOQBsax8QLUVctbEIAT,26,not available
6,Darkside,39n1y2JqVOPIdfUeLqzgfl,blink-182,6FBDaR13swtiWwGhX1WQsP,NINE,4gARZz9eV7zbGbtOjhVTPF,73,https://p.scdn.co/mp3-preview/1e5f5e74dbf0595887a3258ff58bf3dcc98e171f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Better Way,0LjklANrsd2v6HheBkMyOb,bloom.,2pe5XkD5nb5nTQeVsPn4uD,Withered,0FjBK3l1bTQUfTBb0N1d8Q,21,https://p.scdn.co/mp3-preview/0aa9a9a9bdf18866d833cf10d55d5c2576a0c7ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,She's A God,2RSWXsgLoiGfuHHJk5ykxr,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,She's A God,4xxdLKcI0SaURrkrqt5LAu,62,https://p.scdn.co/mp3-preview/fdce2e2f0c2712de729a25fa22acc34337e2ee01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Strange Love,1y9AS8gXPuF8sn3K6Awbyb,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,Strange Love,1j6QSpMFpwtR9SEZvGgR4L,58,https://p.scdn.co/mp3-preview/9d92c67124e76594dea39e77d2b1740fe4f0463c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Numb Without You,22aSl53GhZ1y0R4neQ11pd,The Maine,4o0pNHbyj36LPvukNqEug0,You Are OK,0DRUOQBsax8QLUVctbEIAT,28,not available
11,I Really Wish I Hated You,6KWcq5p0wsz97N3eoRUSH6,blink-182,6FBDaR13swtiWwGhX1WQsP,NINE,4gARZz9eV7zbGbtOjhVTPF,73,https://p.scdn.co/mp3-preview/f876886c32a48c1646a532591e4c17e5d684642b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,From The Outside,7fHfn8mvEYI57Pz9bMT3PG,Real Friends,6dEtLwgmSI0hmfwTSjy8cw,From The Outside,0kyY01XQw8dhBFFVIgGbUX,0,not available
13,Turn My Back,7xgjwuqkYgAvLpBqeW4atb,Mayday Parade,3WfJ1OtrWI7RViX9DMyEGy,Sunnyland B-Sides,5KuXgQmtrqgLj1OE7rAbl3,56,https://p.scdn.co/mp3-preview/e455a6fc00fa4cc68e6d41f8eda810e045588178?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,"Thanks, I Hate It",1DVPl37UU468V6RK8fMJPX,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,"Thanks, I Hate It",5maB3BSB7Lo0ykXq0ihbSR,57,https://p.scdn.co/mp3-preview/be22306dab3f2ed53bb46f3cbf537486c2dd76cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
