The Realest Down South,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
88,The Relays (feat. Travis Scott),3tA12hlBltPtw6ArshsopB,Maxo Kream,6xS5PpBWaVYraexEkEjjXv,Brandon Banks,2E5FdSQ0pyo7LHW7XxMYUi,64,https://p.scdn.co/mp3-preview/3b03d08e833dd957e66fea5c69f472898e2a3bbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Oh Ok,3LJ9K5bM51xsHCfZMA8ybQ,Lil Gotit,4ke9HXbejpYVMhbOjSa4le,Oh Ok,6hHYujAoqGDux554lx0n9T,56,https://p.scdn.co/mp3-preview/470a64cdddedbe9cdf6d5ddb29e350c3deb47038?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Double Trouble (Quavo feat. Meek Mill),5YSfZJE0EYrGVsWeYqv9xo,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,75,not available
91,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",4eqrNsKy9Mvg1fvfsTVIAE,Dreamville,1iNqsUDUraNWrj00bqssQG,1-888-88-DREAM,3VTNWsdPxKZjJvEY87GivP,48,not available
92,Grab A… (Duke Deuce feat. Tay Keith),2uciZ2NdzhGA0uo4h1cmc8,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,59,not available
93,Hold Up (feat. Takeoff),4vRa2VvGJ9AWhsNYnzEXlT,Ugly God,3Fdm9TFJQCLmC3AWMuGExi,Bumps & Bruises (Deluxe),4jrtlSzTql4HkG8e4LVGyo,59,https://p.scdn.co/mp3-preview/4d7565d3c3bf88ae87a5a0c4ba59996daebe8730?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Gang,5eWYhusHCbD6GQS9Ctac6I,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,Gang,4vTx38O5oQMFvG31aAXdsf,63,https://p.scdn.co/mp3-preview/ea8321b128c88a30bd1dbb1e7e0a522ea8f9c194?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,I'm Gone (feat. Young Dolph),30CQrrbdJqFwIeMDhXSqgJ,YFN Lucci,5Berubt6ysOy2LCMyqhmXP,650Luc,2GWs9OtDFK6iduo8I8CpS3,55,https://p.scdn.co/mp3-preview/6b67dcc90de049ad1c8c54125294ed3333f435a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Fresh,1UZpkdsDWo02NAjAcDR38A,Yung Mal,6m0MLa2Q5RwIF8R7nwQkQ2,Fresh,3WTICHQh66eABxbi551fkn,48,https://p.scdn.co/mp3-preview/7f72a37825010eb23ddd99daa31752eb2692d513?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Act a Fool,3KIMdTgROcteSwwKwoK3Bs,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,Act a Fool,0a7jB92VAx5XUNqvryHsox,61,https://p.scdn.co/mp3-preview/f2fdb8c3cf642056774edf9ae88213851ef0376a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Hotboy,0PG1SS6oXYSigmlrozEIlf,SKYXXX,6FImsFRRKFwS472Er0a0FM,Hotboy,0C1BnZa04Z4GaVVmuaZR6q,50,https://p.scdn.co/mp3-preview/58b83692389f4602ec21e9532de023aa2f8aca3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,I Made (feat. Yella Beezy),3gOr0bnATDn8pFoJ4HmyEm,Big K.R.I.T.,0CKa42Jqrc9fSFbDjePaXP,K.R.I.T. IZ HERE,1KvZT4NZm69EkOym8rLqW1,53,https://p.scdn.co/mp3-preview/81298a7c9fc4ca45378130296d135ca3fa0536a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Soakin Wet,2v9LBYJDg1N7YXhcEkXBLY,Marlo,2qFmZcrhfzbppEdD6wibAy,Soakin Wet,3OebgCPtarQWqmDjQe0LlE,49,not available
