The Realest Down South,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Camelot,4sWuPniHClkInYAnzXAYUF,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Camelot,5tdGgaiW18D6bjHFLhtblL,89,https://p.scdn.co/mp3-preview/d6195f6f5f78ed5dc8bb8b5b1ae8456564912592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,OOOWWWEEE,0k4JSIG2PfVxVCiV7SDCJh,Peewee Longway,0xTcxl35DKXUeYRWqY10w6,Long Money,3OGs1NeoescJ8NaMzOft2Q,54,https://p.scdn.co/mp3-preview/d384e251db5e532716d356d2ab15ba7779ad8a79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,By My Lonely,25AEevSO1lu4EKMIP5Sy5p,Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,I'm Him,7JgDLtQ8g7RrfNdLf4Dk2I,75,https://p.scdn.co/mp3-preview/812b5f5a471965eddc5e340ba5c159848be58ef7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Baby,2nKYHpmwjLaEOXS3o7QMiz,Quality Control,6i392l38cR3uBPF0DbNs7S,Baby,0ssH9wMngti9j73Rb9kcfO,86,not available
14,Pose (feat. Lil Uzi Vert),6e9biVAugkOfydEN8OiJpi,Yo Gotti,6Ha4aES39QiVjR0L2lwuwq,Pose (feat. Lil Uzi Vert),6nIe8wxpDcAzUJVj4v2v5r,77,https://p.scdn.co/mp3-preview/a4552ae3bf2deee5fe177fa4c63529ffd037a35c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Shoot It Out (feat. Worl & Hott LockedN),0TZbar0k0XFt5KsrYQCESe,T.R.U.,7uwQPQsBYgrSd63xgeMyuM,Shoot It Out (feat. Worl & Hott LockedN),1rNiB73X56HmIrodDXDJIO,63,https://p.scdn.co/mp3-preview/b7a649b3d98feff2809106760d8e49aec56d45c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Carter Son,0QVvkAOstRG26pVYN95CeL,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,AI YoungBoy 2,1nzUj7VkiaytMmf2KrhK2L,65,https://p.scdn.co/mp3-preview/2c5df83e09ed3e82856bc6148dd3f06848375f47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Cuban Links,13f84H8l1ZhiAmTQKqiJDP,Rod Wave,45TgXXqMDdF8BkjA83OM7z,Cuban Links,1joeoQYm7NUyFfAvI5IIiy,46,https://p.scdn.co/mp3-preview/85095bbd9fde8ef5d8a18bd8b74a020a68541b73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,RAW SHIT (feat. Migos),1CCDIow4pPYyJYzhtTUYz2,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,82,not available
19,JT First Day Out,0Otdui0avqjOxuCAzC7Jfc,City Girls,37hAfseJWi0G3Scife12Il,JT First Day Out,4kqU7ojcMMAGEmEuJjfghx,69,not available
20,100 Shooters (feat. Meek Mill),2j7mcsEz4n5XxMMqqjjB6p,Future,1RyvyyTE3xzB2ZywiAwp0i,100 Shooters (feat. Meek Mill),5M1abRnhUWaLZdgd29gQ6M,76,https://p.scdn.co/mp3-preview/06382095a439ae4d761b7093f007af086b2e1322?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,88,https://p.scdn.co/mp3-preview/909f15e56869916ec4a0b8bc846c6282fab32a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Broken Promises (feat. YFN Lucci),7j1FZeZ9TvXPCJFGqERbMC,Jaydayoungan,0E3pLs4jXz9tDQGY8m1A1d,Misunderstood,265RSKLOdNH1q2ts0ta2bg,47,https://p.scdn.co/mp3-preview/7be997f93db92ba594ee1eb4c9e54354cc8d6f39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Cut Up (feat. Tory Lanez) - Remix,5VLHz9vAcU4xq5VKODueYX,Blac Youngsta,41klVmDluQZmGGqoidNfbe,Cut Up (feat. Tory Lanez) [Remix],1fF2G7cQgaQvm9vHW8QVtj,64,https://p.scdn.co/mp3-preview/43858e1cf800b9cf191b0285161a696653d3b6f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,See Sum,2eJB4I0i3gsInEn2JMF2iP,Mulatto,3MdXrJWsbVzdn6fe5JYkSQ,See Sum,0z8TJbXQXLyjggxIpZbZ0o,55,https://p.scdn.co/mp3-preview/40d206b473701c5bca9b9ad8b901d1bae06c7de5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Big Dogs,5F5dcGTBo3nU2KrsDkyGiV,Curren$y,6X8WdFjrNhXATMDSs26aCc,Plan of Attack,2nVfRwHSwvvzNeLKigjRvZ,37,https://p.scdn.co/mp3-preview/2dbd50946ebc66149c71481f84e26329bd8133dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,Young Thug,50co4Is1HCEo8bhOyUWKpn,The London,6p9Y1K9yu3ojyS8fBJXUnp,89,https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Hit Yo Dance,5x5sLaZGX6BeecyfCYF5Qm,Rubi Rose,1DGAqC29aw0FpJCejAehVk,Hit Yo Dance,3AITVZVyoN7udmmg63hjAL,50,https://p.scdn.co/mp3-preview/ce4a0e34cbbe68ea92bd67a7f7c5346c1596b134?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,87,not available
29,Gold Roses (feat. Drake),4aPB8rSxGFISs0o6V2LrTy,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,Gold Roses (feat. Drake),11aJHLZMcrwDkTHmmnmF0k,77,https://p.scdn.co/mp3-preview/9db9cee2ed1796a3a794eee54029648ab6fb7904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Under The Sun (with J. Cole & Lute feat. DaBaby),6MF4tRr5lU8qok8IKaFOBE,Dreamville,1iNqsUDUraNWrj00bqssQG,Revenge Of The Dreamers III,2n3quCZ0anEa46j2IveacI,81,not available
31,Bad Bitch - Blac Youngsta Remix,57disvXYFrIA66G27Aa5yG,Yungeen Ace,7hj7ffJe6UkF1gsMpuweSI,Bad Bitch (Blac Youngsta Remix),0CkhJOzUerFnxcq92wNGLB,39,https://p.scdn.co/mp3-preview/f84c25cd01ffa4714924a251c2f9e09bd3934c5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Bandit (with YoungBoy Never Broke Again),3t6Z2qoBVCS4NHNI25XECH,88,not available
33,ChopBloc 2 (feat. NLE Choppa),3RzK8spPyswJ5lrEeiJSEz,BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,ChopBloc 2 (feat. NLE Choppa),5Ha42NhWHiUn23pk80YPoQ,64,not available
34,INTRO,05WepN8vrMLJG5r8XRdLeL,DaBaby,4r63FhuTkUYltbVAg5TQnk,INTRO,3HzUH9fh5DExUQXfIAt9wI,77,not available
35,Sup Mate (feat. Future),0zNHMc1cGKe4MO5rtGtKRh,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,73,https://p.scdn.co/mp3-preview/7b6ef371bd80ae490874ba05427e7a408cd1e05f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,No Cap (feat. Rich The Kid),7gYE3GWQN3Jf6z9J8EEbdy,83 Babies,0IBDUrXqsJZAAnipcupIRc,No Cap (feat. Rich The Kid),03CDw8u9lCLG7onVXlHvaw,74,https://p.scdn.co/mp3-preview/d0189ca4c77bc33c1ead08ed71d1c725a640ac06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
