New Music Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,Big Stepper,5MVdzbNmCVf9cWbkqFakkr,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,Big Stepper,3Q1Y3muVtMfZXRE9hZlumR,68,https://p.scdn.co/mp3-preview/9be74a8a7585af4f72257979a54b279cbf02650c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Home,711gGx1GpUv9YW9KTSfJfH,Caribou,4aEnNH9PuU1HF3TsZTru54,Home,00sZIJm0igl6aBYNktEuSy,57,https://p.scdn.co/mp3-preview/a786e173cdac2c990756e74321782a43b54386a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Special,0wM1iycAaTB0BTWQa06POl,Chloe Lilac,2CUeVZl8E9ouggdBhyclFx,Special,7r7bjZFZfU4owXBYBBlZJD,50,https://p.scdn.co/mp3-preview/2c4754c3e81b3adea8490178dcfc2401f421b2c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,JEKYLL & HIDE,2kAadwXJH9Dr53anSQv1Xy,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,JEKYLL & HIDE,4nnaqKFmhU9KH6rloQ5Z8t,57,not available
28,All Dat (with Megan Thee Stallion),2wLgi1dzWpq14678Aoee7a,Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,All Dat (with Megan Thee Stallion),1BYoXFARCLl681Ov8fOCUt,64,not available
29,One Take,4uu7gKd1PffC7QEMcMk0Ro,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,True 2 Myself,1bCBZ8LedqwVYOLDLrRbbY,67,https://p.scdn.co/mp3-preview/f8a75c753c87ff5586eefaeb3ceeeafcec2bff67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Get Up,6Z6uKYM2G5d80iQsHzBzey,Terrell Hines,2jhjHaG1p2SMn6cDyhwhjQ,St. Mark Rd.,7kfxdR7gPu4gi82FVxUe14,48,not available
31,Demons,0Y5nfKx3OnZWPIO0vHbinL,Hayley Kiyoko,3LjhVl7GzYsza1biQjTpaN,I'm Too Sensitive For This Shit,2aH7vOX17njaGz6Th2e8kK,60,https://p.scdn.co/mp3-preview/e32a0ac823411d0319a78f8119c1b4b4a5e167ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Falling In Love,1eoC1H5GBM9IikwdHxsdhJ,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Falling In Love,4rcgLAYSMhKWeUSuJaEO9u,61,https://p.scdn.co/mp3-preview/bc42b3f7ce04661c68cc41812121fb4ef72f8374?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Vanity,3I7axpzCW6bt5PhoM8kfrA,Jack Larsen,1UGH6A3IionoSVLLmqtl4o,Vanity,6FUrjjRfCi4MA9iI1BoLls,49,https://p.scdn.co/mp3-preview/c46e6c8f4efe89548d051a281249152931b64bea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Funky Tonk,2FLgJgGDkrccqfq5dS9l3e,Blanco Brown,3yzRiNMZdTsSUgplcyYZ4i,Honeysuckle & Lightning Bugs,4dwNsmLLMl2F4xM5rWfHmj,49,https://p.scdn.co/mp3-preview/0f096379cf7150875b1df7076d0797d5e817d762?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,What You See Is What You Get,7kaVqrNf9L90pCslMxE9zP,Luke Combs,718COspgdWOnwOFpJHRZHS,What You See Is What You Get,750uAIE8WhEJLPu1QC71qd,66,https://p.scdn.co/mp3-preview/680a2a73f6a19c9d69e85f1a6082693f70762915?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,The Least That I Could Do,7B0agS1sIVLUGYG5oVHZ3V,Plested,2nJYGgfTf2846LtVB3AES8,The Least That I Could Do,1lQkmbE6ix1E4uUhrselp4,51,https://p.scdn.co/mp3-preview/bd7efaf365f08d2c198e7a2ed833fdb1e374e3f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Let Me Know,3Yeey7zLzWwpyw83Ypwnlm,Winona Oak,3XC57xz74X3xUi1hv4mge1,Let Me Know,4yM1WvRo2WYOeSYKYJdknF,53,https://p.scdn.co/mp3-preview/1e1d6d0c0106e48e9a8bafbb0056531c99c8a8a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,wildside,6nq7PXZg3mPTAr53yjoflq,Baby Ariel,3ggXjUaLzPuY775WFABpXe,wildside,5OuCmkL9rJOYUPWf8uThv4,49,https://p.scdn.co/mp3-preview/85feb2e6285bf9bb0e317ba3cc6e621f98b308ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,BOTA FUEGO,6Y6YC93R1r0CISm5iC4j27,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,BOTA FUEGO,3AVCyI9GWp86IqYi89wcx6,62,https://p.scdn.co/mp3-preview/788c1b3317823f6f1d3cfe9134edd3bb45e32f83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,not available,not available,not available,not available,not available,not available,0,not available
41,Tootsies (feat. Lil Baby),4MkMM6WUqkFeCLDJ4bhVpu,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Tootsies (feat. Lil Baby),6LphJF2mfzJZ2QezGHs4q2,62,https://p.scdn.co/mp3-preview/3b656b3f835e939ebde5953a33bd0fcfd8375651?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Lo Lo (feat. P-Lo & Guapdad 4000),6u5m71WNIGQCbhu95T4GVS,Destiny Rogers,6gezkje7GoJlQbHBgLXHuu,Lo Lo (feat. P-Lo & Guapdad 4000),2R6ohanzLCcAzhHgTFStVh,47,https://p.scdn.co/mp3-preview/a560f6d0fee40777a5fc92857630694f695bf4f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,home with you,1lofsKXY29reyN9j0doHFF,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,home with you,3nLiYcMpeEOKzb5TzQcJer,64,https://p.scdn.co/mp3-preview/35f7b04b019c02446abfa0b5e7f886c49374e7d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,"Collide - From ""Queen & Slim: The Soundtrack""",1mEO3xiJqEWXYIdZalDzHR,Tiana Major9,1Naqgo0HMRoumRP0e2MXD9,"Collide (From ""Queen & Slim: The Soundtrack"")",0Y9i5YM95iEHAQpppUN76A,52,not available
45,Close Up (feat. Jeremih),3pBrHgHGWJ9NjbGKTFcroy,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Close Up,2lrafMFjWFWdYhwYUTsyWo,58,not available
46,Won't Let You,1DvbkyyN4jCcffDbD7mJEC,MorMor,63vaeIIBKIe9zT91EORVbr,Won't Let You,3JxGyoJImNtV1sYpedUcB0,51,https://p.scdn.co/mp3-preview/36f0ab98d759fbd40b2eb1a9970e371352442844?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Sober,3CuyYl4hIBJh5sX4f48GNY,SebastiAn,5tOWIviwLM1EIqGAbF8VSU,Sober,0MDMCakjY8QB6aGqbmbtVw,50,https://p.scdn.co/mp3-preview/ad1631db2070208d058897a874cfc6edb93baa4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Both Sides (feat. Shoreline Mafia),2EEbsvGETiRXbma3hCsAQf,Shordie Shordie,5fyvTyetDr7gvLafBsEEhU,Both Sides (feat. Shoreline Mafia),3TrSWaCfYyjBODoSEBMMOJ,55,https://p.scdn.co/mp3-preview/75585e5e82c8e24c80961afc094c04d8c4e3d868?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Hit Yo Dance,5x5sLaZGX6BeecyfCYF5Qm,Rubi Rose,1DGAqC29aw0FpJCejAehVk,Hit Yo Dance,3AITVZVyoN7udmmg63hjAL,50,https://p.scdn.co/mp3-preview/ce4a0e34cbbe68ea92bd67a7f7c5346c1596b134?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Cool With That,5lF1iPpQfESbLUFpi49AqR,Syn Cole,6i1GVNJCyyssRwXmnaeEFH,Cool With That,4LB8CDWdLWVviOsVSn0r1E,52,https://p.scdn.co/mp3-preview/f7aaf994201e0a230660b573b1eba4c28bcbfc23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Young,2lrRZiGiXb9ThjVo132xhc,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,Young,5ZZk99V9SwyA5LuYKWv3EN,55,https://p.scdn.co/mp3-preview/4ac568960ba4440a6279c14bf7df0105a08843bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Easy To Hate,3kOEOG3Du6XtJmSkB7pGaZ,Waterparks,3QaxveoTiMetZCMp1sftiu,FANDOM,7aKMsXKKABZQXKXjQaQHXG,54,https://p.scdn.co/mp3-preview/8178cccc7c263a81d93c18a51fd8bd3ea717d2d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Yellow Box,6IBCA5bu9eIBOsaoO0MqJj,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,Yellow Box,7g3T7Z1GGbaRztqi7ySZAQ,60,https://p.scdn.co/mp3-preview/c69ca663c268781d15ec3cf0203d8812965929a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Two Hands,6sScx7A12QirSJmHtb7pNJ,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,Two Hands,7pg8T6pajjHVZbiyB8bGxo,55,https://p.scdn.co/mp3-preview/adab9d88ee8d0ed012f7db104d5678f8ecab5367?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Sun Queen,3gvop6gMwnUvGiCfY5iCJK,Gerry Cinnamon,7cpCnhhBIU1gA7EhTFApN1,Sun Queen,6PH8j9lUH84RcVkbU5Q2Q8,55,https://p.scdn.co/mp3-preview/80163545972def84559e37ffa423b23f11dcf8ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Tequila Does,3eZW5k1AbVCslNvI92Fhgz,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,Tequila Does,1wBvS32iNfIbks1o4vlDyZ,54,https://p.scdn.co/mp3-preview/25e26e4557f8cb8513661b2c1c2cc89c31ea7488?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Boots,65QjNWqCHd9a8MkRG281PM,Lady Antebellum,32WkQRZEVKSzVAAYqukAEA,Boots,2RYYjf9AVxuLdkTCGWxFN2,51,not available
58,Bottle of Pills,4jfLuPdSrnXNmO7dJuKzmS,John The Blind,12U3blX0ilxf0tnejqPDYD,Bottle of Pills,456S9zdBNYA2o06IcQM6UW,42,https://p.scdn.co/mp3-preview/b51d112f3218ac69a95f61a8d3c769f8a2301613?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Oye,09nSCeCs6eYfAIJVfye1CE,TINI,7vXDAI8JwjW531ouMGbfcp,Oye,1xwUFsb21qbGugy09vdd7O,69,not available
60,Joanna,50MCdJc0nw3DMnzmIJkEwi,JoJo,5xuNBZoM7z1Vv8IQ6uM0p6,Joanna,60vuMJNIZ4WYdKRiKm9HQg,54,https://p.scdn.co/mp3-preview/a936fab135a5902e75d5427760d68d523dec0c70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,So Drippy (feat. Gunna & Young Thug),7672lPvNAzxTp7xf2J7wkK,Casanova,6dXsR7VDJvXnF1LTZlwULx,Behind These Scars,3EksTzvDOmYrRDNghVV7rc,50,not available
62,No Info,01V851dldVhBXrWMAic1AQ,Grip,4Ew8VmfE06siL2THiMBwPP,Snubnose,2itPJ1Hro5ZOTsaho8zF30,41,https://p.scdn.co/mp3-preview/750b84a4df1c5bdfa75fda28d0daec56c88df8ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,UP,6goojh0DIp1jAaqXBNrd6J,Baka Not Nice,3yvCFkK57FXH7JIwZQ5CmU,UP,3xbRlt8aMesxgNblRkzd97,49,https://p.scdn.co/mp3-preview/4a6d82c58f75b2db9a2f1a2cb6d660906bedeb5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Hero,3iP4bhqGyUaNXHCzUY1H9v,Michael Kiwanuka,0bzfPKdbXL5ezYW2z3UGQj,Hero,2COBcimCnIN5cf6pog18jU,55,not available
65,Condo,6h3OTSLTJubOG0RLkIW91i,Afro B,7oMRcCu0OYSCtCyS3P37iC,Afrowave 3,79dXMRWb9dGw08ud6M87GH,51,https://p.scdn.co/mp3-preview/b2b0f8cd60d58035debbd8ef302c42b0748783ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Mean To Love,5xNbRDXDF1glAtGBlQoPAK,Harry Hudson,3btNpz9NEJ8ml352B8S7Qr,Mean To Love,5rue4OhemdcRotLUJkdOCC,48,not available
67,Sandals,08mbmCSc6wEUNlMvi0Ukzu,khai dreams,0lawSNBxNgJFQYJnQzLH8c,Now and Then,0SUI4zxDGF2FMFDC10YENM,47,https://p.scdn.co/mp3-preview/8d65855a000776d259ad1ede8782c99a26ebdcad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,hello!,6CFEiKms2260GexcAq7LeP,ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,hello!,3GNgTISglWHatZe8kUKpaI,49,not available
69,Loser,0HIQTdxeEgAim6XGO31tGl,Moby Rich,5cVeSOiS002MF1uiUFOPV5,Loser,12SkuNMHLY4fxHUZBtmkTN,44,not available
70,Lonely,0TPz8BiPl9Fu5ifqfDs118,Drama Relax,0z8WTeUgPtYpixHD2pkCxS,Lonely,3uSE8nkDqRaf2L9FZHXBPY,41,not available
71,Bats Fly (feat. Rory Fresco),7r3xg3tAlypy25eTXiIHog,Kid Ink,6KZDXtSj0SzGOV705nNeh3,Bats Fly (feat. Rory Fresco),1DTw6acfMW7bF8WTY3bswT,58,https://p.scdn.co/mp3-preview/13fcf7bb4bd35c7953a3e9c7ac840b63fd673a98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
