Behind The Lyrics: Hip Hop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,47872,spotify
1,Mile High,64ydkbrt0xhdJXRaam06Mc,James Blake,53KwLdlmrlCelAZMaLVZqU,Assume Form,1LJE8ppunlaafUQzNJsxl2,10,not available
2,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,I AM YOU,7naY6j4wcgUxfHB98G79CW,86,https://p.scdn.co/mp3-preview/b681a45cf2f796326f42bed43a6e419cd88ef92c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,a lot,2t8yVaLvJ0RenpXUIAC52d,21 Savage,1URnnhqYAYcrqrcwql10ft,i am > i was,007DWn799UWvfY1wwZeENR,83,https://p.scdn.co/mp3-preview/0ff1fadf009e81e7d80912c2372c7381a49e5863?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,3XzSOIE6zGLliuqsVGLmUc,87,not available
5,DeMar DeRozan,6DSPjMwyNsNWrLjJM397sI,Comethazine,1iJdyDcY98X3GMnUesl7tf,DeMar DeRozan,6f0qCw9dz6Q8wViCyptSpT,53,https://p.scdn.co/mp3-preview/cb98bea9358b31241f66596a033cf528cc973d2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Crushed Up,7AYuSG1LoaaFVKjOxsB6Vh,Future,1RyvyyTE3xzB2ZywiAwp0i,Crushed Up,0l0F5iYVp3gnUOyIQuW82b,8,not available
7,Startender (feat. Offset and Tyga),6uSSupG4TMu3vW8QgynAB6,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Startender (feat. Offset and Tyga),6qx6AMrns8Ruk1FinKg2qK,69,https://p.scdn.co/mp3-preview/26328dae6170f2d51ef6b52abc97b97cec84c271?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Elimination,5wPhznwiMGc1tUojiEkAkG,Jaydayoungan,0E3pLs4jXz9tDQGY8m1A1d,23,2TAwsvVSeDSU0zsRgxuygh,69,https://p.scdn.co/mp3-preview/759fead74140646f670d45174db301b493d9574f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Look Back at It,3J5YrOvX2A0EA0j4BARQ9o,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Look Back At It,75LbMfXFhx50mXIy9wsgvX,67,https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Splashin,79OEIr4J4FHV0O3KrhaXRb,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,Splashin,2vVelr6IEfPYJQldabM0IJ,19,not available
11,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,Ski Mask The Slump God,2rhFzFmezpnW82MNqEKVry,STOKELEY,0z0z4DcXhHiobX5ZKAw8Qn,82,not available
12,Envy Me,6ymTp1jOINm0UURUZ2h603,Calboy,0HkcYmcjrBR3SCw9Ld5VZk,Envy Me,1OvRJlKsN3GJNtO7DT0Hh2,3,not available
13,Twerk (feat. Cardi B),4DyBx5MYoq8RsU33cEAIxT,City Girls,37hAfseJWi0G3Scife12Il,Girl Code,45TU0GIOO5AxFoiOPk08i1,17,not available
14,Thotiana,3Rpuexka1m5xSBb8DyFOcM,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Famous Cryp,29QPSGay92kHCgMrpSU7FL,1,not available
15,Global,7cW1wHpSLYgKWzoWlOCPFJ,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Street Gossip,4iF44RCCybJtkBkMoqrLW2,63,not available
16,MiAMi (feat. Gunna),6bMIExEulvwM2X6zsuiYwr,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,LoVE me NOw,4QSsoW3XoitQA1NrfoCjwr,20,not available
17,Wake Up (feat. Chance the Rapper),1MfNF3rf2SvI7B8fYhLEE7,Tee Grizzley,6AUl0ykLLpvTktob97x9hO,Wake Up (feat. Chance the Rapper),3vmi56TsSbDKwnN9ZnWROz,45,https://p.scdn.co/mp3-preview/4ad2715f3303eb4a264e3275f19bc9dbd73f1e9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Respect My Cryppin',1CzokIcpHSwtNYQa2IsSOs,Blueface,3Fl1V19tmjt57oBdxXKAjJ,Famous Cryp,29QPSGay92kHCgMrpSU7FL,0,not available
19,Nowhere2go,2KrHM3YwVwewEAxss7iuj7,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,Some Rap Songs,66at85wgO2pu5CccvqUF6i,56,https://p.scdn.co/mp3-preview/d9010cc9c262162bd9411a863fbbbf37f33d8317?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Bitches On Bitches (feat. Lil Pump),6DdR2b4L4XByiSirQ5tTa3,Tee Grizzley,6AUl0ykLLpvTktob97x9hO,Still My Moment,3M683oGfLgaL300rp3xIT2,50,https://p.scdn.co/mp3-preview/ea8e1d6ade1be078c43744e0fb8b0a7a268cee4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,GOSHA,6LisUkIP1m3se2oBPkmmHD,$NOT,5IbEL2xjRtKsunfmsahLuO,GOSHA,3SaVG19QMlHjQ9XLumMeY7,22,not available
22,Ego,0e9JDnz30moH9suCA64omJ,Jay Critch,6Av6GMCOznZIlHuNcBWgf4,Hood Favorite,2Ony9dUqmqed29IPo8fsxv,63,not available
23,Kiccin Shit,68hgv2iUrYUKqK2tYtCa2Y,Quando Rondo,4IprNlQiJZUUJhDl0fL2SL,Kiccin Shit,6uhCHSKKModVJsIQKksWJ3,48,https://p.scdn.co/mp3-preview/5fe3bc21c66f889407806345b752f62619702aaa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Last Memory,66XXCMX3Na7KNfm5e0tOVZ,Takeoff,3EW0kQ1skZiK1NHg3Spt9J,Last Memory,4c46Ij9uzhaKRUKQacvpMm,62,not available
