State of Mind,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Both Sides (feat. Shoreline Mafia),2EEbsvGETiRXbma3hCsAQf,Shordie Shordie,5fyvTyetDr7gvLafBsEEhU,Both Sides (feat. Shoreline Mafia),3TrSWaCfYyjBODoSEBMMOJ,55,https://p.scdn.co/mp3-preview/75585e5e82c8e24c80961afc094c04d8c4e3d868?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,ADHD,5L0X8T8HNaUAIYw1oofg1M,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,ADHD,3j2L4sg2WK22mSWKkQ62Ml,75,https://p.scdn.co/mp3-preview/b09cfb670b2a09d1a0f8cbd8765727e351162af9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Laneswitch,56Sng0NtW0YYy4Edtpybm8,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,Laneswitch,3dAesOchwksFPoWDekVIhd,74,https://p.scdn.co/mp3-preview/cde90e512924b1f309ca1f2fc34be3bdd9343e8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,STP,4wO6OM08BQPGtX5LyXdOkT,Cousin Stizz,0KpCz7V5XRkqKuM1JDf56O,STP,6eWpqjnPLKjeyOyGpACutX,47,https://p.scdn.co/mp3-preview/ba02d0cee6c5115c7271ea026708fbcc3371541d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Believe in Flee,3SmzR4wCBW9Bt0Jb0iy3p3,Cam’ron,7iMvwE8qANp3aIfAGKEAwS,Believe in Flee,1AkUmrQlUqeHP6BU13R7cv,47,https://p.scdn.co/mp3-preview/f128e74a13c5da3ef783bee01d34ab95b012a2b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Anything Can Happen (feat. Meek Mill),04VO6VICgMJgTe2dLxFBoW,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Anything Can Happen (feat. Meek Mill),5DToNHmi1v9YZacvKqg7aG,68,https://p.scdn.co/mp3-preview/f6ff107e4e13c61a69ff82a5f4a465235100c377?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Gang Shit,7idKKQKjQ347chse0PkI0M,Marlon Craft,7MigDh04CCntQbsBvugEmb,Funhouse Mirror,61RaTAy2yvHeLHN5VTLyK2,49,not available
26,Family and Loyalty,5tHf0v419Ia09AS9sEK6iF,Gang Starr,5cMgGlA1xGyeAB2ctYlRdZ,Family and Loyalty,0lUDIeE7KurGUVHrlmQTEN,69,https://p.scdn.co/mp3-preview/edaf3f8611570531c930c0afa97cf1eab8f34bc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Drug Rap,4gF5IWlKhmVBWzjXFZ5VlW,Smoke Dza,3kf0gOpxWtkyeMNJVDQPtd,Drug Rap,5CWw0l9sFVqcC5qGrO1iE6,41,https://p.scdn.co/mp3-preview/f9961d16f92874941d351cde1669bd6b3549a2f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Auto Blanco,5nSn4H0QRx9ugcRbg3jpQi,Lil' Kim,5tth2a3v0sWwV1C7bApBdX,9,33pdNbQw2xOe3A639EgVzu,41,https://p.scdn.co/mp3-preview/158d31e36c66bc4df7775ce2aa27824424eb158f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Jet Lag,0AUurCHJ6A8Ua4yXyKXNuM,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Floor Seats,0Q3h1Bm5T7QPo8lI1S9mT6,60,not available
30,Everyday (feat. Gunna),4DhsfADUqrygvLlrvWBLmm,Dave East,7e10JUMF7MJmmwYpnTSMI5,Survival Pacc,1TN1PfKVAme28YrCC31SBT,61,not available
31,FLEXIN N' FLASHIN,64BafeBQMbpUgMz492JVsd,SimxSantana,1lyj6IjojSJrtxNZCATt3Z,FLEXIN N' FLASHIN,3AoEiDaG2TiiD2R6F18ufC,64,https://p.scdn.co/mp3-preview/5ad228c66a57a6e19c3693ffb29a83d573083f46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
