mint,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Holy Water,7Ga9ZSdPAcQXQvd1ObVFpm,Galantis,4sTQVOfp9vEMCemLw50sbu,Holy Water,18C3JLfjKrkCKZubEhqJuw,72,https://p.scdn.co/mp3-preview/c2c54ef611015334a3a315ba8352365bbfaf9877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,God Is A Dancer (with Mabel),2T0NPRcdhIt71ifDWm328R,82,not available
28,Heaven - David Guetta & MORTEN Remix,4QAUGy6k7c3IOAhgWz52r7,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Heaven (David Guetta & MORTEN Remix),37bCTD5iLWMpDcBanNkkXB,72,not available
29,With You - LöKii Remix,2aFAmDBycyEnj3lcS95JMe,Kaskade,6TQj5BFPooTa08A7pk8AQ1,With You - The Remixes,5cHgBxHHpJLjMWGBBiJEVJ,59,https://p.scdn.co/mp3-preview/6a1fb5c7f6c7ee78625499f8724c6a680d83e275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Piece Of Your Heart - Alok Remix,6iW38RGqdDGOofmz2HeXLW,MEDUZA,0xRXCcSX89eobfrshSVdyu,Piece Of Your Heart (Alok Remix),6RlifxGX8F3IijsJXkTIlq,79,not available
31,Say It,4nx4h17pRj1ikT0hZecR8z,Phantoms,1bJJlRHoc1UVeqzxcrPLIw,Disconnect,0xIhw2XT55ZWZvXT2ZKQ3w,58,not available
32,Ritual - Benny Benassi & BB Team Remix,2fQYA6cFN4ClfI4OmtpC98,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Ritual (Remixes),6J6d8HkY1qgv5mppvldybQ,62,not available
33,Wish You Well (with Sigala),6TnxdnJcZIwCWiCHq5Qds0,Sigala,1IueXOQyABrMOprrzwQJWN,Get To Know,1vlHG5JJCSsWBuA5vPTY7Q,3,not available
34,Anything For You - Feenixpawl Remix,3R57ncBBnLa5ZdLRGRCKIi,VAVO,44re77WwNG34C182Jq3WIK,Anything For You (Feenixpawl Remix),6Z7KNRC3gnjHfvpiJLcWcM,58,https://p.scdn.co/mp3-preview/b93877ae872746db1f26a48adf1ea1b7c635964b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Nobody Like You - RetroVision Flip,1RXzKs0tQcn7CeI6w34REK,Landis,7bSDGumYzI7Cehekr534Xn,Nobody Like You (RetroVision Flip),4dVOdbn8T2XQpLsvaKtOKH,59,https://p.scdn.co/mp3-preview/f09dbe0291e044c549a65d281035cc46e43ed023?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,All Day And Night - Jax Jones & Martin Solveig Present Europa,3O83h4LS797N23DpweeRAa,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,Snacks,33YnOxRjRcB4R6kPeAxLJx,48,not available
37,All Around The World (La La La),02itaCXOdC54J0ISjqqFAp,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,All Around The World (La La La),0Y59j5oCvwTM2aNyPb6YpJ,84,not available
38,Stay,2ugjxfenU5AJMO5cozCuUv,EDX,7GMot9WvBYqhhJz92vhBp6,Stay,7DckZOfg9FcjBOpXlItnxI,61,https://p.scdn.co/mp3-preview/0fa7cd755f4f02f9c0ebfecfaf0d4aea35dcc8c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Baggage (with AlunaGeorge),214h7kR7uNssAoU5AbcaIS,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,Baggage (with AlunaGeorge),6HkVLOM8m07Du0cz7SsnwR,71,not available
40,Recognize (feat. Majid Jordan) - Mercer Remix,366EdrGaHsiq1JLEr9UUiJ,DJ Snake,540vIaP2JwjQb9dm3aArA4,Recognize (feat. Majid Jordan) [Mercer Remix],4yAElr6AmHVYHOgC3c0sKk,67,not available
41,Something About You (with Rudimental),3hYdai5p5sQ3vAmHQ6uaK6,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,Something About You (with Rudimental),0yFCgpwcC2AMcbEkRTgl31,73,https://p.scdn.co/mp3-preview/75705ae7c893e0c6af8a3c27694aa23637286f77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Tell Me Why,36C0Gw2RmYWy5aEpMPaQ0e,Alok,0NGAZxHanS9e0iNHpR8f2W,Tell Me Why,1R2C7EG1sDRGnKSxGmLU4o,66,https://p.scdn.co/mp3-preview/a5f8538b3fcbc2e9e5542025cd5bdd964b5adebd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,We Got That Cool (feat. Afrojack & Icona Pop),2cFK03sObtI6AK3QKeOT5g,Yves V,47BEc2RoW53owMyxacXWdV,We Got That Cool (feat. Afrojack & Icona Pop),1WowOfXnw3DlwgjyzlAU4Q,73,https://p.scdn.co/mp3-preview/0dcb6c9e6f1c533bf57a0e9a21400bf2bf814269?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,There For You,4Qv71lFPCObf7zol1uWCJb,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,There For You,6NzQodogOTKSt76iDpZgpK,71,not available
45,Midnight Hour with Boys Noize & Ty Dolla $ign,5AFrctm65wWIqJsjHPPx85,Skrillex,5he5w2lnU9x7JFhnwcekXX,Midnight Hour with Boys Noize & Ty Dolla $ign,65Xj1lewlRP7RB5LiCeNBV,73,https://p.scdn.co/mp3-preview/6dfbb3ea4e3befe8df62d451a1cf6f9cfa2f7e5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,One Touch,5EKiBMhzRLALeGDPdoAKkQ,Jess Glynne,4ScCswdRlyA23odg9thgIO,One Touch,73JUDiyiu0OXCzzM2jjVkL,76,https://p.scdn.co/mp3-preview/ead38ad10d9ab85f99be5fd1e3eabee11c6633c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,I Could Get Used To This (with WEISS),6MSuMFyOdoJMAEgvnhqbRu,Becky Hill,4EPJlUEBy49EX1wuFOvtjK,Get To Know,1vlHG5JJCSsWBuA5vPTY7Q,57,not available
48,Never Be Alone (feat. Aloe Blacc),3GT2CBmJWIEdCpHiB31WYK,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Never Be Alone (feat. Aloe Blacc),2bSuTiPTy8EhtwWbbmiPdK,74,https://p.scdn.co/mp3-preview/731cea22023a0298bbd39ccf70b7168c4dbbeb67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Death & Desire (feat. Harrison),3xmJo7JydhDml7GAS9YTcN,Knife Party,2DuJi13MWHjRHrqRUwk8vH,Lost Souls EP,3Gnp75gdbUn4ygyXRJw8GM,63,https://p.scdn.co/mp3-preview/9da6ec76ba2d0084b2e945b2638a31f3cee03eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,23fqKkggKUBHNkbKtXEls4,Higher Love,4wquJImu8RtyEuDtIAsfcE,92,https://p.scdn.co/mp3-preview/a74efdaa12f708673a14fdf67bfb6ec365d8ebf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Sorry,6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry,1PvEp0qeU6o2rm0i2qUC2N,83,https://p.scdn.co/mp3-preview/7821cae529a3cfafd1919b05a1c154e9cb5fc53d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,El Camino,5UUqlmt2e0wNioe94eGWaF,Black Caviar,1wqW0IQWC7V7jktcjVHID6,El Camino,53OqcxUBn8VHpV2qT0JSne,59,not available
53,No Option (feat. Burna Boy),4lDYedHtcFwkMTVwpdSRUN,DJ Snake,540vIaP2JwjQb9dm3aArA4,Carte Blanche,2MFS6WG6jnPAgvJpV3PehR,64,not available
54,You Little Beauty,71NOmiKvk7s5R7dUurNjuy,FISHER,1VJ0briNOlXRtJUAzoUJdt,You Little Beauty,5DJeZP2GgxLqCl2JsxppbY,35,not available
55,The Power,3EDbqYLrCNBP7J2CqcMPZO,Duke Dumont,61lyPtntblHJvA7FMMhi7E,The Power,3PxRe086DUpv2cU2OF5MMs,71,not available
56,I Feel It,5FzuDFYmUFcvjraadJXv28,Leftwing : Kody,7eYXtOjJGhrM16cK2hRmnR,I Feel It,45DCBEkvzjYfjpZNaphhg3,70,https://p.scdn.co/mp3-preview/aaca1f62d5bce8416ebc2236dc67d48f0691f3c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Turn Me On (feat. Vula),0qaWEvPkts34WF68r8Dzx9,Riton,7i9j813KFoSBMldGqlh2Z1,Turn Me On (feat. Vula),7mtnp7B5yFt3D3PAznGzc8,76,https://p.scdn.co/mp3-preview/63d5112b08ac694625f73e0ff40b1621a86e7b02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Home,1f1Lwfg4cZfv0HcaBbYY1i,LODATO,2uLjsXkHNJaxZTwVkDZktv,Home,3tWWZgJ0BhrRfFNI24LtVn,52,https://p.scdn.co/mp3-preview/e879282df3e3b420b35e35f17c24f6c72ca0c772?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Kind of Love,1V028kR7hQgxkibAYOMntP,Rat City,6VSMAVF00xwG8Adoqnbqy6,Kind of Love (feat. Isak Heim),2n32yXbJfmXJHF28laEV7j,58,https://p.scdn.co/mp3-preview/2c76b9b3818c3711057fc770762b5622e9d86f50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Baianá,7MUazB4rGIqFFIkjT95rCO,Bakermat,3MyFDtqB80WZvbtCZRsekM,Baianá,7ImQIxwDqi9OKS93QMsKQN,75,https://p.scdn.co/mp3-preview/4753a081cba26c93a9972e1d912755b0c7d3178f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Don't Wanna Dance,6b56B8Ew3d0WDnd4Vq01Gh,Boston Bun,1Na1sVrGWKwAigaW7a6hi5,Don't Wanna Dance,3KY9oIQZYFg1w2h2DQFmpz,62,not available
62,Can We Pretend (feat. Cash Cash),7GfKD5B7fVAzUgDvqAIbSL,P!nk,1KCSPY1glIKqW2TotWuXOR,Hurts 2B Human,0hgt3tZlHEGukN56ueTGcL,68,https://p.scdn.co/mp3-preview/5e10fb922b2432b3dff86ebcd51f7491a2429302?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Your Mind - Radio Edit,2zDCZ8jY4kjuUZbVROHaZj,Adam Beyer,1btv9qmIpbp7q1ixCYNdHu,Your Mind (Radio Edit),6BNSdC8dtRuxoarxB4hMf0,58,https://p.scdn.co/mp3-preview/97f7a855b3c489cc3974f2bb58051ff119be0eb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Thing For You - Jack Back Remix,49z1IIn07aVgbiYZHhch2x,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Thing For You (Jack Back Remix),1WPdLKR9IpkdXpbDTcqAA5,46,https://p.scdn.co/mp3-preview/b89d638412141dbad3ed7f0264ccf1eccff8bdd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Buggin' - Edit,2TqSk3lGTFTO2N6qDWpODA,Hot Since 82,1tRBmMtER4fGrzrt8O9VpS,8-track,3ophs4Ci76rbhWzu2QwCGC,49,https://p.scdn.co/mp3-preview/1e625f63580546c5976514dcf28903985ea7b934?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Take It,14fIlfcmFPlj4V2IazeJ25,Dom Dolla,205i7E8fNVfojowcQSfK9m,Take It,1nGXdJkk3tf1aTu2kuUlgY,66,https://p.scdn.co/mp3-preview/7ffc3e082ef91ff01e89c6a4204457ce2850232e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Starry Night - Edit,2NeSirLM2VHQW4upn0nMfB,Peggy Gou,2mLA48B366zkELXYx7hcDN,Starry Night,6EgGBFTnsLi1WZaHDtpeie,65,https://p.scdn.co/mp3-preview/d8da45ebe243a692f59e8293943e4372f6a0a6ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,No Goodbye,5gwLIRjGFf3hXuHoKEsWLg,Paul Kalkbrenner,0rasA5Z5h1ITtHelCpfu9R,No Goodbye,1ix4O6SU7i8W2H6RYb3O8R,68,https://p.scdn.co/mp3-preview/26ecad285328bdc14b1a14fbc3693b53841ebf61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,mint = today's top dance,02gbY9lLSx77JX5zNohHHm,Various Artists,0LyfQWJT6nXafLPZqxe9Of,@mint on instagram,2xmyEkCdugUqLP7UAVRUMm,0,https://p.scdn.co/mp3-preview/5c66e89bd1be9bb1182cfe83bbc7483aa97a8acc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
