All Out 50s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Sherry,0NpvdCO506uO58D4AbKzki,Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,The Very Best of Frankie Valli & The 4 Seasons,0NUEQILaBzavnzcMEs4buZ,59,https://p.scdn.co/mp3-preview/3d1e5ad6cca790e85e25396adc39d5506c2bc2ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,All Shook Up,5ueyLj6e6oVaTY0KQ6yLaA,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis' Golden Records,0C3t1htEDTFKcg7F2rNbek,62,https://p.scdn.co/mp3-preview/8a379079e4bd03c72cc847ec1ea58f0a332d16ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Bye Bye Love,1j7HyD3cxyYw9bMFevxWyR,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,"""All I Do Is Dream"" Everly Brothers",6c6lTSg4kIOMQ52CkTTUEx,8,not available
26,Please Mr. Postman,5Z0Gjyykj0o7qpFrMVBUk2,The Marvelettes,0MponVSpW81oLvJZ53vYZH,Because I Love Him,4KtmpO75zMHm4OGWuYGTzR,5,not available
27,Crazy - Single Version,5SAQzOl4teRowjStrY3pjw,Patsy Cline,7dNsHhGeGU5MV01r06O8gK,Dreamboats & Petticoats Presents: Petticoat Collection (Warner Version),6vvUqcQ7KAqvet9FQlIgJy,7,not available
28,Runaround Sue,1DndHckdH9m5rp6gYP086b,Dion,15FyiY3ChN0QRspHIQYq0W,Runaround Sue,20vUqyMzF8fgQhkdLdtzi7,65,not available
29,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini (Bonus Track),7vxdcpE3MZjoy6YORh5sTD,Brian Hyland,6YROFUbu5zRCHi2xkir5pk,Let Me Belong To You (Expanded Edition),4b8FFA2mCSJvRYgtwizUmy,5,not available
30,Wake up Little Susie,11fNLqDB47gMKj7BHhR2Qr,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,The Very Best of The Everly Brothers,4lmdDGcU5u1xk3GCcVJSYT,62,https://p.scdn.co/mp3-preview/7af0b0e4d8adc4df9ca18b597f6f279ea4419f0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Ain't That A Shame,4ZfQwNx3FlCN07cnUvekh3,Fats Domino,09C0xjtosNAIXP36wTnWxd,Fats Domino Swings,3vte37u7rIAmMZJwNyJSjf,58,not available
32,Blue Moon - 2004 Remaster,39hE7MMHFjYsqv7zwhR6LD,The Marcels,1JQYskbOoudT9cylam24a3,The Very Best Of The Marcels,3C7NfD2eij939ZtxhoRjLq,46,https://p.scdn.co/mp3-preview/ef8fb09d396efe182a2db27d18aa6b09b0e99b04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
