75 Years of Blue Note (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,6226,bbc_playlister
1,Cancellation - Digital Remaster/2006,5cVJGrUmH1aS1Mg6QveyZa,Jackie McLean,1lB7KbOr9xdPK1CuasxmeA,It's Time,2DEbRTEPlHdqclwzhto4Aa,19,not available
2,Maiden Voyage / Everything In Its Right Place,0jyXW8hxeIzX4QwznqVT0E,Robert Glasper,5cM1PvItlR21WUyBnsdMcn,In My Element,7M4DuL9Z6JqcNapcOUTPNS,46,not available
3,Congalegre,3L6ZUe6izPGb4OTQNAnkCu,Horace Parlan,413WfGS7CgAHEJD4DtAo3e,Congalegre,27rCk48tjIFiibtWz73iSG,0,not available
4,Blue Train,73m0Y0jRkLmCIRTVznaOQS,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Blue Train,28aGifKErlfBHvO7K5yhaI,0,not available
5,The Morning After,1XodcrH72ZpcWF5PuycqgO,Hank Mobley,5cbutZUQE7SUCA6MsEMbBv,A Caddy For Daddy,1YhqCshhUkaBZvRA1l1tcS,20,not available
6,Little B's Poem - Remastered 1994,1H6HqwUyRWW55IzH3k1ewz,Bobby Hutcherson,3uO6HG2JwyP744sg4PMmg5,Components,3I384qOJvXmO8z1s3PqImP,41,not available
7,Abdullah And Abraham,6ov8vI0X0vjhcTAN6FytJ2,Chico Hamilton,31NF3yc9DoAdh2bgR6mY04,Capitol Rare (Volume 2),0klkggrLdfgJc1CmkFjIwM,11,not available
8,Speak No Evil - Remastered 1998 / Rudy Van Gelder Edition,0qxiaagtTvTeNvzxHHc441,Wayne Shorter,0ZqhrTXYPA9DZR527ZnFdO,Speak No Evil,27Rl7A8jXEQOkIfUKOa6ZU,47,not available
9,Gogo Soul (feat. Gregory Porter),6DIu6760Z56WixuWfVJ0sn,The Rongetz Foundation,2Q8ixTVf3I0wTPd9n8sMwX,Gogo Soul,2KqzunU1zcWixSmT60X4Xq,0,not available
