David Bowie: A Life In Music (BBC Music Exclusives),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3551,bbc_playlister
1,Under Pressure - Remastered 2011,5R3VPUyabw6xw3CyAfIbqV,Queen,1dfeR4HaWDbWqFHLkxsg1d,Greatest Hits II (2011 Remaster),3enuKERSauyNFVTa2n0t7S,10,not available
2,All The Young Dudes,3lbfyaGlPxJjB3Le3gB1dx,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Nothing Has Changed (The Best Of David Bowie),5AZEMeWGFQJmIYlxYv4Wrt,0,not available
3,"Rock 'N' Roll Suicide - Sounds of the 70s - Bob Harris, Recorded 23.5.72, 2000 Remastered Version",0YX9FFYdLOrYQ6fI0PvpuK,David Bowie & The Spiders From Mars,59zDxyoFQn3LnnzwQAy7iq,Bowie At The Beeb (The Best Of The BBC),3Hyds9oc9Q3y8hkKPey3lE,0,not available
4,Andy Warhol - 1999 Remastered Version,6Vwjtc0f9F1OBAoUjZDYG1,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Hunky Dory,0vypdDHTQsoVmVu8OgXEly,0,not available
5,1984 - 1999 Remaster,0VXGjW2odvIRIxk8Bh4qDr,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Diamond Dogs,2DmRgCxxL9Assv82PAWkDJ,0,not available
6,I Know It's Gonna Happen Someday - 2003 Remaster,6mIsWMEZLSH2wPIP8S18wZ,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Black Tie White Noise,1yFItZkb7DBAkQ5RB8OJv9,24,https://p.scdn.co/mp3-preview/97f0e96e91c70da2aa1c2f2ff9727fc64b588d46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Sorrow - 2015 Remaster,21FFj5GqlujABc0H06uN8j,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,PinUps (2015 Remastered Version),71nxmbr3tHAVyvdHXc0ltd,50,https://p.scdn.co/mp3-preview/bcabee376294ec3a5972ff388d44d965f59422da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Boys Keep Swinging - 1999 Remaster,3On8pXrQMalCZ67hqb4ULN,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Lodger,5HFp1l4n85DnXWl0q6M2mq,4,not available
9,Scary Monsters (And Super Creeps) - 1999 Remaster,4UrRkV1HqJkp4MCjB8RgM1,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Scary Monsters,53YfKqwV8lphizo06QSxEe,5,not available
10,The Jean Genie - 2013 Remastered Version,3GGkKcUEC4xMxbJ9HEjWNg,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Aladdin Sane (40th Anniversary),0rBsmtPnOGz2IYmAqCrbuy,17,not available
