La Face B,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,54039,spotify_france
1,Samantha,0UNPyNSEvU8SqYq7JuQaJz,ICO,5VkemxUDiz46ZHPdvh0LX0,Samantha,6rI04DdruBrz4hUqROZJCl,46,https://p.scdn.co/mp3-preview/b07ce0890945c33ebce49e8e89b42bf1d55bc04c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Banco,7zKRgQyZXtZRLK6b1o6fR3,Gringe,4oVERQ0AxzzQ4zip1nMKlt,Banco,10AZVuBh5qdibh6Uq0LuED,46,https://p.scdn.co/mp3-preview/0ff9cce5bac9be5d154ec6ab853195854dcf5a3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Bye Bye,5jGrYfW8U3zzHnmPnepMUq,Fixpen Sill,72TdCQUBRXtFFrbNtx3p8J,Bye Bye,3X41MXWr6BIjowMNfIfoIe,58,not available
4,Personne,3lVLI2gve15cddbt3HywcZ,47ter,0aXaZj4wB5jLF2E2d8WEVi,Personne,42lE753OuINgROQiwUKtcA,59,https://p.scdn.co/mp3-preview/756526f4dd942712b8efd3502aa6e387945030d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Étoile,3iIwSZ6on96fjRbkrJjLj2,DOXX,7uzKFCBLb6SLQ5c4ML6fQw,Étoile,1Rr61DPk6ibYdRAibM3BUo,7,https://p.scdn.co/mp3-preview/ea5c03f8848c918f3db0a4c839865b9e55fb30a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,4 millions,6ry495omHl3HAiODF57ryg,KIKESA,3U0pUvFUMv6gJiTFnXiueY,4 millions,1umeWJdZkxrraJLrfeOzIb,46,not available
7,"Épisode III - ""Les mains libres""",24sYphpO6vuKaenfWuNORd,Yuzmv,1cYA2rnKwpVYe9iVH3Djjm,"Épisode III - ""Les mains libres""",05hxG8jfxproYRdZ6dCtPV,63,https://p.scdn.co/mp3-preview/29e52cf7101e17cf017cc8c4c3d65463fe627185?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,100K,2GnRjSoK4v6J1JdjGKwCJi,Leonis,4B5Y9RoKzJpDmHsZKQf0UI,100K,7z673E82nqNYj5T1AGacCx,39,https://p.scdn.co/mp3-preview/1c1e0e8e48c91815675c3e775b10b3519403eb52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Partir loin,3Jn50ITWCvxYM5q5YiZKQx,Tsew The Kid,0SXZ0s0MoLOjw4Af6i3OGC,Partir loin,3lpTqyPYnVWGLuicfmNnBL,60,https://p.scdn.co/mp3-preview/3e11581cfc38678effb3f4128e758956d234a1d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
