Pop Rock Shot,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,120050,spotify_france
1,original me (feat. dan reynolds of imagine dragons),4KzOYxD4qIkUtZV9ZYakGu,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,original me (feat. dan reynolds of imagine dragons),6Qdnzl2AlEZDIeU3AaLnNM,71,not available
2,Teeth,1JRK7srBWUtAW7dPabKBwJ,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Teeth,6JdZip7wqJcGYtYDnzpp8T,87,not available
3,Sorry,7CURMjvpE285aV8VGBhznH,SAINT PHNX,1Tdg7NIdyWx9icE2GNZzxk,Sorry,0lptWsj6UNwuRbcMg3WOfe,60,https://p.scdn.co/mp3-preview/5f431c56386b6d422d3ee323efb2ff9a5c9bed8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Heart Upon My Sleeve (feat. Imagine Dragons),6kXNnS7JJz0nAv4XEwEmQJ,Avicii,1vCWHaC5f2uS3yhpwWbIA6,TIM,6Ad1E9vl75ZB3Ir87zwXIJ,69,not available
5,You (feat. Travis Barker),57CsOeLJrdI20fS4Z8pZPj,James Arthur,4IWBUUAFIplrNtaOHcJPRM,You (feat. Travis Barker),0EW257HwkJ1CblYgM9GIAY,64,https://p.scdn.co/mp3-preview/0262f6de6d1800d4646d665b45893440f7ba15e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Birds,6Tvzf3VEi16JMhAgOwdt2y,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Origins (Deluxe),3JfSxDfmwS5OeHPwLSkrfr,79,not available
7,Arcadia,6eh5xkEZFIUrP6HCWAZqpZ,Smash Into Pieces,2vhrwzjf9H3icunkVFi9tq,Arcadia,1SUpx4oefNUEp6WJfnI1td,54,https://p.scdn.co/mp3-preview/7b0cf5c1e2ca4058eecc6c97bd198437fa918340?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,HEY CHILD,5LadhdTfrXz44rPF7lMVhm,X Ambassadors,3NPpFNZtSTHheNBaWC82rB,HEY CHILD,4oYwLaZtz5RE4oq3kHHHii,26,not available
9,All My Friends,70pP6E6VvznsfrSsznnQnk,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Without Fear,7jGNAMzrW5HMXdxl9XyBMG,72,not available
10,Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Rescue Me,57BhVBJbVPfIbwLANO5fSe,88,not available
11,the end,5j7BSPFNuDiiszA2SZllTc,MisterWives,5ivCbtrcD5N4rD337xIb2z,whywhywhy…the end,3pATkUpixuB83NrGhnKVRg,53,https://p.scdn.co/mp3-preview/7bb81377e7b1b05201200a3ab6bb82ae6269fed6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
