Génération 90,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Sur la route,4O1JvKJX1rRjrtZUSoWrkr,De Palmas,5GUi6Czd9ReKfaRGQsi9dI,la derniere annee,4RsCznr9KijetUXt2Q7rd4,53,https://p.scdn.co/mp3-preview/957742c93f4ead0cd3a06471b3c6e4d406014799?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Mangez-moi ! Mangez-moi ! - Ragga Mix,34cT8Qvq2IYoqCQ3dlNvrW,Billy Ze Kick et Les Gamins En Folie,3mWNKpH81QK05ax6Uxbvjg,Billy Ze Kick Et Les Gamins En Folie,4kvAnqql69qfbr3YaTN6tJ,48,not available
25,Chacun sa route,77qA7VUqdhaAmq1YLznI0I,KOD,5j3swYwEody8T0sJWuDgqV,Chacun sa route,5KDf5WNcaJQKuIjrxVriGB,39,https://p.scdn.co/mp3-preview/e3b97a588d355669c81db499b38f5d80be4e8404?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Soirée disco,0JcNVnY8njNEI0L5s5quQZ,Boris,4Mr2Akv7pOImSXs78BK56g,Boris,7DwXNxwDQ3u3QOjl0u5w6B,43,https://p.scdn.co/mp3-preview/c71dd9ad73029c3dea5381bb90db08e332cae259?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Sympathique,4YgSlaIvdQfu8JU78x7MaZ,Pink Martini,6KyUat70qaniuiZq63HzFZ,Sympathique,29MX9p2H3rBVdQAuSCQ8rc,55,https://p.scdn.co/mp3-preview/52d0226ce9ec023f475c075512975071eb777fdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Déjeuner en paix,6DFzpa0eHyEkvQ2oeewmA2,Stephan Eicher,29My6ypNwcVp0mjpy3sX2E,Engelberg,5w2UnVzDvUmX6J0QAlRCxP,57,not available
29,Partir un jour - Remix,5GkV63KRqdzdPHbtqlXnHn,2 Be 3,2431cuILysJKDnrOeCgQiX,Partir Un Jour,2fPcSpVFVo1dXEvarNoFkB,40,https://p.scdn.co/mp3-preview/b7175f0696db1f14ec67c5669a9aeb6fbd596daf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Je Sais Pas Jouer,5d1tSaiS9zqCEfeNn1lEqk,Pierpoljak,3CRdoyoe02HlMCvt6VD7RG,Kingston Karma,61ibLaYRWUXsuNaCoyacBo,47,not available
31,Simple et funky,62hSNpjX8Sbym7zku3O69r,Alliance Ethnik,2dZM3D9rBveK3dywr1WQkN,Simple Et Funky,73WyrLGzIT98p72VVYUY0Q,48,https://p.scdn.co/mp3-preview/a0ef7fe120931060f75d78ceace7ee9b82cf7492?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Il me dit que je suis belle,19faTtoozaabdpDnj1rxZy,Patricia Kaas,4JQHNk6teUNYxC27Bg0UPI,Je Te Dis Vous,69n8bkgSfdSYf8IBvSdRC8,45,https://p.scdn.co/mp3-preview/b373ad31f02beab014253bf5f12de4321901bac3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Belle - Extrait du spectacle «Notre Dame de Paris 1998» (Live),39iS4EqzWlbJUCCmHZnv6i,Daniel Lavoie,6S4WAihWktrOYeJdslsjcM,Notre Dame de Paris - Live au Palais des Congrés 1998,53KJgG0STymjezO3g8kmvW,51,https://p.scdn.co/mp3-preview/27d0827c0da73bba7232e0a9d6dacd4d5e63bb67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
