Classiques du Rap US,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,You Ain't a Killer,14Ai4sTxWbQpNymhpQKuES,Big Pun,2Xu7q46Hf02xOoEIm4E1Qs,Capital Punishment (Explicit Version),3IIHk2ZLXKWuVAjCbQ9g4Y,57,https://p.scdn.co/mp3-preview/c2947366a2f4f7e9002a4a0bf1df0c0f337043f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Stronger,4y6c5vMzKKM3KsMbHtjKx5,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Graduation (UK Version),0EXLFY4NFNx4FlpAlFO7ly,22,not available
27,California Love - Original Version,3djNBlI7xOggg7pnsOLaNm,2Pac,1ZwdS5xdxEREPySFridCfh,The Best of 2Pac - Pt. 1: Thug,4Y9ISbppFbwk0r1XCLUi0I,68,not available
28,Worst Comes To Worst - Edited,7aSnPAggMMgElb6BgXeSEw,Dilated Peoples,56OMwqr8qaLIRH4ZrvvdXq,Expansion Team,2cjb94ReCIDfak2sqzEcoB,56,not available
29,The Real Slim Shady,7KccdUP4IslFXUNNseqBc7,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Marshall Mathers LP,5xifZlByZcZecgkP7sYSoW,11,not available
30,Doo Wop (That Thing),2Uu8IiLkLY0UXhCHka4Dlr,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,The Miseducation of Lauryn Hill,2Uc0HAF0Cj0LAgyzYZX5e3,19,not available
31,Hard Knock Life (The Ghetto Anthem),04wE70zoYM5Pckgw36dWBq,JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Vol. 2 Hard Knock Life,0DbcIbqkdiUSJhL1K7neAv,5,not available
32,Mo Money Mo Problems,5JUcGqo5BF2Hw6qqVoGBcN,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Life After Death (Explicit Version),0r8l3aDR2okS3AZ0OekTVs,3,not available
33,The Message,1J2tfINpEHRhCP8CUS15lE,Grandmaster Flash & The Furious Five,5hQCwevTf03u1rECrRMeop,The Message - EP,27nbxiTBXjPktVWud25VlD,51,https://p.scdn.co/mp3-preview/bf61da2bd90075ad6d91d9175e29e57a732057d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Get Ur Freak On,6zsk6uF3MxfIeHPlubKBvR,Missy Elliott,2wIVse2owClT7go1WT98tk,Miss E...So Addictive,20t54K6C80QQH7vbcpfJcP,73,https://p.scdn.co/mp3-preview/377a872a710350a8aa969597d4a5a9979fa37d54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Regulate,5EEOjaJyWvfMglmEwf9bG3,Warren G,2B4ZHz4QDWJTXPFPgO5peE,Regulate G Funk (Enhanced Reissue),5Gs0hhZRYlR3kouHqFsrkV,53,not available
36,Gold Digger,5XJJdNPkwmbUwE79gv0NxK,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Late Registration,4GRDFQ9HRoO0by8H0r2a3I,18,not available
37,Keep It Thoro,0yX1VnMvtK1QNNHF3JQYMP,Prodigy,1GwxXgEc6oxCKQ5wykWXFs,H.N.I.C,2QUFFROstU45kWuFbakHYv,46,https://p.scdn.co/mp3-preview/505be11ae13760b2589f2d3cdd50ddfd252b6ee5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Only You-Bad Boy Remix (feat. The Notorious B.I.G. & Mase),13r5JSQ9i1ID0ZqMSDbi4s,112,7urq0VfqxEYEEiZUkebXT4,Bad Boy's 10th Anniversary- The Hits,46JQVqJpOg8opDLUl1qHT1,51,https://p.scdn.co/mp3-preview/71d8644a3964cd019618a0393df1bd305bf75b56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,My Name Is,2NBtFVoUJBc1SU4IM9Ipj7,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Slim Shady LP (Explicit),0JnN0ZgNrYxz3Gk725HiAd,3,not available
40,It Was A Good Day,2MuJbBWAVewREJmB8WdGJ3,Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,The Essentials,1N4pAgoZjA2oGnh4bTk8oh,62,not available
41,Work It,3jagJCUbdqhDSPuxP8cAqF,Missy Elliott,2wIVse2owClT7go1WT98tk,Under Construction,6DeU398qrJ1bLuryetSmup,72,https://p.scdn.co/mp3-preview/a007b4cabe8441d6d878da45bc3b71471848101e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Still Not a Player (feat. Joe),2ntj6zoYOXfdQDzxo2kHrD,Big Pun,2Xu7q46Hf02xOoEIm4E1Qs,The Legacy: The Best Of Big Pun,27kwcpCGnZAWK4fMOdDea0,53,https://p.scdn.co/mp3-preview/6c89d99b465483c7b403067869855dfd14f51ffa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,I'll Be Missing You (feat. 112),3QHONiXGMGU3z68mQInncF,Diddy,59wfkuBoNyhDMQGCljbUbA,Bad Boy's 10th Anniversary- The Hits,46JQVqJpOg8opDLUl1qHT1,73,https://p.scdn.co/mp3-preview/3b37724224c064ea4af094c37b7a63aa3c6c86b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Just Don't Give A Fuck,0KkrT0y1iht0tqgh9vrGd3,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Slim Shady LP,1S2zX2EzIJPkcptERhrkGh,8,not available
45,Party Up,2AaknMNIfzMqZGvbcDsJHZ,DMX,1HwM5zlC5qNWhJtM00yXzG,...And Then There Was X,7sGZLiJP6WszkshzArMxW6,6,not available
46,Hot In Herre,0oXuKhuNkXiZtuoxrdt3Ca,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Nellyville (Explicit Version),502wXEj9iWWdqaAi0CO75M,12,not available
47,Bring The Pain,2vpvIEM9321ME9Z63nd3Rm,Method Man,4VmEWwd8y9MCLwexFMdpwt,Tical,46aDAIGFo18w04DFCaDCVi,7,not available
48,I Get The Bag (feat. Migos),1XRgIKC5TPwo7nWGyKqgG0,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Mr. Davis,2aTOwGU66ocsf8IQpOI0XZ,76,https://p.scdn.co/mp3-preview/8ae1a1c5ce2421df896e27cbf238da4597df39d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Started From the Bottom,6V2D8Lls36APk0THDjBDfE,Drake,3TVXtAsR1Inumwj472S9r4,Nothing Was The Same (Deluxe),2gXTTQ713nCELgPOS0qWyt,37,not available
50,Ruff Ryders' Anthem - Re-Recorded,32SFvZODywPBVDYSYtqxCj,DMX,1HwM5zlC5qNWhJtM00yXzG,Greatest Hits with a Twist - Deluxe Edition,0K2A6RaCTpcNKTZwvLMeqY,65,https://p.scdn.co/mp3-preview/64f3f8e6ef2c0f6b1cb679234cd76148bfe202d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),31bf9SEOppLU6lQ85d8om6,Pras,0kJMPTXq7h3ztpDukSx5iD,Ghetto Supastar,0bCx3zLZj4wezD07YFrLPM,67,https://p.scdn.co/mp3-preview/32c13458bc781854a49a087d93b3947acee26cc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Killing Me Softly With His Song,1MAqR81Tz28IIqMJ2KUDAO,Fugees,2WKdxPFRD7IqZvlIAvhMgY,The Score,7m1r9h3wfPRm3Iv8uvq9vQ,25,not available
53,Jump,27AHAtAirQapVldIm4c9ZX,Kris Kross,2zrZfs23sjuHDv4E6YRmNf,Totally Krossed Out,5bGumbB29JBPlv4ECVURka,68,https://p.scdn.co/mp3-preview/048216266ed154b08ed225829b61aaaaff8e5b93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Hotline Bling,2FBUoWkIuQXwayw2RNo5l6,Drake,3TVXtAsR1Inumwj472S9r4,Views,3hARKC8cinq3mZLLAEaBh9,11,not available
55,Insane in the Brain,1oTHteQbmJw15rPxPVXUTv,Cypress Hill,4P0dddbxPil35MNN9G2MEX,Black Sunday,02lktkm4J7K7N8T63Gm7KX,72,https://p.scdn.co/mp3-preview/cdb4418e8543eeb0552077f7696392f0c53c9815?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Stan,4QVOTT9CM2ftSLwnYGNDjd,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Curtain Call (Deluxe),71xFWYFtiHC8eP99QB30AA,15,not available
57,Definition,4C7Ss9bTPOWJMh3rarF1mN,Black Star,67ei8ib6PLT1w3OkhIb4fB,Mos Def & Talib Kweli Are Black Star,6GRzmk9UGL7odxprOPop1Q,62,not available
58,Jump Around,2oTDOIAdsxPTE7yAp4YOcv,House Of Pain,0AuW7OCyKfFrsMbtHrYgIV,House Of Pain (US Release),6aQe8pwmbv89DodASvyuSq,22,not available
59,Can I Kick It?,5q6pg1kvXfT7z5MqG0KKSs,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,Peoples' Instinctive Travels & the Paths of Rhythm,4Qt1ZvWZ3DoKDimDMesZd5,7,not available
60,The Seed (2.0),0W0BDGgVnwWwMEaWwEZntk,The Roots,78xUyw6FkVZrRAtziFdtdu,Phrenology,2wOWfpfLWKlMQDsyM5UqqE,11,not available
61,Bagpipes From Baghdad,2ZwLnvDRx0f32sxnp3zJJB,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Relapse,04r9yvH25PwePggAYZQYq8,2,not available
