Nouveautés Electro,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Don't Let Me Go,0mraAV1twNnnsS73Km9JEw,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,Don't Let Me Go,2X44RWddp0EsjkJvClLN13,62,https://p.scdn.co/mp3-preview/d03b244bc5892474aeefb3a81dc5cb3eef078f1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Alive,5sYxtT5C8uAzGbplBcjLYB,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Alive,31x3K8q6G5M5Yu7sIN4rry,68,https://p.scdn.co/mp3-preview/970ddefb418e2bec25f0eb53875e0fa2436a5fee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Zombie,73n5x5KXZ2EaEX2FCF0AYt,Besomorph,619CzMJPPWrCeZwx5qw6ko,Zombie,1HNAOu9QHrfZO4s4cuNCNA,63,https://p.scdn.co/mp3-preview/30e592f7fb4d183bcdd20a786db64f9187b82bbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Guajira Guantanamera,4BgFUr74D8bTkG1HsWBA1R,HUGEL,5PlfkPxwCpRRWQJBxCa0By,Guajira Guantanamera,2HRXHVzK04v5vis8kV1Jwf,63,https://p.scdn.co/mp3-preview/1fd0654cbcbcc379da4d926cf75b5c3d2d51a0f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Messiah - Tony Romera Remix,3TL2ElKYdADoXkWO0oG64b,Klingande,1L9i6qZYIGQedgM9QLSyzb,Messiah (Tony Romera Remix),5XMnqWPbgYbPPsNf4AYj6c,23,https://p.scdn.co/mp3-preview/19efab0624040509edd0210117ffdc18bbeecce6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Acordeão,4P7F3kb2Ze1YleD6lUYwJo,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Acordeão,3s0VDNOSXqUsCg1IPIvD6B,63,https://p.scdn.co/mp3-preview/9db6555e3767816b0599f51cad4f2b0ba93ddae1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,My Best Life (feat. Mike Waters) - Club Mix,78XfOXpUShe7mFwhjBEd94,KSHMR,2wX6xSig4Rig5kZU6ePlWe,My Best Life (feat. Mike Waters) [Club Mix],499pxoME8SyDn5lwogpwrE,64,https://p.scdn.co/mp3-preview/ff7dc8f8e3a7cd826fc9b3f7841b348433ea1186?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Day Or Night,2Y3P9IFAeNGH9qTZDp9N6W,Mike Williams,3IpvVrP3VLhruTmnququq7,Day Or Night,3WCAbSvgGztK9VoqAY76ox,65,https://p.scdn.co/mp3-preview/d093dbde5ee96a470c0cd69d8a07baef16b87535?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,The Flight,6dwVoXGSsQ1TTL5aw987pi,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,The Flight,1dEzb6eQduvjy3BFzmYIh5,67,https://p.scdn.co/mp3-preview/f3a36d473b4baafe4660b422fc023ffb5af14299?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Dreamers,4M5gczvQjzZv0xBxWSkgbn,MOTi,1vo8zHmO1KzkuU9Xxh6J7W,Dreamers,4HexgGVurljgc4Wu3JsREB,52,https://p.scdn.co/mp3-preview/9b33c24a2221e2cf6fd7fd33c6059db68a290e21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Push It,7qwQ2UGJnixDow4kyz9PDe,Mike Candys,24Sxfn1uAoJmuR9N72drt9,Push It,5Q1hBd7Oaaa8CVHTQAnfS2,52,https://p.scdn.co/mp3-preview/ee4e336b4cff43750e22fcff60502ce17a63c16b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Summer Air (feat. Trevor Guthrie) [Sunnery James & Ryan Marciano Remix],7vIUNTsZrkAMPsiqJHxdkD,Hardwell,6BrvowZBreEkXzJQMpL174,Summer Air (feat. Trevor Guthrie) [Sunnery James & Ryan Marciano Remix],5wBlMvUBZVwnkl461NOzW7,25,https://p.scdn.co/mp3-preview/c4cfee4985943bf4f942a41ca6c4ade0b6bd1409?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Give Dem (feat. Kah-Lo) - Kaskade Remix,7x9NIa6nr1RqrY9MdM2Cb4,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Give Dem (feat. Kah-Lo) [Kaskade Remix],11jA842mE0lOt0BRwtGwM2,48,https://p.scdn.co/mp3-preview/90d7b73df0654a88e09eac1f3d15b40c2702510e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Chicken Song,4tB9qMdzkacJGhVDMCyuci,Goom Gum,6D36JCiONtO40ykvT5RBec,Chicken Song,4VIhR5sMMDLlOeTPp2ZrqB,39,https://p.scdn.co/mp3-preview/8171f32db52e797d2d96c5504baa43d0c7c013ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Never Change,1SG6r7daFfpzPcU15luVqB,Don Diablo,1l2ekx5skC4gJH8djERwh1,Never Change,3YlCbpHzM8GyLYE43TXijW,72,https://p.scdn.co/mp3-preview/66faba393fe9a352998f3d5ada5f1b397ce9f49a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,The Power,3EDbqYLrCNBP7J2CqcMPZO,Duke Dumont,61lyPtntblHJvA7FMMhi7E,The Power,3PxRe086DUpv2cU2OF5MMs,71,not available
36,Turn Your Love Around,1ABqaS5IL6YZGXNIzUeKfS,Cedric Gervais,4Wjf8diP59VmPG7fi4y724,Turn Your Love Around,2jU2w9JAJoWtI31nypkJDy,50,https://p.scdn.co/mp3-preview/2bd3002911aa4d9efabc6a3e0a01d20590a0ee2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,This is Real,7qXRE8SYTVU74cUdBgFSvt,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,Snacks (Supersize),33BFKADndu09rZdtTLl8Vw,50,https://p.scdn.co/mp3-preview/48c509c006f59577c5b45ded28f8e7e22b4274be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,San Frandisco,3T00mhdOYUuM5yiuPs3xhs,Dom Dolla,205i7E8fNVfojowcQSfK9m,San Frandisco,1yvc0dwbzh1nGEBk6rOZoc,63,https://p.scdn.co/mp3-preview/0da3ba1d55b4ce358dc7191de018b6d93f38bb84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Like a Drum,0TPyMRvdkdIcPovkDdkF4W,Sons Of Maria,2SfhiNVhk8w8xCQ89P3NPU,Like a Drum,5VY2bBN3nDIRTlWh9LsMqO,45,https://p.scdn.co/mp3-preview/12d6e51e1e5736726d192b04ac1d13ec6926fe92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,In The Middle,7JHdotEeGSIbtFuo4dVvsC,Alesso,4AVFqumd2ogHFlRbKIjp1t,In The Middle,23yCVntK9nAjsZXHqX6hGS,70,not available
